temperature_c,replicate,freq_thz,n,kappa,alpha_cm-1
20,1,0.20141613932903032,1.667115909517574,-0.1933284553848341,-16.322219335012587
20,1,0.2050782509531945,1.6962772951571463,-0.18630848694981306,-16.015533299843735
20,1,0.2087403625773587,1.7184478102927851,-0.14150021639465626,-12.380913762993805
20,1,0.2124024742015229,1.691142743002382,-0.09482646470554776,-8.442640408962927
20,1,0.21606458582568708,1.6836424432984667,-0.07106431022703139,-6.436122411503443
20,1,0.2197266974498513,1.6544260758092517,-0.008129216721008019,-0.7487221667471484
20,1,0.22338880907401548,1.5750314655207738,0.03697179067509788,3.4619521382790674
20,1,0.22705092069817967,1.4746208973994157,0.033070490712463305,3.1474081683942647
20,1,0.23071303232234383,1.3847320205066143,-0.0267179832476723,-2.5838360994172422
20,1,0.23437514394650802,1.3396983362729757,-0.14711865352011783,-14.453347827600226
20,1,0.2380372555706722,1.4457164158853937,-0.30761129151871036,-30.692790050583554
20,1,0.2416993671948364,1.664437923241298,-0.1699836310908414,-17.221531747121556
20,1,0.24536147881900058,1.5609521810777176,-0.019228531005809495,-1.9776145492089863
20,1,0.24902359044316477,1.469081098406892,-0.022302082653027196,-2.327957635119081
20,1,0.252685702067329,1.4259916500796894,-0.054058271943303704,-5.725744813114642
20,1,0.2563478136914932,1.413678332492915,-0.08822033969845075,-9.479545264520503
20,1,0.26000992531565736,1.429401296292363,-0.10435272206073445,-11.373205066487504
20,1,0.26367203693982155,1.4256303749903334,-0.09214707036729317,-10.184384038846979
20,1,0.26733414856398574,1.415479912480158,-0.09919934744152059,-11.116099213674584
20,1,0.27099626018814993,1.4168752750227003,-0.10398315743723363,-11.811782986813915
20,1,0.27465837181231406,1.4186874121649158,-0.09757905209569326,-11.234108066865662
20,1,0.27832048343647825,1.405661082333844,-0.08158050844063171,-9.517452957363284
20,1,0.28198259506064244,1.359119438694909,-0.08476982348229845,-10.019654420555016
20,1,0.2856447066848066,1.3437046069772567,-0.1629094953814106,-19.50570896524069
20,1,0.2893068183089708,1.4195533196286816,-0.1904316515495656,-23.093351403627317
20,1,0.292968929933135,1.4621440608488379,-0.15110655850955812,-18.556413453644886
20,1,0.2966310415572992,1.4645344768350324,-0.10900550906868446,-13.55358567087969
20,1,0.3002931531814634,1.4463673763305103,-0.08120295444459612,-10.221306748522137
20,1,0.3039552648056276,1.421049866054735,-0.07143721920610635,-9.101717924863893
20,1,0.3076173764297918,1.4009054459299115,-0.07939676556704744,-10.237710291599338
20,1,0.311279488053956,1.4000424771049076,-0.09319963607806533,-12.160568576361301
20,1,0.3149415996781202,1.4048064453904416,-0.09019887700330506,-11.907492610379062
20,1,0.3186037113022844,1.3992871225724612,-0.08801496272824863,-11.754292695033971
20,1,0.32226582292644856,1.396034778960476,-0.09084530193920151,-12.271732608470726
20,1,0.32592793455061275,1.3952050638475173,-0.09281927521451709,-12.680866148862119
20,1,0.32959004617477694,1.3925186825282954,-0.09457414095460911,-13.065789392253674
20,1,0.33325215779894113,1.3870593840137713,-0.10421856887999897,-14.558185083190082
20,1,0.33691426942310526,1.4003165272993816,-0.13333879745537158,-18.830640849137964
20,1,0.34057638104726945,1.4580012952716739,-0.12174400611277951,-17.380060185257314
20,1,0.34423849267143364,1.4646987965238671,-0.06939014116886075,-10.012588402238627
20,1,0.3479006042955978,1.4454342817824053,-0.03937079295417464,-5.741409268552994
20,1,0.351562715919762,1.4217592781929698,-0.022357757319325683,-3.2947328783542087
20,1,0.3552248275439262,1.3922841979410792,-0.015041607817586962,-2.23968393174901
20,1,0.3588869391680904,1.3579210699888247,-0.027989098382727617,-4.2105198904780545
20,1,0.3625490507922546,1.3473249853482288,-0.0681402002724284,-10.355220217819603
20,1,0.36621116241641877,1.3743381044210552,-0.08943870728297736,-13.729232267220448
20,1,0.369873274040583,1.3942606423764172,-0.0811468577768068,-12.580961117813189
20,1,0.3735353856647472,1.3982402746624012,-0.06902485781854578,-10.80752954365105
