# Menlo Systems GmbH ScanControl
# Program Version 1.10.0
# Start: -166.20000000 ps, Average over 5 waveforms. Timestamp: 2024-12-25T16:41:13
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-166.14750448	0.00023102
-166.11417117	0.00070136
-166.08083786	0.00035802
-166.04750454	-0.00068918
-166.01417123	-0.00058158
-165.98083792	0.00010649
-165.94750460	-0.00026837
-165.91417129	-0.00020343
-165.88083798	0.00104974
-165.84750467	0.00025682
-165.81417135	0.00109064
-165.78083804	0.00008586
-165.74750473	0.00013734
-165.71417141	0.00005805
-165.68083810	0.00047883
-165.64750479	-0.00003267
-165.61417148	-0.00054051
-165.58083816	0.00076843
-165.54750485	-0.00025763
-165.51417154	-0.00002631
-165.48083822	-0.00111776
-165.44750491	0.00018052
-165.41417160	-0.00122354
-165.38083829	-0.00013480
-165.34750497	-0.00053002
-165.31417166	-0.00042723
-165.28083835	-0.00022848
-165.24750503	0.00060770
-165.21417172	-0.00019524
-165.18083841	0.00034592
-165.14750510	0.00074689
-165.11417178	0.00117471
-165.08083847	0.00107765
-165.04750516	-0.00056626
-165.01417184	0.00207855
-164.98083853	0.00043126
-164.94750522	0.00127096
-164.91417191	0.00104691
-164.88083859	0.00151318
-164.84750528	0.00079562
-164.81417197	0.00155542
-164.78083865	0.00090858
-164.74750534	0.00113457
-164.71417203	0.00223879
-164.68083872	0.00155451
-164.64750540	0.00141585
-164.61417209	0.00175948
-164.58083878	0.00094874
-164.54750546	0.00166097
-164.51417215	0.00104268
-164.48083884	0.00123739
-164.44750553	0.00197089
-164.41417221	0.00138597
-164.38083890	0.00141264
-164.34750559	0.00061670
-164.31417227	0.00030856
-164.28083896	0.00140367
-164.24750565	0.00139112
-164.21417234	0.00129362
-164.18083902	0.00093677
-164.14750571	0.00134980
-164.11417240	0.00159662
-164.08083908	0.00129836
-164.04750577	0.00147885
-164.01417246	0.00227511
-163.98083915	0.00191629
-163.94750583	0.00084825
-163.91417252	0.00189829
-163.88083921	0.00175027
-163.84750589	0.00109966
-163.81417258	0.00226079
-163.78083927	0.00176470
-163.74750596	0.00115770
-163.71417264	0.00120507
-163.68083933	0.00126951
-163.64750602	0.00098363
-163.61417270	0.00205423
-163.58083939	0.00245487
-163.54750608	0.00279247
-163.51417277	0.00196399
-163.48083945	0.00190537
-163.44750614	0.00179654
-163.41417283	0.00246672
-163.38083951	0.00146645
-163.34750620	0.00138938
-163.31417289	0.00233075
-163.28083958	0.00218935
-163.24750626	0.00230752
-163.21417295	0.00252917
-163.18083964	0.00215296
-163.14750632	0.00209291
-163.11417301	0.00221616
-163.08083970	0.00213335
-163.04750639	0.00296677
-163.01417307	0.00206774
-162.98083976	0.00164871
-162.94750645	0.00245475
-162.91417313	0.00300415
-162.88083982	0.00261300
-162.84750651	0.00313509
-162.81417320	0.00284112
-162.78083988	0.00306088
-162.74750657	0.00238679
-162.71417326	0.00248905
-162.68083994	0.00199541
-162.64750663	0.00311587
-162.61417332	0.00409106
-162.58084001	0.00292182
-162.54750669	0.00251197
-162.51417338	0.00215327
-162.48084007	0.00238157
-162.44750675	0.00248498
-162.41417344	0.00375361
-162.38084013	0.00269141
-162.34750682	0.00236487
-162.31417350	0.00296943
-162.28084019	0.00334393
-162.24750688	0.00330891
-162.21417356	0.00317599
-162.18084025	0.00304628
-162.14750694	0.00306602
-162.11417363	0.00331930
-162.08084031	0.00282983
-162.04750700	0.00248804
-162.01417369	0.00268038
-161.98084037	0.00321117
-161.94750706	0.00295181
-161.91417375	0.00237678
-161.88084044	0.00242706
-161.84750712	0.00239607
-161.81417381	0.00156255
-161.78084050	0.00289984
-161.74750718	0.00297009
-161.71417387	0.00324886
-161.68084056	0.00274891
-161.64750725	0.00226871
-161.61417393	0.00269956
-161.58084062	0.00292103
-161.54750731	0.00221236
