# Menlo Systems GmbH ScanControl
# Program Version 1.10.0
# Start: -166.20000000 ps, Average over 5 waveforms. Timestamp: 2024-12-25T16:46:35
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-166.14750448	-0.00055869
-166.11417117	0.00054693
-166.08083786	0.00014994
-166.04750454	0.00033494
-166.01417123	-0.00122141
-165.98083792	-0.00074137
-165.94750460	0.00002678
-165.91417129	-0.00001003
-165.88083798	-0.00051928
-165.84750467	-0.00066090
-165.81417135	-0.00018775
-165.78083804	-0.00037544
-165.74750473	-0.00045510
-165.71417141	0.00019253
-165.68083810	-0.00103166
-165.64750479	-0.00014054
-165.61417148	-0.00030523
-165.58083816	-0.00073002
-165.54750485	0.00031997
-165.51417154	0.00047624
-165.48083822	-0.00030100
-165.44750491	-0.00015702
-165.41417160	0.00056132
-165.38083829	0.00107835
-165.34750497	0.00077584
-165.31417166	0.00012936
-165.28083835	0.00111117
-165.24750503	0.00047362
-165.21417172	0.00020649
-165.18083841	0.00101197
-165.14750510	0.00007679
-165.11417178	0.00048873
-165.08083847	0.00021703
-165.04750516	0.00056393
-165.01417184	0.00132240
-164.98083853	0.00162437
-164.94750522	0.00057053
-164.91417191	0.00093283
-164.88083859	0.00110065
-164.84750528	0.00137896
-164.81417197	0.00085558
-164.78083865	0.00083726
-164.74750534	-0.00065309
-164.71417203	0.00075493
-164.68083872	0.00022099
-164.64750540	0.00066703
-164.61417209	0.00129254
-164.58083878	0.00094017
-164.54750546	0.00136492
-164.51417215	0.00054887
-164.48083884	0.00117260
-164.44750553	0.00071587
-164.41417221	0.00133022
-164.38083890	0.00064405
-164.34750559	0.00178348
-164.31417227	0.00045273
-164.28083896	0.00059634
-164.24750565	0.00040530
-164.21417234	0.00060671
-164.18083902	0.00173546
-164.14750571	0.00102912
-164.11417240	0.00145441
-164.08083908	0.00119644
-164.04750577	0.00100867
-164.01417246	0.00048916
-163.98083915	0.00023514
-163.94750583	0.00057532
-163.91417252	0.00149672
-163.88083921	0.00135512
-163.84750589	0.00103468
-163.81417258	0.00174987
-163.78083927	0.00126217
-163.74750596	0.00151744
-163.71417264	0.00236967
-163.68083933	0.00134377
-163.64750602	0.00127207
-163.61417270	0.00065364
-163.58083939	0.00142592
-163.54750608	0.00141807
-163.51417277	0.00052944
-163.48083945	0.00074249
-163.44750614	0.00192516
-163.41417283	0.00121086
-163.38083951	0.00114011
-163.34750620	0.00192467
-163.31417289	0.00083512
-163.28083958	0.00167871
-163.24750626	0.00124284
-163.21417295	0.00007077
-163.18083964	0.00181835
-163.14750632	0.00149624
-163.11417301	0.00234247
-163.08083970	0.00224165
-163.04750639	0.00178263
-163.01417307	0.00200799
-162.98083976	0.00166169
-162.94750645	0.00079042
-162.91417313	0.00069703
-162.88083982	0.00222744
-162.84750651	0.00263444
-162.81417320	0.00215630
-162.78083988	0.00252910
-162.74750657	0.00228433
-162.71417326	0.00180873
-162.68083994	0.00208522
-162.64750663	0.00166840
-162.61417332	0.00189757
-162.58084001	0.00236813
-162.54750669	0.00180743
-162.51417338	0.00148842
-162.48084007	0.00223595
-162.44750675	0.00185106
-162.41417344	0.00260048
-162.38084013	0.00322680
-162.34750682	0.00149933
-162.31417350	0.00215532
-162.28084019	0.00199506
-162.24750688	0.00155545
-162.21417356	0.00228170
-162.18084025	0.00248083
-162.14750694	0.00179145
-162.11417363	0.00121196
-162.08084031	0.00181556
-162.04750700	0.00170551
-162.01417369	0.00209067
-161.98084037	0.00234943
-161.94750706	0.00230525
-161.91417375	0.00171348
-161.88084044	0.00214728
-161.84750712	0.00209398
-161.81417381	0.00231870
-161.78084050	0.00227996
-161.74750718	0.00205359
