# Menlo Systems GmbH ScanControl
# Program Version 1.10.0
# Start: -166.20000000 ps, Average over 5 waveforms. Timestamp: 2024-12-25T16:32:00
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-166.14750448	-0.00053946
-166.11417117	0.00011467
-166.08083786	-0.00057688
-166.04750454	-0.00139446
-166.01417123	0.00012200
-165.98083792	0.00023801
-165.94750460	0.00005379
-165.91417129	0.00024389
-165.88083798	-0.00058669
-165.84750467	-0.00032173
-165.81417135	0.00038970
-165.78083804	0.00024647
-165.74750473	-0.00005972
-165.71417141	0.00000127
-165.68083810	0.00061784
-165.64750479	-0.00106795
-165.61417148	-0.00027250
-165.58083816	-0.00042426
-165.54750485	-0.00029220
-165.51417154	0.00062243
-165.48083822	0.00005538
-165.44750491	-0.00032572
-165.41417160	0.00105325
-165.38083829	0.00031194
-165.34750497	0.00021700
-165.31417166	0.00081636
-165.28083835	0.00047536
-165.24750503	0.00063127
-165.21417172	-0.00015081
-165.18083841	-0.00019826
-165.14750510	0.00004708
-165.11417178	0.00123706
-165.08083847	-0.00003723
-165.04750516	0.00063368
-165.01417184	0.00080782
-164.98083853	0.00005479
-164.94750522	0.00046856
-164.91417191	0.00076992
-164.88083859	0.00206903
-164.84750528	0.00107561
-164.81417197	0.00038942
-164.78083865	0.00197378
-164.74750534	0.00052453
-164.71417203	-0.00024517
-164.68083872	0.00124971
-164.64750540	0.00182168
-164.61417209	0.00105667
-164.58083878	0.00144083
-164.54750546	0.00038924
-164.51417215	0.00138970
-164.48083884	-0.00008381
-164.44750553	0.00093851
-164.41417221	0.00009004
-164.38083890	0.00076248
-164.34750559	0.00089990
-164.31417227	0.00001655
-164.28083896	0.00033843
-164.24750565	0.00045314
-164.21417234	0.00180228
-164.18083902	0.00043702
-164.14750571	0.00179343
-164.11417240	0.00005540
-164.08083908	0.00151732
-164.04750577	-0.00008424
-164.01417246	0.00036174
-163.98083915	0.00123748
-163.94750583	0.00048945
-163.91417252	0.00071286
-163.88083921	0.00097519
-163.84750589	0.00012879
-163.81417258	0.00136655
-163.78083927	0.00115330
-163.74750596	0.00089627
-163.71417264	0.00047518
-163.68083933	0.00060155
-163.64750602	0.00105489
-163.61417270	-0.00016382
-163.58083939	0.00149496
-163.54750608	0.00112141
-163.51417277	0.00069626
-163.48083945	0.00071722
-163.44750614	0.00108218
-163.41417283	0.00083084
-163.38083951	0.00044591
-163.34750620	0.00157794
-163.31417289	0.00074035
-163.28083958	0.00097877
-163.24750626	0.00153652
-163.21417295	0.00155594
-163.18083964	0.00153975
-163.14750632	0.00094803
-163.11417301	0.00141822
-163.08083970	0.00097405
-163.04750639	0.00232615
-163.01417307	0.00161709
-162.98083976	0.00249966
-162.94750645	0.00140581
-162.91417313	0.00162479
-162.88083982	0.00096315
-162.84750651	0.00169310
-162.81417320	0.00154632
-162.78083988	0.00215737
-162.74750657	0.00277833
-162.71417326	0.00204251
-162.68083994	0.00199273
-162.64750663	0.00167322
-162.61417332	0.00250752
-162.58084001	0.00193634
-162.54750669	0.00234292
-162.51417338	0.00144681
-162.48084007	0.00130882
-162.44750675	0.00216636
-162.41417344	0.00220395
-162.38084013	0.00266793
-162.34750682	0.00201574
-162.31417350	0.00165089
-162.28084019	0.00166188
-162.24750688	0.00271698
-162.21417356	0.00265749
-162.18084025	0.00234094
-162.14750694	0.00213436
-162.11417363	0.00153123
-162.08084031	0.00169067
-162.04750700	0.00125423
-162.01417369	0.00136912
-161.98084037	0.00077092
-161.94750706	0.00095255
-161.91417375	0.00132536
-161.88084044	0.00207860
-161.84750712	0.00256377
-161.81417381	0.00140639
-161.78084050	0.00125592
-161.74750718	0.00234373
-161.71417387	0.00215169
-161.68084056	0.00161991
-161.64750725	0.00132970
-161.61417393	0.00203346
-161.58084062	0.00256046
-161.54750731	0.00221470
-161.51417399	0.00221170
-161.48084068	0.00186733
-161.44750737	0.00262478
-161.41417406	0.00114055
-161.38084074	0.00146702
-161.34750743	0.00223806
-161.31417412	0.00205106
-161.28084080	0.00197156
-161.24750749	0.00156781
-161.21417418	0.00221153
-161.18084087	0.00181025
-161.14750755	0.00172024
-161.11417424	0.00225105
-161.08084093	0.00173380
-161.04750761	0.00167971
-161.01417430	0.00211280
-160.98084099	0.00154998
-160.94750768	0.00139898
-160.91417436	0.00098430
-160.88084105	0.00089350
-160.84750774	0.00118931
-160.81417442	0.00029036
-160.78084111	0.00095950
