# Menlo Systems GmbH ScanControl
# Program Version 1.10.0
# Start: -166.20000000 ps, Average over 5 waveforms. Timestamp: 2024-12-25T17:00:52
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-166.14750448	-0.00037513
-166.11417117	-0.00071088
-166.08083786	0.00038232
-166.04750454	-0.00016457
-166.01417123	-0.00058903
-165.98083792	-0.00001773
-165.94750460	-0.00057589
-165.91417129	-0.00046000
-165.88083798	-0.00000512
-165.84750467	-0.00010598
-165.81417135	-0.00007501
-165.78083804	-0.00020196
-165.74750473	-0.00025546
-165.71417141	0.00023326
-165.68083810	0.00026564
-165.64750479	-0.00014917
-165.61417148	0.00017125
-165.58083816	-0.00069128
-165.54750485	0.00081602
-165.51417154	-0.00049981
-165.48083822	-0.00088623
-165.44750491	-0.00067266
-165.41417160	0.00087716
-165.38083829	0.00047927
-165.34750497	0.00115337
-165.31417166	0.00038793
-165.28083835	0.00020247
-165.24750503	-0.00000305
-165.21417172	0.00109980
-165.18083841	0.00037046
-165.14750510	-0.00023513
-165.11417178	-0.00004236
-165.08083847	-0.00029394
-165.04750516	0.00166359
-165.01417184	0.00078638
-164.98083853	0.00074561
-164.94750522	0.00016465
-164.91417191	0.00073816
-164.88083859	0.00030432
-164.84750528	0.00001119
-164.81417197	0.00006044
-164.78083865	0.00022154
-164.74750534	0.00072275
-164.71417203	0.00067007
-164.68083872	0.00070766
-164.64750540	0.00047024
-164.61417209	0.00024156
-164.58083878	0.00157439
-164.54750546	0.00088105
-164.51417215	0.00067901
-164.48083884	0.00125225
-164.44750553	0.00057889
-164.41417221	0.00129154
-164.38083890	0.00085119
-164.34750559	0.00096703
-164.31417227	0.00131757
-164.28083896	0.00078623
-164.24750565	0.00121161
-164.21417234	0.00211325
-164.18083902	0.00104590
-164.14750571	0.00104836
-164.11417240	0.00039771
-164.08083908	0.00074448
-164.04750577	0.00112495
-164.01417246	0.00136634
-163.98083915	0.00121250
-163.94750583	0.00135501
-163.91417252	-0.00000606
-163.88083921	0.00175997
-163.84750589	0.00134737
-163.81417258	-0.00026957
-163.78083927	0.00047627
-163.74750596	0.00084712
-163.71417264	-0.00018707
-163.68083933	0.00138949
-163.64750602	0.00057112
-163.61417270	0.00024340
-163.58083939	0.00239865
-163.54750608	0.00233667
-163.51417277	0.00151722
-163.48083945	0.00140135
-163.44750614	0.00304146
-163.41417283	0.00098287
-163.38083951	0.00106275
-163.34750620	0.00133565
-163.31417289	0.00162766
-163.28083958	0.00059401
-163.24750626	0.00227830
-163.21417295	0.00110649
-163.18083964	0.00169241
-163.14750632	0.00210349
-163.11417301	0.00161568
-163.08083970	0.00113317
-163.04750639	0.00121271
-163.01417307	0.00245145
-162.98083976	0.00304128
-162.94750645	0.00327685
-162.91417313	0.00165538
-162.88083982	0.00225582
-162.84750651	0.00199008
-162.81417320	0.00131681
-162.78083988	0.00210554
-162.74750657	0.00136446
-162.71417326	0.00263902
-162.68083994	0.00193902
-162.64750663	0.00226997
-162.61417332	0.00141740
-162.58084001	0.00202842
-162.54750669	0.00215694
-162.51417338	0.00291924
-162.48084007	0.00188857
-162.44750675	0.00194138
-162.41417344	0.00260002
-162.38084013	0.00206267
-162.34750682	0.00241693
-162.31417350	0.00262184
-162.28084019	0.00243231
-162.24750688	0.00143842
-162.21417356	0.00138190
-162.18084025	0.00227098
-162.14750694	0.00118381
-162.11417363	0.00189552
-162.08084031	0.00192255
