# Menlo Systems GmbH ScanControl
# Program Version 1.10.0
# Start: -166.20000000 ps, Average over 5 waveforms. Timestamp: 2024-12-25T16:27:00
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-166.14750448	-0.00024349
-166.11417117	-0.00057224
-166.08083786	-0.00121554
-166.04750454	-0.00048589
-166.01417123	-0.00007384
-165.98083792	-0.00035410
-165.94750460	0.00030724
-165.91417129	-0.00024037
-165.88083798	-0.00088290
-165.84750467	-0.00059004
-165.81417135	-0.00017196
-165.78083804	0.00024286
-165.74750473	-0.00014026
-165.71417141	0.00020327
-165.68083810	0.00034165
-165.64750479	-0.00010825
-165.61417148	0.00012996
-165.58083816	0.00050960
-165.54750485	0.00032801
-165.51417154	-0.00033167
-165.48083822	0.00113904
-165.44750491	-0.00012317
-165.41417160	0.00067915
-165.38083829	-0.00019636
-165.34750497	0.00092800
-165.31417166	0.00043398
-165.28083835	-0.00042757
-165.24750503	0.00007379
-165.21417172	0.00027073
-165.18083841	0.00057037
-165.14750510	0.00008480
-165.11417178	0.00027542
-165.08083847	-0.00023245
-165.04750516	0.00007028
-165.01417184	0.00006943
-164.98083853	0.00055883
-164.94750522	0.00084922
-164.91417191	-0.00049356
-164.88083859	0.00070275
-164.84750528	0.00049392
-164.81417197	0.00007640
-164.78083865	0.00105987
-164.74750534	0.00110442
-164.71417203	0.00096080
-164.68083872	0.00090316
-164.64750540	0.00119528
-164.61417209	-0.00009298
-164.58083878	0.00030244
-164.54750546	0.00092465
-164.51417215	-0.00025452
-164.48083884	0.00024963
-164.44750553	0.00102322
-164.41417221	0.00107159
-164.38083890	0.00051193
-164.34750559	0.00055385
-164.31417227	-0.00027881
-164.28083896	-0.00032074
-164.24750565	-0.00025372
-164.21417234	0.00061725
-164.18083902	0.00066832
-164.14750571	0.00045703
-164.11417240	0.00051257
-164.08083908	0.00000932
-164.04750577	-0.00000135
-164.01417246	0.00191288
-163.98083915	0.00034276
-163.94750583	0.00174125
-163.91417252	0.00208075
-163.88083921	0.00110492
-163.84750589	0.00065542
-163.81417258	0.00145014
-163.78083927	0.00055133
-163.74750596	0.00144825
-163.71417264	0.00110937
-163.68083933	0.00090806
-163.64750602	0.00055250
-163.61417270	0.00139164
-163.58083939	0.00137017
-163.54750608	0.00018849
-163.51417277	0.00166217
-163.48083945	0.00096125
-163.44750614	0.00084940
-163.41417283	0.00110200
-163.38083951	0.00127461
-163.34750620	0.00107727
-163.31417289	0.00184162
-163.28083958	0.00121673
-163.24750626	0.00031023
-163.21417295	0.00101682
-163.18083964	0.00065562
-163.14750632	0.00197539
-163.11417301	0.00053113
-163.08083970	0.00138730
-163.04750639	0.00131016
-163.01417307	0.00200714
-162.98083976	0.00040918
-162.94750645	0.00149336
-162.91417313	0.00070577
-162.88083982	0.00081369
-162.84750651	0.00071147
-162.81417320	0.00103062
-162.78083988	0.00189988
-162.74750657	0.00110203
-162.71417326	0.00124616
-162.68083994	0.00199059
-162.64750663	0.00129417
-162.61417332	0.00127224
-162.58084001	0.00163470
-162.54750669	0.00270023
-162.51417338	0.00134638
-162.48084007	0.00064919
-162.44750675	0.00024676
-162.41417344	0.00151960
-162.38084013	0.00122732
-162.34750682	0.00142906
-162.31417350	0.00197428
-162.28084019	0.00136724
-162.24750688	0.00124043
-162.21417356	0.00127496
-162.18084025	0.00148433
-162.14750694	0.00121126
-162.11417363	0.00031843
-162.08084031	0.00132464
-162.04750700	0.00098787
-162.01417369	-0.00003480
-161.98084037	0.00062847
-161.94750706	0.00100691
-161.91417375	0.00051420
-161.88084044	0.00149184
-161.84750712	-0.00014253
-161.81417381	0.00127959
-161.78084050	0.00110997
-161.74750718	0.00145067
-161.71417387	0.00077513
-161.68084056	0.00203878
-161.64750725	0.00098117
-161.61417393	0.00125221
-161.58084062	0.00241970
-161.54750731	0.00177436
-161.51417399	0.00151921
-161.48084068	0.00193131
-161.44750737	0.00123352
-161.41417406	0.00080578
-161.38084074	0.00145549
-161.34750743	0.00134065
-161.31417412	0.00164850
-161.28084080	0.00171509
-161.24750749	0.00163765
-161.21417418	0.00094130
-161.18084087	0.00086600
-161.14750755	0.00164176
-161.11417424	0.00151739
-161.08084093	0.00063610
-161.04750761	0.00064067
-161.01417430	0.00103386
-160.98084099	0.00165891
-160.94750768	0.00118724
-160.91417436	0.00084974
-160.88084105	0.00094284
-160.84750774	-0.00001893
-160.81417442	-0.00022094
-160.78084111	0.00126581
-160.74750780	0.00022683
-160.71417449	0.00063253
-160.68084117	0.00040577
-160.64750786	0.00031527
-160.61417455	0.00012224
-160.58084123	-0.00086289
-160.54750792	0.00017378
-160.51417461	-0.00015733
-160.48084129	0.00039269
-160.44750798	0.00022275
-160.41417467	0.00087109
-160.38084136	0.00051609
-160.34750804	0.00024953
-160.31417473	-0.00097293
-160.28084142	0.00016897
-160.24750810	0.00137652
-160.21417479	0.00028976
-160.18084148	-0.00065328
-160.14750817	-0.00053290
-160.11417485	-0.00009600
-160.08084154	-0.00052878
-160.04750823	0.00047699
-160.01417491	-0.00042664
-159.98084160	-0.00180664
-159.94750829	-0.00076462
-159.91417498	-0.00013071
-159.88084166	-0.00057328
-159.84750835	-0.00104818
-159.81417504	-0.00116077
-159.78084172	-0.00100241
-159.74750841	-0.00061701
-159.71417510	0.00006119
-159.68084179	-0.00102315
-159.64750847	-0.00098867
-159.61417516	-0.00060312
-159.58084185	-0.00097251
-159.54750853	-0.00175136
-159.51417522	-0.00173795
-159.48084191	-0.00147116
-159.44750860	-0.00023379
-159.41417528	-0.00074865
-159.38084197	-0.00112843
-159.34750866	-0.00045159
-159.31417534	-0.00052921
-159.28084203	-0.00043874
-159.24750872	-0.00100775
-159.21417541	-0.00091979
-159.18084209	-0.00002495
-159.14750878	-0.00025343
-159.11417547	0.00022402
-159.08084215	-0.00092678
-159.04750884	0.00006514
-159.01417553	-0.00055799
-158.98084222	-0.00151724
-158.94750890	-0.00144037
-158.91417559	-0.00136488
-158.88084228	-0.00020520
-158.84750896	0.00017442
-158.81417565	-0.00171633
-158.78084234	-0.00149715
-158.74750903	-0.00139634
-158.71417571	-0.00064680
-158.68084240	-0.00167279
-158.64750909	-0.00007850
-158.61417577	-0.00102166
-158.58084246	0.00018437
-158.54750915	0.00043065
-158.51417584	-0.00132628
-158.48084252	-0.00192297
-158.44750921	-0.00123272
-158.41417590	-0.00178416
-158.38084258	-0.00077546
-158.34750927	-0.00197545
-158.31417596	-0.00019850
-158.28084265	-0.00044340
-158.24750933	-0.00154702
-158.21417602	-0.00140423
-158.18084271	-0.00104988
-158.14750939	-0.00163340
-158.11417608	-0.00146593
-158.08084277	-0.00110226
-158.04750946	-0.00232392
-158.01417614	-0.00176158
-157.98084283	-0.00321954
-157.94750952	-0.00161780
-157.91417620	-0.00165520
