# Menlo Systems GmbH ScanControl
# Program Version 1.10.0
# Start: -166.20000000 ps, Average over 5 waveforms. Timestamp: 2024-12-25T16:36:13
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-166.14750448	-0.00022904
-166.11417117	-0.00078229
-166.08083786	0.00000388
-166.04750454	-0.00081008
-166.01417123	-0.00133066
-165.98083792	-0.00048308
-165.94750460	-0.00077984
-165.91417129	0.00093489
-165.88083798	-0.00136130
-165.84750467	-0.00034107
-165.81417135	-0.00022636
-165.78083804	-0.00040501
-165.74750473	-0.00051993
-165.71417141	0.00035474
-165.68083810	-0.00005462
-165.64750479	-0.00018385
-165.61417148	-0.00011543
-165.58083816	0.00031239
-165.54750485	0.00052841
-165.51417154	0.00091669
-165.48083822	0.00046044
-165.44750491	0.00110321
-165.41417160	0.00128020
-165.38083829	0.00017551
-165.34750497	-0.00014995
-165.31417166	0.00179545
-165.28083835	0.00003877
-165.24750503	0.00010510
-165.21417172	-0.00042190
-165.18083841	0.00018472
-165.14750510	0.00047403
-165.11417178	-0.00048921
-165.08083847	-0.00010398
-165.04750516	-0.00083483
-165.01417184	0.00013713
-164.98083853	0.00060809
-164.94750522	0.00038872
-164.91417191	0.00066124
-164.88083859	0.00063931
-164.84750528	0.00107609
-164.81417197	0.00115476
-164.78083865	0.00156211
-164.74750534	0.00061025
-164.71417203	0.00090968
-164.68083872	0.00077277
-164.64750540	0.00058839
-164.61417209	0.00044226
-164.58083878	0.00048685
-164.54750546	0.00025435
-164.51417215	0.00040596
-164.48083884	0.00073973
-164.44750553	0.00236132
-164.41417221	0.00153030
-164.38083890	0.00091502
-164.34750559	0.00061416
-164.31417227	0.00036298
-164.28083896	0.00150215
-164.24750565	0.00117000
-164.21417234	0.00032872
-164.18083902	0.00185531
-164.14750571	0.00186551
-164.11417240	0.00083714
-164.08083908	0.00105470
-164.04750577	0.00154311
-164.01417246	-0.00032052
-163.98083915	0.00115475
-163.94750583	-0.00012166
-163.91417252	0.00034524
-163.88083921	0.00006384
-163.84750589	0.00043545
-163.81417258	0.00058062
-163.78083927	0.00013035
-163.74750596	0.00106183
-163.71417264	0.00120726
-163.68083933	0.00076444
-163.64750602	0.00161565
-163.61417270	0.00121978
-163.58083939	0.00098994
-163.54750608	0.00163040
-163.51417277	0.00205938
-163.48083945	0.00237021
-163.44750614	0.00042112
-163.41417283	0.00108430
-163.38083951	0.00153932
-163.34750620	0.00207381
-163.31417289	0.00087862
-163.28083958	0.00032896
-163.24750626	0.00212119
-163.21417295	0.00113460
-163.18083964	0.00149974
-163.14750632	0.00125037
-163.11417301	0.00202328
-163.08083970	0.00142518
-163.04750639	0.00215106
-163.01417307	0.00138019
-162.98083976	0.00170203
-162.94750645	0.00105690
-162.91417313	0.00161603
-162.88083982	0.00104176
-162.84750651	0.00205968
-162.81417320	0.00154501
-162.78083988	0.00134763
-162.74750657	0.00069714
-162.71417326	0.00174303
-162.68083994	0.00100703
-162.64750663	0.00163583
-162.61417332	0.00147445
-162.58084001	0.00168829
-162.54750669	0.00202291
-162.51417338	0.00196951
-162.48084007	0.00093059
-162.44750675	0.00197895
-162.41417344	0.00167389
-162.38084013	0.00150828
-162.34750682	0.00045482
-162.31417350	0.00126025
-162.28084019	0.00269996
-162.24750688	0.00197579
-162.21417356	0.00208436
-162.18084025	0.00202745
-162.14750694	0.00104616
-162.11417363	0.00208368
-162.08084031	0.00130310
-162.04750700	0.00144980
-162.01417369	0.00030977
-161.98084037	0.00196342
-161.94750706	0.00168479
-161.91417375	0.00189447
-161.88084044	0.00160010
-161.84750712	0.00124988
-161.81417381	0.00099089
-161.78084050	0.00192752
-161.74750718	0.00194943
-161.71417387	0.00182391
-161.68084056	0.00177781
-161.64750725	0.00149330
-161.61417393	0.00160854
-161.58084062	0.00129453
-161.54750731	0.00110895
-161.51417399	0.00244498
-161.48084068	0.00256241
-161.44750737	0.00114567
-161.41417406	0.00180060
-161.38084074	0.00179960
-161.34750743	0.00163138
-161.31417412	0.00148103
-161.28084080	0.00140379
-161.24750749	0.00110613
-161.21417418	0.00206439
-161.18084087	0.00140413
-161.14750755	0.00147202
-161.11417424	0.00078076
-161.08084093	0.00037104
-161.04750761	0.00114010
-161.01417430	0.00098412
-160.98084099	0.00108323
-160.94750768	0.00090208
-160.91417436	0.00128566
-160.88084105	0.00066136
-160.84750774	0.00162900
-160.81417442	0.00104657
-160.78084111	0.00073533
-160.74750780	0.00205256
-160.71417449	0.00091221
-160.68084117	0.00072550
-160.64750786	0.00186047
-160.61417455	0.00163761
-160.58084123	0.00178001
-160.54750792	0.00084231
-160.51417461	0.00057131
-160.48084129	0.00088853
