temperature_c,replicate,frequency_thz,n,kappa,alpha_per_cm
30,1,0.3002931529111093,1.334955407483625,-0.03874078395706395,-4.876441243490067
30,1,0.3039552645319765,1.3336599318768816,-0.03537311003898824,-4.5068393337273776
30,1,0.3076173761528437,1.3255516580067672,-0.040134672248376274,-5.175111905664069
30,1,0.3112794877737109,1.33256999408938,-0.060047461237232175,-7.834915459784777
30,1,0.31494159939457805,1.3611595894054505,-0.05302819579841685,-7.000451336215265
30,1,0.31860371101544527,1.3619091981597413,-0.028237901174201302,-3.771137825973894
30,1,0.3222658226363124,1.3473984691373013,-0.01875996323631458,-2.5341679477008343
30,1,0.32592793425717964,1.335272123837641,-0.02365174575303001,-3.2312751970741593
30,1,0.3295900458780468,1.3331060893927758,-0.03649232397306574,-5.041558022351409
30,1,0.333252157498914,1.3467381365089905,-0.04929558950358412,-6.886050373214857
30,1,0.3369142691197812,1.3778520570554158,-0.03886306694000211,-5.488398494288736
30,1,0.3405763807406484,1.369726497657549,0.0041376676198358105,0.5906895500709567
30,1,0.34423849236151555,1.339594293690966,0.0030257145130487455,0.4365927710225978
30,1,0.34790060398238276,1.3311003475072993,-0.01030113083233239,-1.5022051512379448
30,1,0.3515627156032499,1.3326033861832283,-0.021513942278628028,-3.170384752469106
30,1,0.35522482722411713,1.3424630801878625,-0.03056204775064251,-4.550665596187308
30,1,0.3588869388449843,1.3643163478964295,-0.028898916671749337,-4.347387746695339
30,1,0.3625490504658515,1.3798794400681305,0.0018922485557843999,0.2875637348586732
30,1,0.36621116208671867,1.357183313881381,0.03304383749776268,5.0723733982789945
30,1,0.3698732737075859,1.3251367516933832,0.0347636761816205,5.38973991035381
30,1,0.37353538532845304,1.30324456613867,0.019994119559719463,3.130568384718314
30,1,0.37719749694932025,1.2943407774721554,-0.002612741005438525,-0.4130991720522986
30,1,0.3808596085701874,1.301679235707827,-0.02460611492765002,-3.9282319710765035
30,1,0.38452172019105463,1.320157478727472,-0.03396144619870706,-5.473891859289107
30,1,0.3881838318119218,1.3365450516718795,-0.028475106014623643,-4.633316347952095
30,1,0.391845943432789,1.3426312835541663,-0.01558238526716262,-2.559401700010743
30,1,0.3955080550536562,1.3374490059462134,-0.005167324523441102,-0.8566634372031442
30,1,0.3991701666745234,1.3286709419819598,-0.004900706887234634,-0.819985106805093
30,1,0.4028322782953906,1.326862033383731,-0.010772790746759802,-1.8190374811663252
30,1,0.40649438991625775,1.3313447873373168,-0.01284931295001162,-2.1893924895986188
30,1,0.41015650153712496,1.3345721411513454,-0.009362848161085045,-1.6097066625916012
30,1,0.4138186131579921,1.3333418032849926,-0.005293997022699148,-0.9182963851419449
30,1,0.41748072477885934,1.3305013314932712,-0.00431881362281801,-0.755770702502362
30,1,0.4211428363997265,1.329439832765898,-0.005204457893158064,-0.9187430738706226
30,1,0.4248049480205937,1.3300194104505647,-0.005330570268452777,-0.9491883526499462
30,1,0.42846705964146087,1.3306253088317117,-0.004251548703176539,-0.7635786181789643
30,1,0.4321291712623281,1.3307232200222245,-0.002484972328988584,-0.4501158467049096
30,1,0.43579128288319524,1.329829131171012,-0.00010454529434747324,-0.019097309635999087
30,1,0.43945339450406246,1.326919371019831,0.0018365336413275833,0.3382991235668156
30,1,0.4431155061249296,1.3229332362486872,0.000646838110215846,0.12014389528466894
30,1,0.44677761774579683,1.3223560894180788,-0.0032897989478935354,-0.616098181015922
30,1,0.450439729366664,1.3253609809484743,-0.004628914417956521,-0.8739870573602501
30,1,0.4541018409875312,1.3274645663041695,-0.0024276272860453817,-0.46208772705979273
30,1,0.45776395260839836,1.326708902075546,0.0009096523199803342,0.17454450583499226
30,1,0.4614260642292656,1.3228898940093052,0.0029355487688372843,0.5677806444731317
30,1,0.46508817585013273,1.3179169730577671,0.0006694389476286145,0.13050748944158014
30,1,0.46875028747099995,1.3168331311745676,-0.005187348186437934,-1.0192391757270485
30,1,0.4724123990918671,1.320314387328107,-0.009813949436143526,-1.9433644990949637
30,1,0.4760745107127343,1.3263271949156692,-0.011334981299631234,-2.261959885971836
30,1,0.4797366223336015,1.3332732861594923,-0.007830303875113468,-1.5746014624913038
30,1,0.4833987339544687,1.3354603189006178,0.0018712874424133578,0.37917105149113867
30,1,0.48706084557533585,1.327594186300278,0.009594938746136945,1.958910463599491
30,1,0.49072295719620307,1.3174468453723291,0.007138264823217208,1.468311474602681
30,1,0.49438506881707023,1.3137115561295487,-0.0019406216654179109,-0.4021567686203467
30,1,0.49804718043793744,1.3191547752212534,-0.010875395238406088,-2.2704121181216532
30,1,0.5017092920588047,1.3313597498037208,-0.010747336280762115,-2.260175400012934
30,1,0.5053714036796718,1.3366703266456879,0.0011454399839703213,0.24264545666299198
30,1,0.509033515300539,1.3294544959229322,0.009893544636865193,2.1109962231664205
30,1,0.5126956269214061,1.3206522716590379,0.009117141143034527,1.9593293874411608
30,1,0.5163577385422734,1.3166558569495264,0.0030668980324784485,0.663802965218127
30,1,0.5200198501631406,1.319505789095708,-0.003215801051941967,-0.7009681024429476
30,1,0.5236819617840077,1.3269760494317124,-0.00251599176486808,-0.5522884885859894
30,1,0.527344073404875,1.3283333929250736,0.005111290215838673,1.129831740450281
30,1,0.5310061850257422,1.3234344252774077,0.009272824555181336,2.063957658534737
30,1,0.5346682966466093,1.3190613436872516,0.009712598494916687,2.176752391612775
30,1,0.5383304082674765,1.3160250452178037,0.010336498889776292,2.332445665397841
30,1,0.5419925198883437,1.3111801564973304,0.012643393049199552,2.87240777180343
30,1,0.5456546315092109,1.3018140102716456,0.014078655834485422,3.2200914019557967
30,1,0.5493167431300781,1.2871850324626082,0.012457243826106863,2.868362014718993
30,1,0.5529788547509452,1.258228614096999,0.006149942176593549,1.4255049123887347
30,1,0.5566409663718124,1.089179194249696,-0.07340277731919867,-17.126823374843866
30,1,0.5603030779926795,1.424377999668168,0.0017961923830565048,0.4218567667213228
30,1,0.5639651896135468,1.3573911591827308,0.0072658605191077115,1.717625645854339
30,1,0.567627301234414,1.3398594279646894,0.004789264215640606,1.1395181152886404
30,1,0.5712894128552811,1.3326777307015525,0.002120183889210361,0.5077136819026193
30,1,0.5749515244761483,1.329793907366488,0.0004970876330583681,0.11979904319932107
30,1,0.5786136360970155,1.3281332954963978,0.000673145511423482,0.16326262678066886
30,1,0.5822757477178827,1.325147925385164,0.0011054185082149017,0.26980164583815414
30,1,0.5859378593387499,1.3221467560244498,-0.0009263796885847326,-0.2275253261078448
30,1,0.589599970959617,1.3216889950210569,-0.0040457144108515305,-0.9998660836896756
30,1,0.5932620825804843,1.323153346355074,-0.006327814329807573,-1.573582368157427
30,1,0.5969241942013515,1.325876845055222,-0.007520011409210846,-1.881597998475565
30,1,0.6005863058222186,1.3298852886805066,-0.006648047084037865,-1.6736269986273684
30,1,0.6042484174430858,1.3328383873124388,-0.0020853930735162903,-0.5281929612572871
30,1,0.607910529063953,1.331639677265904,0.003389783550939489,0.8637753267019841
30,1,0.6115726406848202,1.328070734009099,0.006869734102361945,1.7610721025497795
30,1,0.6152347523056874,1.3233742259847643,0.008614025922720508,2.221448219758333
30,1,0.6188968639265545,1.3173035964048263,0.007596842030398555,1.970790857273054
30,1,0.6225589755474218,1.312958092968321,0.0012332300549082911,0.3218205407385703
30,1,0.626221087168289,1.3160525466607347,-0.006045282212373781,-1.5868410575759953
30,1,0.6298831987891561,1.3226326521835923,-0.007550266901396017,-1.9934781948677058
30,1,0.6335453104100233,1.3277073696787767,-0.004394810787006433,-1.1670971901318457
30,1,0.6372074220308905,1.3293859324252553,0.0015796878779473587,0.4219308420274768
30,1,0.6408695336517577,1.3255770562896567,0.007279420437912538,1.95548996168039
30,1,0.6445316452726249,1.3190689546431345,0.007021113154752782,1.8968779085358785
30,1,0.648193756893492,1.3170417828211773,0.002715551648633529,0.737822801085128
30,1,0.6518558685143593,1.3191431320557747,0.0005696368894199117,0.15564631645723073
30,1,0.6555179801352264,1.3210834198238013,0.002396423135530356,0.6584719406899546
30,1,0.6591800917560936,1.3188551861978348,0.00578034658356077,1.5971552106043703
30,1,0.6628422033769609,1.3132245800734517,0.004875008124154088,1.3544864262184946
30,1,0.666504314997828,1.3106339187322553,-0.0009309536300992521,-0.26008791685205784
30,1,0.6701664266186952,1.3130099562408306,-0.0066823934926474714,-1.8771711619134979
30,1,0.6738285382395623,1.3184666183520621,-0.009565683907660608,-2.701808647099205
30,1,0.6774906498604296,1.3247623229471106,-0.008040794534647115,-2.283449607130693
30,1,0.6811527614812968,1.3277483134404289,-0.0022105123456995996,-0.6311413399413677
30,1,0.6848148731021639,1.3251442286879396,0.0030497745968166225,0.8754474613792924
30,1,0.6884769847230311,1.3201170589166709,0.004195266053515981,1.2107043302218328
30,1,0.6921390963438984,1.3158508411731296,0.0011729313275113255,0.3402946557012321
30,1,0.6958012079647655,1.3153445200687823,-0.004977090365183594,-1.4516097128459982
30,1,0.6994633195856327,1.320947101116712,-0.009743918359066702,-2.8568520003252744
30,1,0.7031254312064998,1.3283379109230955,-0.007798625545477295,-2.298476327526338
30,1,0.7067875428273671,1.3313294315633537,-0.001690813195215296,-0.5009261177899887
30,1,0.7104496544482343,1.329854876305139,0.003782861119247637,1.126530269893511
30,1,0.7141117660691014,1.3261469092782818,0.006580312907620186,1.9697082122222556
30,1,0.7177738776899686,1.3227211558674885,0.006378361098241856,1.9190483295591538
30,1,0.7214359893108359,1.3214957722721676,0.005011532586961413,1.5155055227302854
