temperature_c,frequency_thz,n,n_std,kappa,kappa_std,alpha_per_cm,alpha_std
30,0.3002931529111093,1.3374815436206076,0.013284163004042712,-0.011373606521260345,0.015093090055076417,-1.4316365923046463,1.899821307639392
30,0.3039552645319765,1.3329292124445165,0.013381069920718235,-0.016614786306431435,0.010766995106570343,-2.116867088157283,1.3718080485107766
30,0.3076173761528437,1.3327522487585473,0.015306323722065333,-0.0275591985670816,0.018334163829212977,-3.5535841860732824,2.3640743575972323
30,0.3112794877737109,1.345724661996966,0.024202162250841833,-0.03443959324710051,0.030224112140522116,-4.49363380234133,3.9436032529751075
30,0.31494159939457805,1.356082164947848,0.03183393694684407,-0.020438785638389294,0.023681495322926155,-2.6982008736784397,3.1262831608897272
30,0.31860371101544527,1.3475172926405121,0.026431612324003703,-0.008770178320527067,0.012625317926581678,-1.1712467934866369,1.6860960630238888
30,0.3222658226363124,1.3363624135922163,0.019730662407778952,-0.008626029905048214,0.0059425805296199445,-1.1652372782355434,0.8027466213602437
30,0.32592793425717964,1.3289110368949721,0.01578747636610242,-0.015211412223864202,0.005918941136583641,-2.0781662184554053,0.8086391544748646
30,0.3295900458780468,1.3269340936187437,0.01441346165466478,-0.025938718399802295,0.009739640989740487,-3.583535922090281,1.3455696930371082
30,0.333252157498914,1.33417631433343,0.0163497532807832,-0.03936942864832289,0.0125562484293992,-5.49947513696593,1.7539694738239493
30,0.3369142691197812,1.3599219836008092,0.022720414826493396,-0.043558102188455225,0.014769481257408366,-6.151450240256812,2.0858054980511374
30,0.3405763807406484,1.372645651656806,0.027553323848321477,-0.010864538605400296,0.014027975365708286,-1.5510113450840932,2.002620611054665
30,0.34423849236151555,1.3518455053933622,0.026211217096057726,0.0029479751906275253,0.006474612238089879,0.42537544498376373,0.9342483853429379
30,0.34790060398238276,1.3386601252715111,0.021545567913531922,-0.0010222847560363963,0.007781744479206709,-0.1490789168243376,1.134805181348711
30,0.3515627156032499,1.3327513651218792,0.018526662429841967,-0.008831772332753608,0.00830231124783962,-1.3014870068167788,1.2234634010592897
30,0.35522482722411713,1.3333963354590437,0.017203306445824875,-0.018980612520643918,0.010816193307387418,-2.8261987251963667,1.610522932469555
30,0.3588869388449843,1.3455188595293668,0.018765081718509845,-0.027149407263498015,0.015285693324159855,-4.084201557034632,2.2994922824272326
30,0.3625490504658515,1.3646016819379558,0.024660047575930755,-0.016144913352320336,0.015502144493721717,-2.453531576689907,2.355850427422048
30,0.36621116208671867,1.3622304694585003,0.025971244151047884,0.00873905888525577,0.014091135602309613,1.3414837129182222,2.1630508679730913
30,0.3698732737075859,1.3439458842604846,0.024904568035835684,0.020733876508330765,0.010893981893651247,3.214568020063993,1.6889965459385687
30,0.37353538532845304,1.3244716341683238,0.02291934843307177,0.019465872439583247,0.006913334803488725,3.0478583794751453,1.0824516330479654
30,0.37719749694932025,1.3093241675945337,0.018167907942469464,0.006812299743607394,0.0068125667220161,1.0770893012351872,1.0771315130576993
30,0.3808596085701874,1.307224338527093,0.013016230368963811,-0.011065648037034775,0.007845522963435183,-1.7665703231725645,1.2524949275982389
30,0.38452172019105463,1.3203516024057622,0.013146251432807104,-0.026919190902386543,0.007812498514590814,-4.3388240617630975,1.2592152810428607
30,0.3881838318119218,1.336164323270054,0.01665745287236979,-0.02486751420745594,0.009256181696048582,-4.046308380771781,1.5061161826716971
30,0.391845943432789,1.3418108093748955,0.020472534574224363,-0.01343631770750868,0.0077285344443206085,-2.206910802991845,1.269409262846929
30,0.3955080550536562,1.3355441723365145,0.021516449648306284,-0.005903095129139741,0.004586375864012929,-0.9786429593352457,0.7603510277218686
30,0.3991701666745234,1.329162781978989,0.018980905294240073,-0.010154619955518921,0.005333760863451937,-1.6990685875297995,0.8924435947562647
30,0.4028322782953906,1.3336824450685278,0.017279297768970338,-0.016424426877085396,0.0046314752421133445,-2.773343398049395,0.7820468490054019
30,0.40649438991625775,1.3417707318519885,0.018278583513677997,-0.012918881120464793,0.0037438569106095607,-2.201246199637267,0.6379152125960981
30,0.41015650153712496,1.3417263070970034,0.019591337698116332,-0.003787746088350595,0.005719624444589141,-0.6512078386537284,0.9833458171674497
30,0.4138186131579921,1.3340299952624628,0.020621899759595327,-0.000429051539843129,0.004286658366173221,-0.07442325267433776,0.7435634861744512
30,0.41748072477885934,1.3292218554984427,0.020340263381622925,-0.005958069284976384,0.0012324734964208447,-1.0426322139194788,0.21567667455808034
30,0.4211428363997265,1.3334870660435578,0.018781047441231255,-0.011649635253836933,0.0050504101655020305,-2.0565103844249037,0.8915490248966557
30,0.4248049480205937,1.3407869336451392,0.018272305362696487,-0.00911955725189136,0.0037307334509979607,-1.6238745741798701,0.6643133023657979
30,0.42846705964146087,1.341785652412175,0.01647161806714001,-0.0013956805942963572,0.0038908009960609957,-0.2506643893825709,0.6987882900087362
30,0.4321291712623281,1.336800759435727,0.012930662755825223,0.0027876126246334115,0.005701059968177534,0.5049346434102396,1.0326623780700799
30,0.43579128288319524,1.3326407004416148,0.01196183723669963,0.0016938069217190433,0.005090228218062893,0.30940804604897865,0.9298329973145886
30,0.43945339450406246,1.3324384617470926,0.01430042156697071,0.0006174880192322711,0.007936172740706498,0.1137445299222947,1.4618846190669765
30,0.4431155061249296,1.3334162340897273,0.02057348265704705,0.0005769957838913361,0.010368148674677455,0.10717136165091387,1.9257828952759983
30,0.44677761774579683,1.332211625486713,0.025228109105747767,0.0027273097233269294,0.005255464085304964,0.5107578263056628,0.9842187667499
30,0.450439729366664,1.3299334264242777,0.02231397863821028,0.0032513200582878774,0.005957787484663114,0.6138829526111297,1.124892076617207
30,0.4541018409875312,1.3283142147873448,0.01715643089232931,0.0032050604475358387,0.005569651592528766,0.6100685660456824,1.0601576525773406
30,0.45776395260839836,1.3263471680667234,0.013596556416206601,0.0034422566071888815,0.002960279662143125,0.6605017821226574,0.5680198240722568
30,0.4614260642292656,1.3231785662978706,0.013121600216217737,0.0026015314688228887,0.005082547920529032,0.5031765200652565,0.9830435673622108
30,0.46508817585013273,1.3207741476698336,0.01670290492044168,-0.0010834170821132157,0.004891380075285682,-0.21121275346405363,0.9535772243180662
30,0.46875028747099995,1.3218735895150875,0.018203409194172272,-0.005222742838907539,0.0031024177931357833,-1.0261937149466411,0.6095803945653414
30,0.4724123990918671,1.3245151422515988,0.01737193667177693,-0.007329585818362017,0.0028424117672297953,-1.451409237958329,0.5628561830470161
30,0.4760745107127343,1.3277208991566412,0.017528791702537076,-0.008193469515857265,0.0025408740660338544,-1.6350533699076473,0.5070458486651156
30,0.4797366223336015,1.3319162331722951,0.018692310645627458,-0.006728682694490018,0.0014322115292947342,-1.353075663520195,0.28800445098840005
30,0.4833987339544687,1.3338948953984175,0.018114700816679114,-0.0010468153619840703,0.0020622932933712502,-0.21211176461948322,0.4178737583586951
30,0.48706084557533585,1.3292516472451554,0.015003015803023073,0.004040265718599434,0.0033281748337108514,0.8248639205824262,0.6794828689312438
30,0.49072295719620307,1.322829256370549,0.013830018866084884,0.0024219903692050517,0.0028326655196963023,0.498193375918795,0.5826675514690256
30,0.49438506881707023,1.3207616684893573,0.015724651818903715,-0.0025831094014908177,0.0032967559231038834,-0.5353000785305968,0.6831896874035639
30,0.49804718043793744,1.3245394105255806,0.01890285137682559,-0.008611088446293264,0.003940204148113951,-1.7977019804888457,0.8225804257815869
30,0.5017092920588047,1.3315830433989606,0.019238660244256,-0.008170843439699347,0.0049374732169568955,-1.7183364191202137,1.0383554782001623
30,0.5053714036796718,1.334419001601571,0.01678114656852912,-0.00175870606328486,0.004158087604058433,-0.3725573070904645,0.8808327626509908
30,0.509033515300539,1.331129230751198,0.015132447783224355,0.002666252085655808,0.003944294726863733,0.568901065231601,0.8415983934048149
30,0.5126956269214061,1.327439060016225,0.015665320109277545,0.002607564515557579,0.00586503206703792,0.5603815609330629,1.2604312587626958
30,0.5163577385422734,1.3261923142452505,0.017882275176098413,0.0004453850417408279,0.0052726086486820775,0.09639965471314971,1.1412095277916612
30,0.5200198501631406,1.3281396104369485,0.01966321883605645,-0.0011564177285739972,0.0029210090732261634,-0.25207154539003074,0.6367104662900418
30,0.5236819617840077,1.3313942562077254,0.01881196567479031,0.0014467216079899208,0.002344967797823209,0.31757166356358874,0.514746804392065
30,0.527344073404875,1.330056091669278,0.01623804411000144,0.006934991894788795,0.0017708202588538277,1.5329542310506754,0.39143324886652964
30,0.5310061850257422,1.3252811795395774,0.01526288040975472,0.009377614292247635,0.001698182273323172,2.0872818979902306,0.37798367560559853
30,0.5346682966466093,1.3210422071416084,0.01622885994616069,0.009191231869105206,0.003180712417466881,2.059905592042486,0.7128497451405124
30,0.5383304082674765,1.3178861562524964,0.018251283355169907,0.008581788007710811,0.003833553261538413,1.9364926609479336,0.8650467419670517
30,0.5419925198883437,1.314395428568375,0.02024949373747529,0.008895746012967767,0.003828063156303673,2.0209930897668085,0.8696841360806367
30,0.5456546315092109,1.30826093643718,0.022298431896883734,0.009563212696846622,0.0035797529386587725,2.1873124353789457,0.8187664926551868
30,0.5493167431300781,1.2974170036542358,0.026376621908797422,0.00897122579642631,0.0037984086584398956,2.065683521904569,0.8746084819673707
30,0.5529788547509452,1.273924094257918,0.037471533502047474,0.004984889306989336,0.00635761683719091,1.1554554483247803,1.4736421534162885
30,0.5566409663718124,1.1333518526058555,0.11315091944959309,-0.05828843074867238,0.03324517724229209,-13.600243678630175,7.7569854914085345
30,0.5603030779926795,1.410775636367023,0.03482417711244969,0.0006404106347636919,0.013146345171573757,0.15040791972162726,3.087572757014701
30,0.5639651896135468,1.355421736796572,0.006894974794862146,0.006261472072261809,0.004099802720767504,1.480191504342056,0.9691799447037072
30,0.567627301234414,1.3407148185245281,0.002822808324328653,0.004645825867153173,0.00294653327414943,1.105389575043414,0.7010738794132103
30,0.5712894128552811,1.3344476718157068,0.005564903618088102,0.0026566424279053313,0.0030534746839204143,0.6361776992244198,0.7312058554256153
30,0.5749515244761483,1.3316232094212783,0.007526468728481451,0.0011956395462330537,0.0033259136913825877,0.28815135224490973,0.801551379461438
30,0.5786136360970155,1.3300547734179773,0.009286024490397145,0.0007037563344199036,0.0035794199769225133,0.17068688095083423,0.8681414313344926
30,0.5822757477178827,1.3281478184039452,0.011174997594662285,0.0003359189431044565,0.0041671111168519286,0.08198838995753102,1.0170749172028046
30,0.5859378593387499,1.3266283344413412,0.01265436696595773,-0.0014997745653192525,0.0038610532191335673,-0.36835511536725835,0.9483016560361001
