# Menlo Systems GmbH ScanControl
# Program Version 1.10.0
# Start: -166.50000000 ps, Average over 5 waveforms. Timestamp: 2024-11-18T11:25:18
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-166.41411773	0.00079179
-166.38078442	0.00010715
-166.34745110	-0.00056095
-166.31411779	0.00004475
-166.28078447	0.00026284
-166.24745116	0.00022819
-166.21411784	0.00007611
-166.18078453	-0.00027858
-166.14745121	0.00104032
-166.11411790	-0.00052644
-166.08078459	-0.00048151
-166.04745127	-0.00065264
-166.01411796	-0.00042747
-165.98078464	0.00075562
-165.94745133	0.00029842
-165.91411801	-0.00053787
-165.88078470	-0.00025233
-165.84745138	-0.00064280
-165.81411807	-0.00033454
-165.78078475	-0.00010672
-165.74745144	-0.00012722
-165.71411812	-0.00035134
-165.68078481	0.00013065
-165.64745149	-0.00048088
-165.61411818	0.00037788
-165.58078486	-0.00010839
-165.54745155	0.00100103
-165.51411823	0.00063537
-165.48078492	-0.00023297
-165.44745160	0.00035253
-165.41411829	-0.00038818
-165.38078497	-0.00025481
-165.34745166	-0.00045578
-165.31411835	-0.00022699
-165.28078503	-0.00028061
-165.24745172	0.00025253
-165.21411840	0.00007090
-165.18078509	0.00044102
-165.14745177	0.00052522
-165.11411846	0.00070246
-165.08078514	0.00014285
-165.04745183	0.00060809
-165.01411851	0.00011715
-164.98078520	0.00040698
-164.94745188	0.00083581
-164.91411857	0.00073319
-164.88078525	0.00025826
-164.84745194	0.00046898
-164.81411862	-0.00018810
-164.78078531	0.00019402
-164.74745199	0.00071481
-164.71411868	0.00029799
-164.68078536	0.00147349
-164.64745205	0.00085542
-164.61411873	-0.00008279
-164.58078542	0.00054889
-164.54745211	-0.00020846
-164.51411879	0.00025617
-164.48078548	0.00115495
-164.44745216	0.00033660
-164.41411885	0.00053866
-164.38078553	0.00072516
-164.34745222	0.00002400
-164.31411890	0.00066922
-164.28078559	0.00033580
-164.24745227	0.00036572
-164.21411896	0.00079726
-164.18078564	0.00068680
-164.14745233	0.00127548
-164.11411901	0.00052139
-164.08078570	0.00042922
-164.04745238	0.00030546
-164.01411907	0.00032565
-163.98078575	0.00051007
-163.94745244	0.00119022
-163.91411912	0.00043776
-163.88078581	0.00072837
-163.84745249	0.00121908
-163.81411918	0.00017990
-163.78078587	0.00023553
-163.74745255	0.00055438
-163.71411924	0.00138279
-163.68078592	0.00082928
-163.64745261	0.00079117
-163.61411929	0.00087286
-163.58078598	0.00023185
-163.54745266	-0.00025710
-163.51411935	0.00091199
-163.48078603	0.00064138
-163.44745272	0.00024278
-163.41411940	0.00049575
-163.38078609	0.00027303
-163.34745277	0.00004164
-163.31411946	0.00049802
-163.28078614	0.00013929
-163.24745283	0.00089994
-163.21411951	0.00100283
-163.18078620	0.00123094
-163.14745288	0.00073256
-163.11411957	0.00095730
-163.08078625	0.00091379
-163.04745294	0.00128638
-163.01411962	0.00145750
-162.98078631	0.00104200
-162.94745300	0.00042147
-162.91411968	0.00102103
-162.88078637	-0.00001527
-162.84745305	0.00156201
-162.81411974	0.00097034
-162.78078642	0.00084641
-162.74745311	0.00035629
-162.71411979	0.00026645
-162.68078648	0.00120330
-162.64745316	0.00078848
-162.61411985	0.00119225
-162.58078653	0.00085613
-162.54745322	0.00167923
-162.51411990	0.00110429
-162.48078659	0.00183052
-162.44745327	0.00019828
-162.41411996	0.00125520
-162.38078664	0.00171398
-162.34745333	0.00005787
-162.31412001	0.00067707
-162.28078670	0.00153845
-162.24745338	0.00121530
-162.21412007	0.00068747
-162.18078676	0.00072006
-162.14745344	0.00093351
-162.11412013	0.00151434
-162.08078681	0.00063024
-162.04745350	0.00106936
-162.01412018	0.00109756
-161.98078687	0.00085305
-161.94745355	0.00094521
-161.91412024	0.00065753
-161.88078692	0.00112941
-161.84745361	0.00150695
-161.81412029	0.00070098
-161.78078698	0.00079503
-161.74745366	0.00100767
-161.71412035	0.00115375
-161.68078703	0.00074367
-161.64745372	0.00119026
-161.61412040	0.00118634
-161.58078709	0.00106052
-161.54745377	0.00132820
-161.51412046	0.00092392
-161.48078714	0.00087002
-161.44745383	0.00125681
-161.41412052	0.00130284
-161.38078720	0.00101874
-161.34745389	0.00115262
-161.31412057	0.00133122
-161.28078726	0.00166323
-161.24745394	0.00126854
-161.21412063	0.00067698
-161.18078731	0.00085374
-161.14745400	0.00171336
-161.11412068	-0.00013143
-161.08078737	0.00066033
-161.04745405	0.00046622
-161.01412074	0.00075938
-160.98078742	0.00003828
-160.94745411	0.00099060
-160.91412079	0.00012536
-160.88078748	0.00025150
-160.84745416	0.00105396
-160.81412085	0.00026494
-160.78078753	0.00038848
-160.74745422	0.00051790
-160.71412090	0.00143111
-160.68078759	0.00078447
-160.64745428	0.00074057
-160.61412096	0.00010516
-160.58078765	0.00098533
-160.54745433	0.00013177
-160.51412102	0.00004551
-160.48078770	-0.00004747
-160.44745439	0.00102310
-160.41412107	0.00091469
-160.38078776	-0.00002919
-160.34745444	0.00080469
-160.31412113	0.00049814
-160.28078781	0.00094143
-160.24745450	0.00008068
-160.21412118	0.00006358
-160.18078787	0.00016224
-160.14745455	0.00071679
-160.11412124	0.00115098
-160.08078792	0.00054081
-160.04745461	0.00023638
-160.01412129	0.00137472
-159.98078798	0.00026638
-159.94745466	0.00016878
-159.91412135	0.00012051
-159.88078804	0.00123018
-159.84745472	0.00062108
-159.81412141	0.00128126
-159.78078809	-0.00053448
-159.74745478	0.00000751
-159.71412146	0.00022550
-159.68078815	-0.00000268
-159.64745483	0.00051025
-159.61412152	0.00034034
-159.58078820	-0.00033098
-159.54745489	0.00017255
-159.51412157	-0.00027410
-159.48078826	0.00041300
-159.44745494	0.00043125
-159.41412163	0.00032669
-159.38078831	-0.00060602
-159.34745500	0.00000769
-159.31412168	0.00020688
-159.28078837	0.00033896
-159.24745505	0.00022322
-159.21412174	0.00002229
-159.18078842	0.00096122
-159.14745511	0.00073211
-159.11412180	-0.00001610
-159.08078848	-0.00002557
-159.04745517	0.00045472
-159.01412185	0.00008748
-158.98078854	0.00014222
-158.94745522	0.00016978
-158.91412191	0.00037054
-158.88078859	-0.00109074
-158.84745528	-0.00050074
-158.81412196	0.00062684
-158.78078865	0.00004380
-158.74745533	0.00056732
-158.71412202	0.00084999
-158.68078870	-0.00043482
-158.64745539	0.00045358
-158.61412207	0.00025293
-158.58078876	-0.00016353
-158.54745544	-0.00051791
-158.51412213	-0.00039960
-158.48078881	0.00000130
-158.44745550	0.00033145
-158.41412218	-0.00053579
-158.38078887	0.00012902
-158.34745556	-0.00051591
-158.31412224	0.00012577
-158.28078893	-0.00034212
-158.24745561	-0.00000167
-158.21412230	-0.00019330
-158.18078898	0.00023496
-158.14745567	-0.00071096
-158.11412235	-0.00016780
-158.08078904	0.00014942
-158.04745572	-0.00034123
-158.01412241	-0.00020531
-157.98078909	0.00001056
-157.94745578	-0.00090026
-157.91412246	-0.00030543
-157.88078915	-0.00074419
-157.84745583	0.00017877
-157.81412252	0.00061569
-157.78078920	-0.00010867
-157.74745589	-0.00029920
-157.71412257	0.00031275
-157.68078926	0.00001036
-157.64745594	-0.00046322
-157.61412263	-0.00035045
-157.58078932	0.00002705
-157.54745600	-0.00062484
-157.51412269	-0.00036727
-157.48078937	0.00021281
-157.44745606	-0.00073075
-157.41412274	-0.00067515
-157.38078943	-0.00063935
-157.34745611	0.00044019
-157.31412280	0.00055857
-157.28078948	-0.00079018
-157.24745617	-0.00032278
-157.21412285	-0.00115339
-157.18078954	-0.00055168
-157.14745622	-0.00003530
-157.11412291	-0.00058195
-157.08078959	-0.00010237
-157.04745628	0.00054092
-157.01412296	-0.00120457
-156.98078965	-0.00009030
-156.94745633	0.00121714
-156.91412302	0.00036979
-156.88078970	-0.00078313
-156.84745639	-0.00062555
-156.81412308	-0.00040259
-156.78078976	-0.00033634
-156.74745645	0.00053804
-156.71412313	0.00061088
-156.68078982	-0.00031532
-156.64745650	-0.00007342
-156.61412319	-0.00083595
-156.58078987	-0.00041167
-156.54745656	-0.00117727
-156.51412324	-0.00136763
-156.48078993	-0.00023753
-156.44745661	-0.00048317
-156.41412330	-0.00023493
-156.38078998	-0.00076992
-156.34745667	-0.00122391
-156.31412335	-0.00070908
-156.28079004	-0.00064116
-156.24745672	-0.00019441
-156.21412341	-0.00049660
-156.18079009	0.00066899
-156.14745678	-0.00070604
-156.11412346	-0.00130926
-156.08079015	-0.00008836
-156.04745684	-0.00099009
-156.01412352	-0.00147779
-155.98079021	-0.00050511
-155.94745689	-0.00109780
-155.91412358	-0.00040752
-155.88079026	-0.00136132
-155.84745695	-0.00036307
-155.81412363	-0.00003743
-155.78079032	0.00026634
-155.74745700	-0.00068651
-155.71412369	0.00030727
-155.68079037	0.00016986
-155.64745706	-0.00048864
-155.61412374	-0.00033865
-155.58079043	-0.00032208
-155.54745711	-0.00114570
-155.51412380	-0.00052483
-155.48079048	-0.00050586
-155.44745717	0.00015122
-155.41412385	-0.00005568
-155.38079054	0.00007463
-155.34745722	0.00012059
-155.31412391	0.00064257
-155.28079060	-0.00002126
-155.24745728	0.00056572
-155.21412397	0.00002498
-155.18079065	0.00078021
-155.14745734	0.00044184
-155.11412402	0.00021529
-155.08079071	0.00019836
-155.04745739	0.00121287
-155.01412408	0.00107043
-154.98079076	0.00115061
-154.94745745	0.00152115
-154.91412413	0.00193067
-154.88079082	0.00268354
-154.84745750	0.00380879
-154.81412419	0.00348247
-154.78079087	0.00319711
-154.74745756	0.00337465
-154.71412424	0.00346619
-154.68079093	0.00368555
-154.64745761	0.00355521
-154.61412430	0.00378210
-154.58079098	0.00415709
-154.54745767	0.00453391
-154.51412436	0.00441874
-154.48079104	0.00452388
-154.44745773	0.00333241
-154.41412441	0.00142626
-154.38079110	0.00215207
-154.34745778	0.00033223
-154.31412447	-0.00181100
-154.28079115	-0.00335648
-154.24745784	-0.00546617
-154.21412452	-0.00700336
-154.18079121	-0.00845800
-154.14745789	-0.00995182
-154.11412458	-0.01074645
-154.08079126	-0.01124048
-154.04745795	-0.01187548
-154.01412463	-0.01210193
-153.98079132	-0.01020311
-153.94745800	-0.00859656
-153.91412469	-0.00707028
-153.88079137	-0.00554041
-153.84745806	-0.00439568
-153.81412474	-0.00147543
-153.78079143	-0.00010616
-153.74745812	0.00150469
-153.71412480	0.00313268
-153.68079149	0.00453751
-153.64745817	0.00386330
-153.61412486	0.00495248
-153.58079154	0.00439600
-153.54745823	0.00435447
-153.51412491	0.00403442
-153.48079160	0.00324416
-153.44745828	0.00246492
-153.41412497	0.00080189
-153.38079165	0.00056070
-153.34745834	0.00030394
-153.31412502	-0.00058439
-153.28079171	-0.00209353
-153.24745839	-0.00124808
-153.21412508	-0.00107796
-153.18079176	-0.00094452
-153.14745845	-0.00139296
-153.11412513	-0.00158194
-153.08079182	-0.00152120
-153.04745850	-0.00214537
-153.01412519	-0.00133360
-152.98079187	-0.00000924
-152.94745856	0.00056394
-152.91412525	0.00126080
-152.88079193	0.00261847
-152.84745862	0.00247681
-152.81412530	0.00294029
-152.78079199	0.00386320
-152.74745867	0.00349169
-152.71412536	0.00372466
-152.68079204	0.00266570
-152.64745873	0.00234151
-152.61412541	0.00230832
-152.58079210	0.00201341
-152.54745878	0.00189661
-152.51412547	0.00158552
-152.48079215	0.00118895
-152.44745884	0.00067030
-152.41412552	0.00080977
-152.38079221	0.00098649
-152.34745889	0.00044929
-152.31412558	0.00095090
-152.28079226	0.00007547
-152.24745895	0.00050447
-152.21412563	0.00161879
-152.18079232	0.00067428
-152.14745901	0.00125139
-152.11412569	0.00009144
-152.08079238	0.00009605
-152.04745906	-0.00003779
-152.01412575	-0.00090360
-151.98079243	-0.00173250
-151.94745912	-0.00063315
-151.91412580	-0.00029733
-151.88079249	-0.00010600
-151.84745917	-0.00037501
-151.81412586	0.00000776
-151.78079254	-0.00006123
-151.74745923	-0.00064285
-151.71412591	0.00001687
-151.68079260	0.00027723
-151.64745928	0.00088575
-151.61412597	0.00023004
-151.58079265	-0.00001547
-151.54745934	0.00036910
-151.51412602	0.00096814
-151.48079271	-0.00016399
-151.44745939	-0.00032075
-151.41412608	-0.00014915
-151.38079277	-0.00053474
-151.34745945	-0.00056360
-151.31412614	-0.00098495
-151.28079282	-0.00033144
-151.24745951	-0.00029130
-151.21412619	-0.00089458
-151.18079288	-0.00103663
-151.14745956	-0.00180107
-151.11412625	-0.00159720
-151.08079293	-0.00151724
-151.04745962	-0.00122873
-151.01412630	-0.00165357
-150.98079299	-0.00149708
-150.94745967	-0.00106472
-150.91412636	-0.00206942
-150.88079304	-0.00194903
-150.84745973	-0.00183814
-150.81412641	-0.00151527
-150.78079310	-0.00154079
-150.74745978	-0.00127298
-150.71412647	-0.00137940
-150.68079315	-0.00106085
-150.64745984	-0.00073828
-150.61412653	-0.00079260
-150.58079321	-0.00037000
-150.54745990	0.00030430
-150.51412658	-0.00018672
-150.48079327	-0.00068094
-150.44745995	-0.00084707
-150.41412664	-0.00074583
-150.38079332	-0.00087507
-150.34746001	-0.00095612
-150.31412669	-0.00152764
-150.28079338	-0.00139866
-150.24746006	-0.00101144
-150.21412675	-0.00258413
-150.18079343	-0.00368492
-150.14746012	-0.00332430
-150.11412680	-0.00263567
-150.08079349	-0.00392901
-150.04746017	-0.00435612
-150.01412686	-0.00394326
-149.98079354	-0.00380113
-149.94746023	-0.00480981
-149.91412691	-0.00471773
-149.88079360	-0.00531754
-149.84746029	-0.00658708
-149.81412697	-0.00677866
-149.78079366	-0.00618283
-149.74746034	-0.00775185
-149.71412703	-0.00734040
-149.68079371	-0.00830000
-149.64746040	-0.00803486
-149.61412708	-0.00716698
-149.58079377	-0.00776862
-149.54746045	-0.00661777
-149.51412714	-0.00606650
-149.48079382	-0.00588505
-149.44746051	-0.00505808
-149.41412719	-0.00443238
-149.38079388	-0.00422612
-149.34746056	-0.00437655
-149.31412725	-0.00385464
-149.28079393	-0.00474660
-149.24746062	-0.00445208
-149.21412730	-0.00518784
-149.18079399	-0.00615025
-149.14746067	-0.00550195
-149.11412736	-0.00640989
-149.08079405	-0.00621694
-149.04746073	-0.00663958
-149.01412742	-0.00638767
-148.98079410	-0.00668713
-148.94746079	-0.00635814
-148.91412747	-0.00706911
-148.88079416	-0.00675090
-148.84746084	-0.00568369
-148.81412753	-0.00590383
-148.78079421	-0.00652838
-148.74746090	-0.00577939
-148.71412758	-0.00517034
-148.68079427	-0.00389255
-148.64746095	-0.00354153
-148.61412764	-0.00313932
-148.58079432	-0.00225097
-148.54746101	-0.00213434
-148.51412769	-0.00161172
-148.48079438	-0.00144727
-148.44746106	-0.00100481
-148.41412775	0.00147483
-148.38079443	0.00192020
-148.34746112	0.00370206
-148.31412781	0.00480644
-148.28079449	0.00635786
-148.24746118	0.00853772
-148.21412786	0.01034787
-148.18079455	0.01306112
-148.14746123	0.01528467
-148.11412792	0.01755300
-148.08079460	0.01922649
-148.04746129	0.02317388
-148.01412797	0.02690787
-147.98079466	0.02935372
-147.94746134	0.03374894
-147.91412803	0.03772024
-147.88079471	0.04253480
-147.84746140	0.04708580
-147.81412808	0.05174544
-147.78079477	0.05682912
-147.74746145	0.06346888
-147.71412814	0.06975161
-147.68079482	0.07637574
-147.64746151	0.08364873
-147.61412819	0.09211503
-147.58079488	0.10133858
-147.54746157	0.11118053
-147.51412825	0.12209359
-147.48079494	0.13513244
-147.44746162	0.14863851
-147.41412831	0.16411952
-147.38079499	0.18222917
-147.34746168	0.20237392
-147.31412836	0.22401411
-147.28079505	0.24848489
-147.24746173	0.27568160
-147.21412842	0.30609594
-147.18079510	0.34003203
-147.14746179	0.37626957
-147.11412847	0.41604293
-147.08079516	0.45961097
-147.04746184	0.50573880
-147.01412853	0.55366890
-146.98079521	0.60345343
-146.94746190	0.65295812
-146.91412858	0.70223150
-146.88079527	0.74700892
-146.84746195	0.78605226
-146.81412864	0.81380656
-146.78079533	0.82623927
-146.74746201	0.81390731
-146.71412870	0.76920460
-146.68079538	0.68260984
-146.64746207	0.54507892
-146.61412875	0.34756465
-146.58079544	0.08280120
-146.54746212	-0.24856651
-146.51412881	-0.64705866
-146.48079549	-1.09664102
-146.44746218	-1.57994392
-146.41412886	-2.06979922
-146.38079555	-2.53422998
-146.34746223	-2.93706774
-146.31412892	-3.23751593
-146.28079560	-3.39674169
-146.24746229	-3.38355716
-146.21412897	-3.18726584
-146.18079566	-2.81131748
-146.14746234	-2.28158332
-146.11412903	-1.64492379
-146.08079571	-0.94754616
-146.04746240	-0.23976810
-146.01412909	0.44105856
-145.98079577	1.07234048
-145.94746246	1.62682626
-145.91412914	2.08402684
-145.88079583	2.41555626
-145.84746251	2.61179930
-145.81412920	2.67047732
-145.78079588	2.59914862
-145.74746257	2.42131601
-145.71412925	2.16559434
-145.68079594	1.86561759
-145.64746262	1.55500039
-145.61412931	1.26056353
-145.58079599	1.00053189
-145.54746268	0.77837576
-145.51412936	0.59420242
-145.48079605	0.44199375
-145.44746273	0.31728379
-145.41412942	0.22147228
-145.38079610	0.15088391
-145.34746279	0.10988952
-145.31412947	0.09565884
-145.28079616	0.10132093
-145.24746285	0.12075648
-145.21412953	0.14133984
-145.18079622	0.15605886
-145.14746290	0.15610389
-145.11412959	0.13879618
-145.08079627	0.10535866
-145.04746296	0.05909538
-145.01412964	0.00513933
-144.98079633	-0.05414811
-144.94746301	-0.11628510
-144.91412970	-0.17577887
-144.88079638	-0.22915353
-144.84746307	-0.27077549
-144.81412975	-0.29509498
-144.78079644	-0.29526855
-144.74746312	-0.26698908
-144.71412981	-0.21237030
-144.68079649	-0.13346630
-144.64746318	-0.03939204
-144.61412986	0.06035554
-144.58079655	0.15273063
-144.54746323	0.22846128
-144.51412992	0.27689402
-144.48079661	0.29742445
-144.44746329	0.28688248
-144.41412998	0.24864177
-144.38079666	0.18583189
-144.34746335	0.10509342
-144.31413003	0.00861380
-144.28079672	-0.09004875
-144.24746340	-0.18537205
-144.21413009	-0.26394871
-144.18079677	-0.31558471
-144.14746346	-0.33554649
-144.11413014	-0.32242021
-144.08079683	-0.27981230
-144.04746351	-0.21498353
-144.01413020	-0.13840467
-143.98079688	-0.06074712
-143.94746357	0.00944337
-143.91413025	0.06631160
-143.88079694	0.11177513
-143.84746362	0.14316011
-143.81413031	0.16424796
-143.78079699	0.17411425
-143.74746368	0.17564081
-143.71413036	0.16582661
-143.68079705	0.14701318
-143.64746374	0.12042823
-143.61413042	0.08646477
-143.58079711	0.05238487
-143.54746379	0.01897954
-143.51413048	-0.01010364
-143.48079716	-0.03328438
-143.44746385	-0.05129742
-143.41413053	-0.06679674
-143.38079722	-0.08088352
-143.34746390	-0.09566359
-143.31413059	-0.11059145
-143.28079727	-0.12681296
-143.24746396	-0.14351152
-143.21413064	-0.16308728
-143.18079733	-0.18424074
-143.14746401	-0.20364334
-143.11413070	-0.21933755
-143.08079738	-0.22428187
-143.04746407	-0.21736913
-143.01413075	-0.19765411
-142.98079744	-0.16196658
-142.94746412	-0.11354015
-142.91413081	-0.05598818
-142.88079750	0.00639817
-142.84746418	0.06996113
-142.81413087	0.13329760
-142.78079755	0.18881956
-142.74746424	0.23686185
-142.71413092	0.27334835
-142.68079761	0.29273495
-142.64746429	0.29111020
-142.61413098	0.26773382
-142.58079766	0.22063522
-142.54746435	0.15137290
-142.51413103	0.06756230
-142.48079772	-0.02215994
-142.44746440	-0.10734102
-142.41413109	-0.17911215
-142.38079777	-0.22775382
-142.34746446	-0.25141840
-142.31413114	-0.24865793
-142.28079783	-0.22037123
-142.24746451	-0.17416590
-142.21413120	-0.11216187
-142.18079788	-0.04151536
-142.14746457	0.03134510
-142.11413126	0.09577197
-142.08079794	0.14755352
-142.04746463	0.17771167
-142.01413131	0.18485031
-141.98079800	0.16825467
-141.94746468	0.13149271
-141.91413137	0.08043196
-141.88079805	0.02334527
-141.84746474	-0.03336218
-141.81413142	-0.08481808
-141.78079811	-0.12593457
-141.74746479	-0.15696148
-141.71413148	-0.17564976
-141.68079816	-0.18261992
-141.64746485	-0.17751869
-141.61413153	-0.16577396
-141.58079822	-0.14583339
-141.54746490	-0.12171410
-141.51413159	-0.09537140
-141.48079827	-0.06712316
-141.44746496	-0.03870476
-141.41413164	-0.01180781
-141.38079833	0.01295988
-141.34746502	0.03426018
-141.31413170	0.05144841
-141.28079839	0.06006170
-141.24746507	0.06297575
-141.21413176	0.05901081
-141.18079844	0.05102439
-141.14746513	0.04014811
-141.11413181	0.03146757
-141.08079850	0.02989101
-141.04746518	0.03881372
-141.01413187	0.05712349
-140.98079855	0.08147332
-140.94746524	0.10658757
-140.91413192	0.12554234
-140.88079861	0.12981171
-140.84746529	0.11868338
-140.81413198	0.09230329
-140.78079866	0.05971610
-140.74746535	0.02546517
-140.71413203	-0.00507275
-140.68079872	-0.02867368
-140.64746540	-0.04569324
-140.61413209	-0.05817669
-140.58079878	-0.06660619
-140.54746546	-0.07311808
-140.51413215	-0.07962126
-140.48079883	-0.08048953
-140.44746552	-0.07922182
-140.41413220	-0.07469654
-140.38079889	-0.06783727
-140.34746557	-0.05811113
-140.31413226	-0.04963140
-140.28079894	-0.04172201
-140.24746563	-0.03710040
-140.21413231	-0.03492111
-140.18079900	-0.03597443
-140.14746568	-0.03969333
-140.11413237	-0.04339995
-140.08079905	-0.04521067
-140.04746574	-0.04032403
-140.01413242	-0.02760424
-139.98079911	-0.00660926
-139.94746579	0.01952502
-139.91413248	0.04355455
-139.88079916	0.06242014
-139.84746585	0.07452644
-139.81413254	0.07448050
-139.78079922	0.06627893
-139.74746591	0.05236992
-139.71413259	0.03506543
-139.68079928	0.01631938
-139.64746596	-0.00235518
-139.61413265	-0.02188363
-139.58079933	-0.03854458
-139.54746602	-0.05132509
-139.51413270	-0.05925538
-139.48079939	-0.05894355
-139.44746607	-0.05037929
-139.41413276	-0.03546586
-139.38079944	-0.01723148
-139.34746613	-0.00103392
-139.31413281	0.01254885
-139.28079950	0.02217105
-139.24746618	0.03044836
-139.21413287	0.04160307
-139.18079955	0.05653668
-139.14746624	0.07337921
-139.11413292	0.09033594
-139.08079961	0.10278767
-139.04746630	0.10526826
-139.01413298	0.09491347
-138.98079967	0.07580022
-138.94746635	0.04779134
-138.91413304	0.01690309
-138.88079972	-0.01242049
-138.84746641	-0.03692363
-138.81413309	-0.05454476
-138.78079978	-0.06668339
-138.74746646	-0.07223144
-138.71413315	-0.07354534
-138.68079983	-0.07080657
-138.64746652	-0.06507344
-138.61413320	-0.05631261
-138.58079989	-0.04607905
-138.54746657	-0.03491464
-138.51413326	-0.02084502
