# Menlo Systems GmbH ScanControl
# Program Version 1.10.0
# Start: -166.50000000 ps, Average over 5 waveforms. Timestamp: 2024-11-18T11:12:33
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-166.41411773	-0.00056264
-166.38078442	-0.00048709
-166.34745110	0.00026550
-166.31411779	0.00023601
-166.28078447	-0.00004995
-166.24745116	0.00059607
-166.21411784	0.00124738
-166.18078453	-0.00033507
-166.14745121	-0.00032542
-166.11411790	0.00015985
-166.08078459	-0.00022722
-166.04745127	0.00024993
-166.01411796	-0.00004949
-165.98078464	0.00019521
-165.94745133	0.00025312
-165.91411801	-0.00131568
-165.88078470	-0.00050753
-165.84745138	-0.00013887
-165.81411807	-0.00078264
-165.78078475	0.00060616
-165.74745144	0.00007234
-165.71411812	-0.00052553
-165.68078481	-0.00023085
-165.64745149	0.00011792
-165.61411818	-0.00006017
-165.58078486	0.00053446
-165.54745155	0.00077901
-165.51411823	-0.00002287
-165.48078492	0.00026023
-165.44745160	0.00004784
-165.41411829	0.00045898
-165.38078497	0.00064395
-165.34745166	0.00020862
-165.31411835	0.00066689
-165.28078503	-0.00031180
-165.24745172	-0.00011113
-165.21411840	0.00014825
-165.18078509	-0.00048463
-165.14745177	0.00032908
-165.11411846	0.00022065
-165.08078514	-0.00025481
-165.04745183	0.00027675
-165.01411851	-0.00051237
-164.98078520	0.00017903
-164.94745188	0.00062801
-164.91411857	0.00077357
-164.88078525	0.00125922
-164.84745194	0.00115701
-164.81411862	0.00104757
-164.78078531	0.00041505
-164.74745199	0.00043822
-164.71411868	0.00103813
-164.68078536	0.00095552
-164.64745205	0.00064634
-164.61411873	0.00063169
-164.58078542	0.00082501
-164.54745211	0.00006846
-164.51411879	0.00063209
-164.48078548	0.00063330
-164.44745216	0.00136951
-164.41411885	0.00040384
-164.38078553	0.00170730
-164.34745222	0.00170647
-164.31411890	0.00112821
-164.28078559	0.00072922
-164.24745227	0.00126614
-164.21411896	0.00070522
-164.18078564	0.00117527
-164.14745233	0.00008257
-164.11411901	0.00059069
-164.08078570	0.00040693
-164.04745238	0.00101054
-164.01411907	0.00183454
-163.98078575	0.00078181
-163.94745244	0.00156378
-163.91411912	0.00046949
-163.88078581	0.00058745
-163.84745249	0.00174493
-163.81411918	0.00134201
-163.78078587	0.00010440
-163.74745255	0.00171745
-163.71411924	0.00039941
-163.68078592	0.00041991
-163.64745261	0.00111775
-163.61411929	0.00065884
-163.58078598	0.00094815
-163.54745266	-0.00011348
-163.51411935	0.00026126
-163.48078603	0.00052978
-163.44745272	0.00045815
-163.41411940	0.00045231
-163.38078609	0.00119076
-163.34745277	0.00061468
-163.31411946	0.00073126
-163.28078614	0.00017414
-163.24745283	0.00030491
-163.21411951	-0.00017196
-163.18078620	0.00079828
-163.14745288	0.00085354
-163.11411957	0.00141511
-163.08078625	0.00055177
-163.04745294	0.00039149
-163.01411962	0.00082875
-162.98078631	0.00086420
-162.94745300	0.00025825
-162.91411968	0.00090624
-162.88078637	0.00052210
-162.84745305	0.00049905
-162.81411974	0.00046262
-162.78078642	0.00098311
-162.74745311	0.00030154
-162.71411979	0.00045240
-162.68078648	0.00069693
-162.64745316	0.00102947
-162.61411985	0.00097480
-162.58078653	0.00105841
-162.54745322	0.00104780
-162.51411990	0.00052367
-162.48078659	0.00077006
-162.44745327	0.00010096
-162.41411996	0.00111760
-162.38078664	0.00093233
-162.34745333	0.00037348
-162.31412001	0.00086786
-162.28078670	-0.00030334
-162.24745338	0.00019929
-162.21412007	0.00072441
-162.18078676	0.00069342
-162.14745344	0.00044924
-162.11412013	0.00096039
-162.08078681	0.00039471
-162.04745350	0.00047384
-162.01412018	0.00026329
-161.98078687	0.00106364
-161.94745355	0.00036081
-161.91412024	0.00069698
-161.88078692	0.00031216
-161.84745361	0.00018259
-161.81412029	0.00013022
-161.78078698	0.00022232
-161.74745366	0.00000629
-161.71412035	0.00074084
-161.68078703	0.00023998
-161.64745372	0.00059299
-161.61412040	0.00089643
-161.58078709	0.00022711
-161.54745377	0.00077421
-161.51412046	0.00019350
-161.48078714	0.00060539
-161.44745383	0.00065492
-161.41412052	0.00063867
-161.38078720	0.00031302
-161.34745389	-0.00046269
-161.31412057	0.00024676
-161.28078726	0.00039339
-161.24745394	0.00009652
-161.21412063	0.00078525
-161.18078731	-0.00034363
-161.14745400	0.00022274
-161.11412068	-0.00008007
-161.08078737	0.00060252
-161.04745405	0.00002387
-161.01412074	0.00006292
-160.98078742	0.00043904
-160.94745411	0.00017043
-160.91412079	0.00007045
-160.88078748	0.00048525
-160.84745416	0.00063862
-160.81412085	0.00013019
-160.78078753	0.00058805
-160.74745422	0.00063736
-160.71412090	0.00086299
-160.68078759	-0.00002585
-160.64745428	-0.00044608
-160.61412096	-0.00138590
-160.58078765	0.00019380
-160.54745433	0.00000683
-160.51412102	0.00032457
-160.48078770	0.00019049
-160.44745439	-0.00081632
-160.41412107	0.00049897
-160.38078776	-0.00040752
-160.34745444	0.00028866
-160.31412113	0.00050056
-160.28078781	0.00008065
-160.24745450	0.00046647
-160.21412118	-0.00013961
-160.18078787	0.00040432
-160.14745455	0.00085619
-160.11412124	0.00056003
-160.08078792	-0.00024902
-160.04745461	-0.00006035
-160.01412129	0.00045451
-159.98078798	0.00006123
-159.94745466	-0.00007117
-159.91412135	0.00058546
-159.88078804	-0.00018071
-159.84745472	0.00032045
-159.81412141	0.00043709
-159.78078809	0.00075831
-159.74745478	0.00028951
-159.71412146	0.00072750
-159.68078815	-0.00027885
-159.64745483	-0.00029587
-159.61412152	-0.00071853
-159.58078820	0.00010288
-159.54745489	0.00035448
-159.51412157	0.00060853
-159.48078826	0.00022721
-159.44745494	-0.00059724
-159.41412163	0.00036642
-159.38078831	0.00067619
-159.34745500	0.00026535
-159.31412168	0.00065498
-159.28078837	0.00028120
-159.24745505	0.00051526
