# Menlo Systems GmbH ScanControl
# Program Version 1.10.0
# Start: -166.50000000 ps, Average over 5 waveforms. Timestamp: 2024-11-18T11:51:53
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-166.41411773	-0.00011569
-166.38078442	-0.00078428
-166.34745110	0.00034130
-166.31411779	0.00010904
-166.28078447	0.00061926
-166.24745116	0.00097839
-166.21411784	0.00161382
-166.18078453	-0.00014211
-166.14745121	-0.00015591
-166.11411790	-0.00023423
-166.08078459	0.00049165
-166.04745127	-0.00047573
-166.01411796	-0.00104693
-165.98078464	0.00029028
-165.94745133	0.00003749
-165.91411801	0.00033539
-165.88078470	-0.00020886
-165.84745138	-0.00071987
-165.81411807	-0.00030959
-165.78078475	-0.00018451
-165.74745144	0.00019622
-165.71411812	-0.00048572
-165.68078481	-0.00069096
-165.64745149	-0.00025610
-165.61411818	-0.00023063
-165.58078486	0.00008959
-165.54745155	0.00044703
-165.51411823	-0.00026258
-165.48078492	0.00034448
-165.44745160	0.00040975
-165.41411829	-0.00088637
-165.38078497	-0.00006847
-165.34745166	-0.00065161
-165.31411835	-0.00069016
-165.28078503	-0.00040988
-165.24745172	-0.00041966
-165.21411840	-0.00066743
-165.18078509	0.00023519
-165.14745177	0.00064421
-165.11411846	-0.00055278
-165.08078514	-0.00096688
-165.04745183	0.00085910
-165.01411851	0.00082202
-164.98078520	-0.00066988
-164.94745188	0.00076348
-164.91411857	0.00004243
-164.88078525	-0.00056080
-164.84745194	0.00095325
-164.81411862	0.00084091
-164.78078531	0.00040893
-164.74745199	0.00054807
-164.71411868	0.00030317
-164.68078536	0.00025369
-164.64745205	0.00041547
-164.61411873	-0.00012336
-164.58078542	0.00103263
-164.54745211	-0.00022912
-164.51411879	0.00109847
-164.48078548	0.00086760
-164.44745216	-0.00010082
-164.41411885	0.00060133
-164.38078553	0.00000205
-164.34745222	0.00035914
-164.31411890	0.00020802
-164.28078559	-0.00005642
-164.24745227	0.00043699
-164.21411896	-0.00015313
-164.18078564	-0.00039026
-164.14745233	0.00031895
-164.11411901	-0.00050057
-164.08078570	-0.00013705
-164.04745238	-0.00051344
-164.01411907	-0.00030940
-163.98078575	0.00088610
-163.94745244	-0.00004677
-163.91411912	-0.00060818
-163.88078581	0.00002416
-163.84745249	0.00018799
-163.81411918	0.00093983
-163.78078587	-0.00089713
-163.74745255	-0.00101760
-163.71411924	-0.00046630
-163.68078592	-0.00014561
-163.64745261	-0.00051333
-163.61411929	-0.00023638
-163.58078598	-0.00087107
-163.54745266	-0.00021213
-163.51411935	-0.00072146
-163.48078603	-0.00026109
-163.44745272	0.00019164
-163.41411940	-0.00094172
-163.38078609	-0.00055714
-163.34745277	-0.00089765
-163.31411946	-0.00121196
-163.28078614	-0.00023029
-163.24745283	0.00016510
-163.21411951	-0.00003960
-163.18078620	0.00045172
-163.14745288	0.00054962
-163.11411957	-0.00030387
-163.08078625	0.00006938
-163.04745294	0.00028245
-163.01411962	0.00055377
-162.98078631	0.00018859
-162.94745300	-0.00053264
-162.91411968	0.00008784
-162.88078637	-0.00024000
-162.84745305	0.00013210
-162.81411974	0.00015048
-162.78078642	-0.00028592
-162.74745311	0.00031942
-162.71411979	0.00059175
-162.68078648	0.00011922
-162.64745316	0.00072509
-162.61411985	0.00008546
-162.58078653	0.00072507
-162.54745322	0.00067725
-162.51411990	0.00052478
-162.48078659	0.00038965
-162.44745327	0.00035861
-162.41411996	0.00037464
-162.38078664	-0.00005936
-162.34745333	0.00113645
-162.31412001	0.00049874
-162.28078670	-0.00017355
-162.24745338	0.00016612
-162.21412007	-0.00016885
-162.18078676	-0.00065262
-162.14745344	0.00113002
-162.11412013	-0.00030464
-162.08078681	0.00118307
-162.04745350	0.00106886
-162.01412018	0.00019848
-161.98078687	0.00058253
-161.94745355	0.00108544
-161.91412024	-0.00022435
-161.88078692	0.00146875
-161.84745361	-0.00000777
-161.81412029	0.00051803
-161.78078698	0.00109986
-161.74745366	-0.00024416
-161.71412035	0.00077104
-161.68078703	0.00032809
-161.64745372	0.00007372
-161.61412040	0.00060803
-161.58078709	0.00085352
-161.54745377	-0.00021271
-161.51412046	0.00076602
