# Menlo Systems GmbH ScanControl
# Program Version 1.10.0
# Start: -166.50000000 ps, Average over 5 waveforms. Timestamp: 2024-11-18T11:47:37
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-166.41411773	-0.00030286
-166.38078442	0.00029726
-166.34745110	-0.00055620
-166.31411779	-0.00058043
-166.28078447	0.00001510
-166.24745116	0.00050665
-166.21411784	-0.00046100
-166.18078453	-0.00048942
-166.14745121	-0.00010255
-166.11411790	0.00021361
-166.08078459	0.00037547
-166.04745127	-0.00050663
-166.01411796	-0.00031395
-165.98078464	0.00046594
-165.94745133	0.00074606
-165.91411801	0.00033250
-165.88078470	0.00023409
-165.84745138	-0.00019733
-165.81411807	-0.00078547
-165.78078475	-0.00060838
-165.74745144	0.00042263
-165.71411812	0.00033575
-165.68078481	0.00011431
-165.64745149	-0.00000458
-165.61411818	-0.00035747
-165.58078486	0.00016759
-165.54745155	0.00029205
-165.51411823	0.00014604
-165.48078492	0.00062456
-165.44745160	-0.00002333
-165.41411829	0.00077892
-165.38078497	-0.00028902
-165.34745166	0.00115229
-165.31411835	0.00076420
-165.28078503	0.00038213
-165.24745172	0.00048346
-165.21411840	-0.00000481
-165.18078509	0.00069593
-165.14745177	0.00015380
-165.11411846	-0.00038675
-165.08078514	-0.00022395
-165.04745183	0.00082779
-165.01411851	-0.00036537
-164.98078520	0.00007350
-164.94745188	0.00060702
-164.91411857	0.00084093
-164.88078525	0.00057636
-164.84745194	-0.00002417
-164.81411862	0.00084913
-164.78078531	0.00090485
-164.74745199	0.00026734
-164.71411868	0.00080621
-164.68078536	0.00094329
-164.64745205	0.00088062
-164.61411873	0.00074817
-164.58078542	0.00028523
-164.54745211	0.00059914
-164.51411879	0.00044397
-164.48078548	0.00141661
-164.44745216	0.00103468
-164.41411885	0.00063409
-164.38078553	0.00111458
-164.34745222	0.00071474
-164.31411890	0.00047408
-164.28078559	0.00055241
-164.24745227	0.00071330
-164.21411896	0.00111769
-164.18078564	0.00087842
-164.14745233	-0.00009323
-164.11411901	0.00004704
-164.08078570	0.00079644
-164.04745238	0.00062430
-164.01411907	0.00123474
-163.98078575	0.00088984
-163.94745244	0.00018158
-163.91411912	0.00024524
-163.88078581	0.00091556
-163.84745249	0.00083169
-163.81411918	0.00049314
-163.78078587	-0.00027186
-163.74745255	0.00052339
-163.71411924	0.00019512
-163.68078592	0.00027066
-163.64745261	0.00007929
-163.61411929	-0.00027960
-163.58078598	0.00019776
-163.54745266	0.00006163
-163.51411935	0.00107570
-163.48078603	0.00132407
-163.44745272	0.00081039
-163.41411940	0.00093968
-163.38078609	0.00031258
-163.34745277	0.00079137
-163.31411946	0.00070939
-163.28078614	0.00107979
-163.24745283	0.00040649
-163.21411951	0.00036806
-163.18078620	0.00098179
-163.14745288	0.00066467
-163.11411957	0.00115122
-163.08078625	0.00111721
-163.04745294	0.00185027
-163.01411962	0.00069259
-162.98078631	0.00071232
-162.94745300	0.00103392
-162.91411968	0.00016826
-162.88078637	0.00051341
-162.84745305	0.00071328
-162.81411974	0.00057827
-162.78078642	0.00179987
-162.74745311	0.00106890
-162.71411979	0.00118563
-162.68078648	0.00033159
-162.64745316	0.00065208
-162.61411985	0.00085015
-162.58078653	0.00140716
-162.54745322	0.00072529
-162.51411990	0.00022845
-162.48078659	0.00065484
-162.44745327	0.00048128
-162.41411996	0.00067187
-162.38078664	0.00116882
-162.34745333	0.00038638
-162.31412001	0.00051638
-162.28078670	0.00055441
-162.24745338	0.00006066
-162.21412007	-0.00035119
-162.18078676	-0.00010828
-162.14745344	0.00132938
-162.11412013	0.00071421
-162.08078681	0.00178981
-162.04745350	0.00110902
-162.01412018	0.00050179
-161.98078687	0.00072206
-161.94745355	0.00074776
-161.91412024	-0.00005176
-161.88078692	0.00083292
-161.84745361	0.00120444
-161.81412029	0.00034146
-161.78078698	0.00065342
-161.74745366	0.00012371
-161.71412035	-0.00000744
-161.68078703	0.00082376
-161.64745372	0.00086377
-161.61412040	0.00083839
-161.58078709	0.00212865
-161.54745377	0.00155458
-161.51412046	0.00045353
-161.48078714	0.00003485
-161.44745383	0.00087105
-161.41412052	0.00110373
-161.38078720	0.00041682
-161.34745389	0.00150265
-161.31412057	0.00025572
-161.28078726	-0.00030207
-161.24745394	0.00008800
-161.21412063	-0.00009658
-161.18078731	0.00026559
-161.14745400	-0.00019564
-161.11412068	0.00056681
-161.08078737	0.00019218
-161.04745405	0.00005502
-161.01412074	-0.00002788
-160.98078742	0.00005489
-160.94745411	0.00092411
-160.91412079	-0.00017344
-160.88078748	-0.00074756
-160.84745416	0.00046634
-160.81412085	0.00106347
-160.78078753	0.00012376
-160.74745422	0.00038897
-160.71412090	-0.00005016
-160.68078759	-0.00037870
-160.64745428	-0.00041368
-160.61412096	0.00005944
-160.58078765	0.00054758
-160.54745433	-0.00029804
-160.51412102	0.00029973
-160.48078770	0.00015330
-160.44745439	-0.00001689
-160.41412107	0.00041899
-160.38078776	0.00089243
-160.34745444	-0.00019616
-160.31412113	0.00033498
-160.28078781	0.00037935
-160.24745450	0.00045146
-160.21412118	0.00037845
-160.18078787	-0.00049397
-160.14745455	-0.00030610
-160.11412124	0.00131979
-160.08078792	-0.00026633
-160.04745461	0.00098134
-160.01412129	0.00029508
-159.98078798	0.00011449
-159.94745466	0.00052743
-159.91412135	-0.00052572
-159.88078804	-0.00011642
-159.84745472	0.00049660
-159.81412141	0.00099252
-159.78078809	-0.00043886
