# Menlo Systems GmbH ScanControl
# Program Version 1.10.0
# Start: -166.20000000 ps, Average over 10 waveforms. Timestamp: 2024-12-22T20:22:08
# Window type: Blackman, parameters: total slope amount = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-18.12170526
0.00732601	-17.55101081
0.01465202	-19.50723574
0.02197804	-19.14630016
0.02930405	-19.66898509
0.03663006	-19.44906214
0.04395607	-19.37858175
0.05128208	-19.05574726
0.05860809	-19.10000993
0.06593411	-19.02790627
0.07326012	-17.96090549
0.08058613	-20.43554846
0.08791214	-17.41187257
0.09523815	-17.49974910
0.10256417	-21.60698600
0.10989018	-18.08994221
0.11721619	-17.82844909
0.12454220	-20.80817324
0.13186821	-19.93002465
0.13919422	-18.44758936
0.14652024	-22.05407761
0.15384625	-20.19021479
0.16117226	-18.00560424
0.16849827	-17.41311543
0.17582428	-20.93444844
0.18315030	-19.04596228
0.19047631	-18.42900735
0.19780232	-17.23060417
0.20512833	-17.28370612
0.21245434	-17.89325320
0.21978035	-15.90475569
0.22710637	-13.77727055
0.23443238	-13.70749022
0.24175839	-15.00618180
0.24908440	-11.83598123
0.25641041	-12.13297405
0.26373643	-12.24863631
0.27106244	-9.53366026
0.27838845	-9.88759129
0.28571446	-10.56553807
0.29304047	-9.09289296
0.30036648	-8.23334669
0.30769250	-9.03905100
0.31501851	-8.92548000
0.32234452	-7.40564664
0.32967053	-6.96361976
0.33699654	-8.37195275
0.34432256	-7.37364938
0.35164857	-5.99738276
0.35897458	-6.64361130
0.36630059	-6.26424670
0.37362660	-5.47619890
0.38095261	-5.37074117
0.38827863	-4.89502787
0.39560464	-4.94542552
0.40293065	-4.71597157
0.41025666	-4.50984838
0.41758267	-4.35505810
0.42490869	-4.31488612
0.43223470	-4.00950934
0.43956071	-3.95147576
0.44688672	-3.94949918
0.45421273	-3.15327447
0.46153874	-3.43390216
0.46886476	-3.32270636
0.47619077	-2.76793411
0.48351678	-3.00504553
0.49084279	-2.53945441
0.49816880	-2.47445988
0.50549482	-2.59165862
0.51282083	-1.79544844
0.52014684	-2.04629036
0.52747285	-2.23896844
0.53479886	-1.34450153
0.54212487	-2.34925499
0.54945089	-2.22161173
0.55677690	-6.41121690
0.56410291	-2.92673833
0.57142892	-1.31917799
0.57875493	-1.24182107
0.58608095	-1.31275260
0.59340696	-0.47168130
0.60073297	-0.95940959
0.60805898	-0.60352991
0.61538499	-0.15523775
0.62271100	-0.84421715
0.63003702	-0.07771212
0.63736303	-0.26220959
0.64468904	-0.46190361
0.65201505	0.00000000
0.65934106	-0.44917761
0.66666708	-0.14883024
0.67399309	-0.23983603
0.68131910	-0.57230886
0.68864511	-0.09840742
0.69597112	-0.43468879
0.70329713	-0.40795332
0.71062315	-0.28304243
0.71794916	-0.53096087
0.72527517	-0.31681205
0.73260118	-0.55973777
0.73992719	-0.65517053
0.74725321	-1.51343525
0.75457922	-3.72414433
0.76190523	-0.84901352
0.76923124	-1.01148739
0.77655725	-0.63873102
0.78388326	-0.92004070
0.79120928	-0.71189833
0.79853529	-0.82007317
0.80586130	-0.87491736
0.81318731	-0.70818966
0.82051332	-0.71399311
0.82783934	-0.61653549
0.83516535	-0.53066380
0.84249136	-0.61279379
0.84981737	-0.56958512
0.85714338	-0.49512379
0.86446939	-0.71091364
0.87179541	-0.43461535
0.87912142	-0.55763101
0.88644743	-0.62854991
0.89377344	-0.50262710
0.90109945	-0.74170389
0.90842547	-0.66212294
0.91575148	-0.75728869
0.92307749	-0.76654198
0.93040350	-0.62378723
0.93772951	-0.72615072
0.94505552	-0.87072418
0.95238154	-0.66547951
0.95970755	-0.96121608
0.96703356	-0.88768867
0.97435957	-1.01367349
0.98168558	-1.36201654
0.98901160	-3.08259778
0.99633761	-1.51197342
1.00366362	-1.05590161
1.01098963	-0.88689201
1.01831564	-1.19234079
1.02564165	-0.81654246
1.03296767	-1.18706442
1.04029368	-1.13279744
1.04761969	-1.23607799
1.05494570	-1.28722492
1.06227171	-1.47177005
1.06959773	-1.52635190
1.07692374	-1.95805099
1.08424975	-2.34007536
1.09157576	-4.93482137
1.09890177	-27.55196016
1.10622778	-5.25679761
1.11355380	-7.31845965
1.12087981	-3.65723916
