# Menlo Systems GmbH ScanControl
# Program Version 1.10.0
# Start: -166.20000000 ps, Average over 10 waveforms. Timestamp: 2024-12-22T20:16:03
# Window type: Blackman, parameters: total slope amount = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-18.80355173
0.00732601	-17.56627960
0.01465202	-19.21525310
0.02197804	-18.92435136
0.02930405	-19.54086416
0.03663006	-19.20015373
0.04395607	-19.08868920
0.05128208	-18.81181922
0.05860809	-18.80921158
0.06593411	-18.85742812
0.07326012	-17.76949535
0.08058613	-20.33786279
0.08791214	-17.31966645
0.09523815	-17.38503405
0.10256417	-21.48948311
0.10989018	-17.98751438
0.11721619	-17.71731073
0.12454220	-20.75255321
0.13186821	-19.83326992
0.13919422	-18.38668885
0.14652024	-22.02052881
0.15384625	-20.09104845
0.16117226	-18.09774727
0.16849827	-17.53715967
0.17582428	-21.08342858
0.18315030	-19.17640407
0.19047631	-18.54079731
0.19780232	-17.32975642
0.20512833	-17.36849870
0.21245434	-18.03217925
0.21978035	-16.02151639
0.22710637	-13.91269025
0.23443238	-13.84172308
0.24175839	-15.15817665
0.24908440	-11.94535341
0.25641041	-12.25412953
0.26373643	-12.36045804
0.27106244	-9.60070388
0.27838845	-9.97733647
0.28571446	-10.67062926
0.29304047	-9.18279183
0.30036648	-8.31225433
0.30769250	-9.13073194
0.31501851	-9.00769489
0.32234452	-7.48910879
0.32967053	-7.01948518
0.33699654	-8.45791405
0.34432256	-7.43424179
0.35164857	-6.05440432
0.35897458	-6.69754239
0.36630059	-6.33059224
0.37362660	-5.51427284
0.38095261	-5.41409461
0.38827863	-4.93205084
0.39560464	-4.97951831
0.40293065	-4.75104037
0.41025666	-4.55261842
0.41758267	-4.39804397
0.42490869	-4.34470009
0.43223470	-4.03582071
0.43956071	-3.97207668
0.44688672	-3.97307022
0.45421273	-3.16790187
0.46153874	-3.44236296
0.46886476	-3.34366931
0.47619077	-2.78204552
0.48351678	-3.02648250
0.49084279	-2.55016293
0.49816880	-2.49427386
0.50549482	-2.61019883
0.51282083	-1.80759936
0.52014684	-2.05367065
0.52747285	-2.24976475
0.53479886	-1.34840751
0.54212487	-2.35519442
0.54945089	-2.22356883
0.55677690	-6.42025800
0.56410291	-2.93589993
0.57142892	-1.33036821
0.57875493	-1.25081698
0.58608095	-1.32281930
0.59340696	-0.48014799
0.60073297	-0.98190714
0.60805898	-0.61379061
0.61538499	-0.16164612
0.62271100	-0.84398534
0.63003702	-0.08095344
0.63736303	-0.26565247
0.64468904	-0.45887921
0.65201505	0.00000000
0.65934106	-0.44687731
0.66666708	-0.14451105
0.67399309	-0.23321858
0.68131910	-0.55613350
0.68864511	-0.07879075
0.69597112	-0.40849173
0.70329713	-0.37296437
0.71062315	-0.25393048
0.71794916	-0.50646381
0.72527517	-0.28958965
0.73260118	-0.54262399
0.73992719	-0.62708278
0.74725321	-1.47894013
0.75457922	-3.69540061
0.76190523	-0.83405573
0.76923124	-0.97824252
0.77655725	-0.60215054
0.78388326	-0.88152914
0.79120928	-0.68469275
0.79853529	-0.78975234
0.80586130	-0.85395988
0.81318731	-0.68063067
0.82051332	-0.68015841
0.82783934	-0.58341044
0.83516535	-0.49059277
0.84249136	-0.57606795
0.84981737	-0.53615453
0.85714338	-0.45727903
0.86446939	-0.67828734
0.87179541	-0.40252924
0.87912142	-0.52413755
0.88644743	-0.59282396
0.89377344	-0.45883002
0.90109945	-0.70464858
0.90842547	-0.62781350
0.91575148	-0.72297345
0.92307749	-0.72808903
0.93040350	-0.58642195
0.93772951	-0.68375506
0.94505552	-0.81769958
0.95238154	-0.62926163
0.95970755	-0.91382135
0.96703356	-0.84600699
0.97435957	-0.96551040
0.98168558	-1.31261891
0.98901160	-3.02845539
0.99633761	-1.46783693
1.00366362	-1.00411144
1.01098963	-0.83626896
1.01831564	-1.14070547
1.02564165	-0.75967454
1.03296767	-1.12014432
1.04029368	-1.07796331
1.04761969	-1.16128844
1.05494570	-1.21070959
1.06227171	-1.39408260
1.06959773	-1.45416683
1.07692374	-1.88349059
1.08424975	-2.25982739
1.09157576	-4.84530043
1.09890177	-27.29249561
1.10622778	-5.19447518
1.11355380	-7.22066489
1.12087981	-3.56747387
1.12820582	-2.51092637
1.13553183	-2.36079101
1.14285784	-2.56278819
1.15018386	-4.28064447
1.15750987	-7.97286348
1.16483588	-28.10012929
1.17216189	-5.08453506
1.17948790	-2.99532607
1.18681391	-2.50988793
1.19413993	-2.80649839
