# Menlo Systems GmbH ScanControl
# Program Version 1.10.0
# Start: -166.20000000 ps, Average over 10 waveforms. Timestamp: 2024-12-22T20:49:45
# Window type: Blackman, parameters: total slope amount = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-166.14750458	-0.00000000
-166.11417127	0.00000001
-166.08083796	-0.00000006
-166.04750464	0.00000009
-166.01417133	-0.00000032
-165.98083802	-0.00000071
-165.94750470	-0.00000103
-165.91417139	-0.00000073
-165.88083808	-0.00000037
-165.84750477	-0.00000339
-165.81417145	-0.00000261
-165.78083814	-0.00000377
-165.74750483	-0.00000418
-165.71417151	-0.00000211
-165.68083820	-0.00000250
-165.64750489	0.00000558
-165.61417157	-0.00000211
-165.58083826	-0.00000608
-165.54750495	-0.00000115
-165.51417164	-0.00000746
-165.48083832	-0.00000305
-165.44750501	0.00000728
-165.41417170	0.00002541
-165.38083838	0.00001006
-165.34750507	0.00000442
-165.31417176	0.00001016
-165.28083845	0.00003372
-165.24750513	0.00004407
-165.21417182	0.00001684
-165.18083851	0.00003440
-165.14750519	0.00007073
-165.11417188	0.00005515
-165.08083857	0.00000296
-165.04750526	0.00007533
-165.01417194	0.00005716
-164.98083863	0.00008850
-164.94750532	0.00006769
-164.91417200	0.00007339
-164.88083869	0.00007576
-164.84750538	0.00004603
-164.81417207	0.00006793
-164.78083875	0.00003112
-164.74750544	0.00006055
-164.71417213	0.00008963
-164.68083881	0.00004674
-164.64750550	0.00006935
-164.61417219	0.00005533
-164.58083888	0.00010705
-164.54750556	0.00010563
-164.51417225	0.00001568
-164.48083894	0.00005530
-164.44750562	-0.00002831
-164.41417231	0.00012003
-164.38083900	-0.00005014
-164.34750568	0.00000488
-164.31417237	0.00004524
-164.28083906	-0.00004586
-164.24750575	0.00003825
-164.21417243	0.00003676
-164.18083912	0.00014188
-164.14750581	0.00002564
-164.11417249	0.00002314
-164.08083918	0.00031886
-164.04750587	0.00009850
-164.01417256	0.00011952
-163.98083924	0.00022923
-163.94750593	0.00018484
-163.91417262	0.00025016
-163.88083930	0.00040595
-163.84750599	0.00034819
-163.81417268	0.00053952
-163.78083937	0.00026576
-163.74750605	0.00018982
-163.71417274	0.00020805
-163.68083943	0.00037919
-163.64750611	0.00040673
-163.61417280	0.00037174
-163.58083949	0.00034408
-163.54750618	0.00014269
-163.51417286	0.00046703
-163.48083955	0.00025018
-163.44750624	0.00037925
-163.41417292	0.00045108
-163.38083961	0.00063006
-163.34750630	0.00041484
-163.31417299	0.00087543
-163.28083967	0.00064171
-163.24750636	0.00077320
-163.21417305	0.00112644
-163.18083973	0.00068382
-163.14750642	0.00096861
-163.11417311	0.00107744
-163.08083980	0.00086016
-163.04750648	0.00064449
-163.01417317	0.00077189
-162.98083986	0.00069347
-162.94750654	0.00043527
-162.91417323	0.00096403
-162.88083992	0.00052090
-162.84750660	0.00026341
-162.81417329	0.00042953
-162.78083998	0.00053168
-162.74750667	0.00051394
-162.71417335	0.00043360
-162.68084004	0.00072089
-162.64750673	0.00059856
-162.61417341	0.00058678
-162.58084010	0.00078139
-162.54750679	0.00096529
-162.51417348	0.00074842
-162.48084016	0.00132271
-162.44750685	0.00132736
-162.41417354	0.00129898
-162.38084022	0.00169952
-162.34750691	0.00099568
-162.31417360	0.00079914
-162.28084029	0.00091356
-162.24750697	0.00112798
-162.21417366	0.00187221
-162.18084035	0.00109414
-162.14750703	0.00054670
-162.11417372	0.00078248
-162.08084041	0.00068853
-162.04750710	0.00086647
-162.01417378	0.00022751
-161.98084047	0.00099950
-161.94750716	0.00158422
-161.91417384	0.00197900
-161.88084053	0.00204016
-161.84750722	0.00133641
-161.81417391	0.00154002
-161.78084059	0.00187766
-161.74750728	0.00134482
-161.71417397	0.00146908
-161.68084065	0.00190066
-161.64750734	0.00143284
-161.61417403	0.00163352
-161.58084071	0.00164108
-161.54750740	0.00087102
-161.51417409	0.00111029
-161.48084078	0.00166239
-161.44750746	0.00124492
-161.41417415	0.00039848
-161.38084084	0.00097008
-161.34750752	0.00124244
-161.31417421	0.00182990
-161.28084090	0.00105517
-161.24750759	0.00131453
-161.21417427	0.00091116
-161.18084096	0.00192514
-161.14750765	0.00139197
-161.11417433	0.00155169
-161.08084102	0.00144388
-161.04750771	0.00154533
-161.01417440	0.00067230
-160.98084108	0.00136182
-160.94750777	0.00128239
-160.91417446	0.00130223
-160.88084114	0.00188933
-160.84750783	0.00216231
-160.81417452	0.00085386
-160.78084121	0.00138526
-160.74750789	0.00065466
-160.71417458	0.00093810
-160.68084127	0.00038302
-160.64750795	0.00062376
-160.61417464	0.00105414
-160.58084133	0.00119373
-160.54750802	0.00053495
-160.51417470	0.00003422
-160.48084139	0.00073955
-160.44750808	0.00180155
-160.41417476	0.00124200
-160.38084145	0.00071115
-160.34750814	0.00053381
-160.31417483	0.00097218
-160.28084151	0.00081542
-160.24750820	0.00088387
-160.21417489	0.00040926
-160.18084157	0.00040797
-160.14750826	0.00043419
-160.11417495	0.00062499
-160.08084163	-0.00009004
-160.04750832	0.00079898
-160.01417501	0.00074053
-159.98084170	0.00037614
-159.94750838	0.00020185
-159.91417507	0.00029568
-159.88084176	0.00087217
-159.84750844	-0.00022771
-159.81417513	0.00116398
-159.78084182	0.00102322
-159.74750851	0.00107837
-159.71417519	0.00033297
-159.68084188	0.00101019
-159.64750857	0.00080850
-159.61417525	0.00067486
-159.58084194	0.00054231
-159.54750863	0.00072566
-159.51417532	-0.00019481
-159.48084200	-0.00009097
-159.44750869	0.00014542
-159.41417538	0.00033762
-159.38084206	0.00074792
-159.34750875	0.00037857
-159.31417544	0.00137319
-159.28084213	0.00049409
-159.24750881	0.00017915
-159.21417550	0.00031489
-159.18084219	0.00007590
-159.14750887	0.00000323
-159.11417556	0.00012207
-159.08084225	-0.00033946
-159.04750894	-0.00058215
-159.01417562	0.00014908
-158.98084231	-0.00107179
-158.94750900	-0.00080838
-158.91417568	-0.00038418
-158.88084237	-0.00079627
-158.84750906	-0.00149752
-158.81417575	-0.00049293
-158.78084243	-0.00102486
-158.74750912	0.00028456
-158.71417581	-0.00040477
-158.68084249	-0.00064572
-158.64750918	-0.00073605
