# Menlo Systems GmbH ScanControl
# Program Version 1.10.0
# Start: -166.20000000 ps, Average over 10 waveforms. Timestamp: 2024-12-22T20:39:58
# Window type: Blackman, parameters: total slope amount = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
1.71428677	-26.56776745
1.72161278	-30.14969898
1.72893879	-16.30158861
1.73626480	-13.50446875
1.74359081	-13.34972334
1.75091682	-13.37524033
1.75824284	-14.40781246
1.76556885	-17.39532387
1.77289486	-14.31223005
1.78022087	-14.70140375
1.78754688	-14.84183774
1.79487290	-20.07007456
1.80219891	-20.00576851
1.80952492	-15.28717155
1.81685093	-15.25781214
1.82417694	-15.12147771
1.83150295	-15.35993765
1.83882897	-15.62501837
1.84615498	-15.87546179
1.85348099	-16.37358306
1.86080700	-17.59618666
1.86813301	-28.52108251
1.87545903	-21.22580117
1.88278504	-17.71016708
1.89011105	-17.33913060
1.89743706	-17.13238665
1.90476307	-17.48289252
1.91208908	-18.39388759
1.91941510	-27.76898902
1.92674111	-21.78616816
1.93406712	-18.59115940
1.94139313	-18.25218433
1.94871914	-18.42442974
1.95604516	-18.43431363
1.96337117	-18.79503371
1.97069718	-18.79322960
1.97802319	-19.01220780
1.98534920	-19.24215430
1.99267521	-19.33593864
2.00000123	-19.82030293
2.00732724	-19.72904269
2.01465325	-20.64915444
2.02197926	-20.82489902
2.02930527	-20.60572176
2.03663129	-22.17663625
2.04395730	-30.18260042
2.05128331	-21.32338225
2.05860932	-21.42243891
2.06593533	-21.08314451
2.07326134	-24.55353543
2.08058736	-24.71224033
2.08791337	-21.62925949
2.09523938	-21.83304188
2.10256539	-21.86209883
2.10989140	-22.17229558
2.11721742	-22.38401294
2.12454343	-22.51684125
2.13186944	-22.80247501
2.13919545	-22.84049847
2.14652146	-23.39510851
2.15384747	-23.90135310
2.16117349	-28.49212691
2.16849950	-38.01137867
2.17582551	-28.87109792
2.18315152	-25.79869156
2.19047753	-27.84421536
2.19780355	-36.29041597
2.20512956	-31.28401014
2.21245557	-28.09704757
2.21978158	-33.16280114
2.22710759	-34.79610505
2.23443360	-27.93425612
2.24175962	-27.59210846
2.24908563	-28.08029611
2.25641164	-29.05438246
2.26373765	-36.01043319
2.27106366	-33.81377867
2.27838968	-27.87300015
2.28571569	-27.62895588
2.29304170	-27.44241968
2.30036771	-28.02930542
2.30769372	-28.28248824
2.31501973	-29.46748906
2.32234575	-30.42666414
2.32967176	-30.61155967
2.33699777	-30.86593227
2.34432378	-38.09525505
2.35164979	-36.24685882
2.35897581	-32.26058375
2.36630182	-41.21947335
2.37362783	-36.62034831
2.38095384	-33.54962264
2.38827985	-38.41694949
2.39560586	-38.62468896
2.40293188	-32.68534137
2.41025789	-31.23755679
2.41758390	-31.98024007
2.42490991	-32.36069996
2.43223592	-34.43844237
2.43956194	-33.10768197
2.44688795	-35.07654717
2.45421396	-36.21284637
2.46153997	-41.35596614
2.46886598	-37.75296482
2.47619199	-32.71138438
2.48351801	-32.41621846
2.49084402	-32.72613106
2.49817003	-32.84711015
2.50549604	-33.45629769
2.51282205	-33.62814782
2.52014807	-33.73196268
2.52747408	-34.07795390
2.53480009	-34.19469787
2.54212610	-34.76005533
2.54945211	-34.88357325
2.55677812	-35.11103643
2.56410414	-35.81219683
2.57143015	-37.08150010
2.57875616	-36.19028894
2.58608217	-36.61794639
2.59340818	-36.68620482
2.60073420	-36.50558872
2.60806021	-36.25852797
2.61538622	-35.95906955
2.62271223	-35.36328675
2.63003824	-37.81568357
2.63736425	-46.14436783
2.64469027	-42.88558913
2.65201628	-49.37763974
2.65934229	-37.25567497
2.66666830	-37.45631330
2.67399431	-35.10941205
2.68132033	-35.24780660
2.68864634	-41.41931630
2.69597235	-34.59359933
2.70329836	-34.25737653
2.71062437	-34.69844900
2.71795038	-35.07403693
2.72527640	-35.53250723
2.73260241	-36.40881351
2.73992842	-37.37710145
2.74725443	-39.01908811
2.75458044	-39.92068710
2.76190646	-40.06447409
2.76923247	-41.91807713
2.77655848	-46.07904338
2.78388449	-48.93996766
2.79121050	-39.26255338
2.79853651	-34.47668664
2.80586253	-34.28324023
2.81318854	-33.93348982
2.82051455	-34.22930479
2.82784056	-34.14282312
2.83516657	-34.48116963
2.84249259	-34.64509133
2.84981860	-35.07523674
2.85714461	-35.46650017
2.86447062	-36.66328241
2.87179663	-38.22696232
2.87912264	-55.04616880
2.88644866	-44.52700298
2.89377467	-36.81388426
2.90110068	-34.37332190
2.90842669	-34.85467896
2.91575270	-35.11522092
2.92307872	-36.02206342
2.93040473	-36.63794457
2.93773074	-37.80234801
2.94505675	-39.34975127
2.95238276	-41.15759612
2.95970877	-43.22895481
2.96703479	-44.06082470
2.97436080	-48.95480483
2.98168681	-42.02737169
2.98901282	-38.44104738
2.99633883	-43.21825045
3.00366485	-48.19042860
3.01099086	-46.81340658
3.01831687	-48.03859259
3.02564288	-48.43020976
3.03296889	-43.63149508
3.04029490	-38.31616794
3.04762092	-48.90587939
3.05494693	-39.58556787
3.06227294	-36.12348216
3.06959895	-35.39018640
3.07692496	-35.09192175
3.08425098	-35.08529646
3.09157699	-35.03325533
3.09890300	-35.33395392
3.10622901	-35.70331992
3.11355502	-36.50262500
3.12088103	-38.97684866
3.12820705	-50.61829978
3.13553306	-51.10769813
3.14285907	-49.18864532
3.15018508	-39.02098345
3.15751109	-38.08992112
3.16483711	-48.54789325
3.17216312	-51.46159294
3.17948913	-43.47236071
3.18681514	-42.51101187
3.19414115	-37.67049580
3.20146716	-35.92108799
3.20879318	-37.01197070
3.21611919	-39.51255745
3.22344520	-36.60123067
3.23077121	-42.90948104
3.23809722	-41.59568586
3.24542324	-37.17640375
3.25274925	-36.46796374
3.26007526	-36.76269279
3.26740127	-36.91316636
3.27472728	-36.91091968
3.28205329	-37.23978800
3.28937931	-37.11685533
3.29670532	-37.44986761
3.30403133	-37.59211531
3.31135734	-38.64261104
3.31868335	-39.60098603
3.32600937	-46.77201588
3.33333538	-53.90923750
3.34066139	-47.59430062
3.34798740	-39.33226480
3.35531341	-37.93376561
3.36263942	-38.25490788
3.36996544	-38.24793732
3.37729145	-38.22633570
3.38461746	-38.19018340
3.39194347	-38.22585706
3.39926948	-38.27422149
3.40659550	-38.60394852
3.41392151	-38.00540183
3.42124752	-38.57489957
3.42857353	-38.84620649
3.43589954	-38.87146259
3.44322555	-39.22065472
3.45055157	-39.72689540
3.45787758	-40.24755854
3.46520359	-40.31930406
3.47252960	-40.76212559
3.47985561	-40.86773392
3.48718163	-41.27057425
3.49450764	-44.10861396
3.50183365	-44.44765421
3.50915966	-42.05395822
3.51648567	-42.90283629
3.52381168	-42.97618535
3.53113770	-45.61872916
3.53846371	-66.07694875
3.54578972	-44.29255209
3.55311573	-43.31500093
3.56044174	-44.04051512
3.56776776	-45.20246276
3.57509377	-45.80057034
3.58241978	-47.97326872
3.58974579	-47.88502092
3.59707180	-48.82382342
3.60439781	-51.16027465
3.61172383	-48.77597444
3.61904984	-49.28357578
3.62637585	-48.95558943
3.63370186	-50.53227098
3.64102787	-47.88891376
3.64835389	-47.54602803
3.65567990	-54.64785875
3.66300591	-50.28737864
3.67033192	-65.56344119
3.67765793	-46.81193511
3.68498394	-44.61584761
3.69230996	-46.56803197
3.69963597	-44.87341596
3.70696198	-43.06000519
3.71428799	-44.18458915
3.72161400	-44.87507833
3.72894002	-44.92200538
3.73626603	-45.90298050
3.74359204	-46.52138721
3.75091805	-46.76880792
3.75824406	-49.51846400
3.76557007	-50.19036026
3.77289609	-54.82333414
3.78022210	-54.94810632
3.78754811	-51.20804559
3.79487412	-50.42227049
3.80220013	-52.63057915
3.80952615	-53.42769551
3.81685216	-53.96517262
3.82417817	-58.55308604
3.83150418	-47.75967805
3.83883019	-46.78047876
3.84615620	-46.85430761
3.85348222	-47.81862770
3.86080823	-51.30268250
3.86813424	-46.57668118
3.87546025	-48.26557629
3.88278626	-49.05717914
3.89011228	-51.17491063
3.89743829	-52.05007940
3.90476430	-54.73260546
3.91209031	-55.66296317
3.91941632	-58.58783039
3.92674233	-64.34142279
3.93406835	-59.75170501
3.94139436	-55.96702809
3.94872037	-54.44274883
3.95604638	-54.10335660
3.96337239	-64.20830723
3.97069841	-54.35084468
3.97802442	-56.31844500
3.98535043	-56.45062983
3.99267644	-56.63007763
4.00000245	-53.40072737
4.00732846	-54.45559330
4.01465448	-50.76621638
4.02198049	-53.96974940
4.02930650	-54.84037290
4.03663251	-54.40109178
4.04395852	-58.33873454
4.05128454	-60.33371258
4.05861055	-61.70542001
4.06593656	-60.24747577
4.07326257	-67.88844889
4.08058858	-62.87692769
4.08791459	-66.94648644
4.09524061	-71.75722955
4.10256662	-69.63390687
4.10989263	-74.85202905
4.11721864	-62.14010140
4.12454465	-59.97206122
4.13187067	-59.77760847
4.13919668	-54.85372682
4.14652269	-54.22119476
4.15384870	-52.73254814
4.16117471	-58.26114665
4.16850072	-59.02237747
4.17582674	-58.83831847
4.18315275	-60.27724322
4.19047876	-59.10199471
4.19780477	-61.33781885
4.20513078	-56.20053915
4.21245680	-60.89781228
4.21978281	-63.35726531
4.22710882	-64.25248238
4.23443483	-55.18819266
4.24176084	-60.86381398
4.24908685	-55.15032054
4.25641287	-57.14986065
4.26373888	-59.16091209
4.27106489	-62.63551942
4.27839090	-62.16464459
4.28571691	-65.32521006
4.29304293	-75.13894549
4.30036894	-63.27612012
4.30769495	-69.27534367
4.31502096	-67.36450697
4.32234697	-74.89100145
4.32967298	-66.05397769
4.33699900	-59.99267401
4.34432501	-61.16286799
4.35165102	-62.50603318
4.35897703	-64.10930180
