# Menlo Systems GmbH ScanControl
# Program Version 1.10.0
# Start: -166.20000000 ps, Average over 10 waveforms. Timestamp: 2024-12-22T20:21:57
# Window type: Blackman, parameters: total slope amount = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
1.71428677	-26.98573760
1.72161278	-30.65199522
1.72893879	-16.61856524
1.73626480	-13.74814859
1.74359081	-13.56208826
1.75091682	-13.57136927
1.75824284	-14.60163417
1.76556885	-17.61635977
1.77289486	-14.49883978
1.78022087	-14.87587215
1.78754688	-15.01064826
1.79487290	-20.21922647
1.80219891	-20.38678948
1.80952492	-15.55512361
1.81685093	-15.47167819
1.82417694	-15.35304868
1.83150295	-15.55617794
1.83882897	-15.83707870
1.84615498	-16.05595411
1.85348099	-16.53380952
1.86080700	-17.75796786
1.86813301	-28.44105948
1.87545903	-21.60261040
1.88278504	-17.91502983
1.89011105	-17.56987587
1.89743706	-17.39002478
1.90476307	-17.70890850
1.91208908	-18.59371028
1.91941510	-27.85735121
1.92674111	-22.16777959
1.93406712	-18.84796652
1.94139313	-18.41304815
1.94871914	-18.65468276
1.95604516	-18.63017895
1.96337117	-19.05754778
1.97069718	-19.03338265
1.97802319	-19.20227517
1.98534920	-19.41837383
1.99267521	-19.54966011
2.00000123	-19.94080790
2.00732724	-19.91875035
2.01465325	-20.77970428
2.02197926	-21.02245293
2.02930527	-20.75528180
2.03663129	-22.40568191
2.04395730	-30.85678450
2.05128331	-21.67543276
2.05860932	-21.72659639
2.06593533	-21.30648345
2.07326134	-24.83074537
2.08058736	-25.10112496
2.08791337	-21.93244294
2.09523938	-22.04634780
2.10256539	-22.08660693
2.10989140	-22.46292395
2.11721742	-22.65594464
2.12454343	-22.75350686
2.13186944	-23.00365069
2.13919545	-23.15133627
2.14652146	-23.67638099
2.15384747	-24.13025729
2.16117349	-28.55563425
2.16849950	-38.03620895
2.17582551	-29.42158887
2.18315152	-26.09655326
2.19047753	-28.08505953
2.19780355	-35.82382134
2.20512956	-31.70449316
2.21245557	-28.58203775
2.21978158	-33.69739034
2.22710759	-34.87323919
2.23443360	-28.27955375
2.24175962	-27.76809684
2.24908563	-28.15873538
2.25641164	-29.23392056
2.26373765	-36.11242341
2.27106366	-33.97872838
2.27838968	-28.01762326
2.28571569	-27.83468875
2.29304170	-27.73697145
2.30036771	-28.36036635
2.30769372	-28.53432475
2.31501973	-29.71074585
2.32234575	-30.65565702
2.32967176	-30.76127960
2.33699777	-31.03953818
2.34432378	-38.45171232
2.35164979	-36.34085796
2.35897581	-32.52999248
2.36630182	-41.42052245
2.37362783	-37.28718506
2.38095384	-33.82169515
2.38827985	-38.36428760
2.39560586	-38.93010904
2.40293188	-32.94248700
2.41025789	-31.44804031
2.41758390	-32.14142700
2.42490991	-32.52713680
2.43223592	-34.64790338
