# Menlo Systems GmbH ScanControl
# Program Version 1.10.0
# Start: -166.20000000 ps, Average over 10 waveforms. Timestamp: 2024-12-22T20:21:22
# Window type: Blackman, parameters: total slope amount = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-18.22170096
0.00732601	-17.65664844
0.01465202	-19.46618325
0.02197804	-19.16668089
0.02930405	-19.82424203
0.03663006	-19.59771856
0.04395607	-19.28118968
0.05128208	-19.07825231
0.05860809	-19.04792442
0.06593411	-19.06109162
0.07326012	-17.89998583
0.08058613	-20.53298047
0.08791214	-17.39407519
0.09523815	-17.45573817
0.10256417	-21.70536765
0.10989018	-18.15520136
0.11721619	-17.82847877
0.12454220	-20.92898389
0.13186821	-19.91552972
0.13919422	-18.45336705
0.14652024	-22.07436707
0.15384625	-20.26372770
0.16117226	-18.05325911
0.16849827	-17.43591663
0.17582428	-20.89496161
0.18315030	-19.05850786
0.19047631	-18.39257675
0.19780232	-17.19740805
0.20512833	-17.27629815
0.21245434	-17.91224199
0.21978035	-15.94973042
0.22710637	-13.81800910
0.23443238	-13.73393254
0.24175839	-15.04096129
0.24908440	-11.84373723
0.25641041	-12.13889313
0.26373643	-12.26462747
0.27106244	-9.53850457
0.27838845	-9.87726884
0.28571446	-10.56542988
0.29304047	-9.09566596
0.30036648	-8.23624162
0.30769250	-9.02236828
0.31501851	-8.93403130
0.32234452	-7.40159385
0.32967053	-6.94367000
0.33699654	-8.38341167
0.34432256	-7.37238331
0.35164857	-6.01216808
0.35897458	-6.63800540
0.36630059	-6.28102548
0.37362660	-5.48129393
0.38095261	-5.37085712
0.38827863	-4.90689692
0.39560464	-4.93899002
0.40293065	-4.70837667
0.41025666	-4.50513737
0.41758267	-4.36065804
0.42490869	-4.31471364
0.43223470	-4.00846437
0.43956071	-3.96007756
0.44688672	-3.95387496
0.45421273	-3.15998718
0.46153874	-3.43505377
0.46886476	-3.33144656
0.47619077	-2.76636384
0.48351678	-2.99913167
0.49084279	-2.53196542
0.49816880	-2.46721690
0.50549482	-2.60071942
0.51282083	-1.79261492
0.52014684	-2.03906459
0.52747285	-2.23433240
0.53479886	-1.33835576
0.54212487	-2.33569803
0.54945089	-2.21138677
0.55677690	-6.36557687
0.56410291	-2.91740081
0.57142892	-1.31020552
0.57875493	-1.23870918
0.58608095	-1.31583635
0.59340696	-0.46965691
0.60073297	-0.96094808
0.60805898	-0.60226148
0.61538499	-0.15213935
0.62271100	-0.84229027
0.63003702	-0.07427310
0.63736303	-0.26062120
0.64468904	-0.45964914
0.65201505	0.00000000
0.65934106	-0.45109456
0.66666708	-0.15450482
0.67399309	-0.24350243
0.68131910	-0.57601619
0.68864511	-0.09811055
0.69597112	-0.42708494
0.70329713	-0.40885960
0.71062315	-0.28286869
0.71794916	-0.53845512
0.72527517	-0.31503725
0.73260118	-0.57139114
0.73992719	-0.66044487
0.74725321	-1.50571764
0.75457922	-3.71049733
0.76190523	-0.85820960
0.76923124	-1.00902803
0.77655725	-0.63670162
0.78388326	-0.91498411
0.79120928	-0.71421089
0.79853529	-0.82274004
0.80586130	-0.88108768
0.81318731	-0.71305714
0.82051332	-0.71583264
0.82783934	-0.61894697
0.83516535	-0.52602405
0.84249136	-0.60760688
0.84981737	-0.57262327
0.85714338	-0.49774938
0.86446939	-0.71112878
0.87179541	-0.43350906
0.87912142	-0.56240993
0.88644743	-0.62797937
0.89377344	-0.50099660
0.90109945	-0.74956980
0.90842547	-0.67177042
0.91575148	-0.75698790
0.92307749	-0.76697265
0.93040350	-0.63112577
0.93772951	-0.72670200
0.94505552	-0.86126095
0.95238154	-0.66763127
0.95970755	-0.96383719
0.96703356	-0.88983015
0.97435957	-1.01078781
0.98168558	-1.35705316
0.98901160	-3.06843048
0.99633761	-1.51217059
1.00366362	-1.05847342
1.01098963	-0.88878495
1.01831564	-1.19223473
1.02564165	-0.82492943
1.03296767	-1.18470242
1.04029368	-1.13428478
1.04761969	-1.23946612
1.05494570	-1.27382015
1.06227171	-1.46036511
1.06959773	-1.52199851
1.07692374	-1.95381221
1.08424975	-2.33859301
1.09157576	-4.91445033
1.09890177	-27.51739293
1.10622778	-5.25369657
1.11355380	-7.30474678
1.12087981	-3.66196086
1.12820582	-2.59117521
1.13553183	-2.44279141
1.14285784	-2.64201786
1.15018386	-4.34006323
1.15750987	-8.07766311
1.16483588	-27.75730909
1.17216189	-5.14144522
1.17948790	-3.07154648
1.18681391	-2.59099895
1.19413993	-2.89883973
1.20146594	-3.31930060
1.20879195	-8.53762266
1.21611796	-4.03604236
1.22344397	-4.07041253
1.23076999	-7.58695815
1.23809600	-3.56560369
1.24542201	-3.23516322
1.25274802	-2.96360064
1.26007403	-3.08169767
1.26740004	-3.03384006
1.27472606	-3.06837280
1.28205207	-3.30037723
1.28937808	-3.17823140
1.29670409	-3.40261644
1.30403010	-3.57031312
1.31135612	-3.59164922
1.31868213	-4.15717838
1.32600814	-4.45349529
1.33333415	-4.04126420
1.34066016	-4.41626459
