# Menlo Systems GmbH ScanControl
# Program Version 1.10.0
# Start: -166.20000000 ps, Average over 10 waveforms. Timestamp: 2024-12-22T20:33:33
# Window type: Blackman, parameters: total slope amount = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-166.14750458	0.00000000
-166.11417127	-0.00000002
-166.08083796	-0.00000010
-166.04750464	-0.00000032
-166.01417133	-0.00000057
-165.98083802	-0.00000081
-165.94750470	-0.00000043
-165.91417139	-0.00000016
-165.88083808	-0.00000073
-165.84750477	-0.00000212
-165.81417145	0.00000030
-165.78083814	0.00000113
-165.74750483	-0.00000306
-165.71417151	0.00000005
-165.68083820	0.00000533
-165.64750489	0.00000113
-165.61417157	-0.00000021
-165.58083826	0.00000772
-165.54750495	0.00000639
-165.51417164	0.00000453
-165.48083832	0.00000380
-165.44750501	0.00000351
-165.41417170	0.00000821
-165.38083838	0.00000323
-165.34750507	0.00002216
-165.31417176	0.00000906
-165.28083845	0.00001631
-165.24750513	0.00001573
-165.21417182	0.00000299
-165.18083851	0.00000344
-165.14750519	0.00003748
-165.11417188	0.00002686
-165.08083857	0.00003275
-165.04750526	0.00002661
-165.01417194	0.00003599
-164.98083863	-0.00000605
-164.94750532	-0.00002964
-164.91417200	-0.00003390
-164.88083869	0.00000846
-164.84750538	0.00003118
-164.81417207	0.00001528
-164.78083875	-0.00000094
-164.74750544	0.00004912
-164.71417213	-0.00001300
-164.68083881	-0.00000558
-164.64750550	-0.00003607
-164.61417219	0.00006620
-164.58083888	0.00012580
-164.54750556	0.00007400
-164.51417225	-0.00001320
-164.48083894	0.00005771
-164.44750562	0.00007030
-164.41417231	0.00011832
-164.38083900	0.00009957
-164.34750568	0.00016391
-164.31417237	0.00017780
-164.28083906	0.00026018
-164.24750575	0.00024834
-164.21417243	0.00016412
-164.18083912	0.00021954
-164.14750581	0.00009904
-164.11417249	0.00021107
-164.08083918	0.00031901
-164.04750587	0.00024514
-164.01417256	0.00038999
-163.98083924	0.00022906
-163.94750593	0.00033871
-163.91417262	0.00038526
-163.88083930	0.00037155
-163.84750599	0.00028082
-163.81417268	0.00016260
-163.78083937	0.00024083
-163.74750605	0.00016541
-163.71417274	0.00008046
-163.68083943	-0.00011511
-163.64750611	0.00020788
-163.61417280	0.00065478
-163.58083949	0.00008436
-163.54750618	0.00011447
-163.51417286	0.00033994
-163.48083955	0.00005716
-163.44750624	0.00012735
-163.41417292	0.00037956
-163.38083961	0.00046787
-163.34750630	0.00035124
-163.31417299	0.00046940
-163.28083967	0.00037888
-163.24750636	0.00011429
-163.21417305	0.00039298
-163.18083973	0.00086332
-163.14750642	0.00031559
-163.11417311	0.00063337
-163.08083980	0.00041789
-163.04750648	0.00100222
-163.01417317	0.00053564
-162.98083986	0.00078229
-162.94750654	0.00066762
-162.91417323	0.00033856
-162.88083992	0.00069493
-162.84750660	0.00095794
-162.81417329	0.00037557
-162.78083998	0.00038688
-162.74750667	0.00049251
-162.71417335	0.00152443
-162.68084004	0.00078231
-162.64750673	0.00082192
-162.61417341	0.00043482
-162.58084010	0.00054122
-162.54750679	0.00049804
-162.51417348	0.00092454
-162.48084016	0.00105034
-162.44750685	0.00100599
-162.41417354	0.00069534
-162.38084022	0.00055242
-162.34750691	0.00103201
-162.31417360	0.00053837
-162.28084029	0.00081266
-162.24750697	0.00090179
-162.21417366	0.00074551
-162.18084035	0.00099859
-162.14750703	0.00036361
-162.11417372	0.00095470
-162.08084041	0.00067265
-162.04750710	0.00091226
-162.01417378	0.00069385
-161.98084047	0.00110066
-161.94750716	0.00044350
-161.91417384	-0.00007327
-161.88084053	0.00069426
-161.84750722	0.00040445
-161.81417391	-0.00024450
-161.78084059	0.00115774
-161.74750728	0.00091532
-161.71417397	0.00098993
-161.68084065	0.00046160
-161.64750734	0.00066953
-161.61417403	0.00101083
-161.58084071	0.00091383
-161.54750740	0.00127420
-161.51417409	0.00082340
-161.48084078	0.00091098
-161.44750746	0.00101700
-161.41417415	0.00091583
-161.38084084	0.00084769
-161.34750752	0.00029741
-161.31417421	0.00070854
-161.28084090	0.00065944
-161.24750759	0.00010405
-161.21417427	-0.00004753
-161.18084096	0.00072108
-161.14750765	0.00056239
-161.11417433	0.00049834
-161.08084102	0.00015658
-161.04750771	0.00006938
-161.01417440	0.00030468
-160.98084108	0.00063233
-160.94750777	0.00060957
-160.91417446	0.00066405
-160.88084114	-0.00029887
-160.84750783	0.00027099
-160.81417452	0.00082621
-160.78084121	0.00054960
-160.74750789	0.00018475
-160.71417458	-0.00001397
-160.68084127	-0.00000838
-160.64750795	0.00035719
-160.61417464	0.00077961
-160.58084133	0.00014552
-160.54750802	0.00093062
-160.51417470	0.00053856
-160.48084139	0.00089636
-160.44750808	0.00073886
-160.41417476	0.00034126
-160.38084145	0.00066670
-160.34750814	0.00087837
-160.31417483	0.00169998
-160.28084151	0.00085374
-160.24750820	0.00077048
-160.21417489	0.00012998
-160.18084157	0.00059574
-160.14750826	0.00035846
-160.11417495	0.00108578
-160.08084163	0.00061542
-160.04750832	0.00039609
-160.01417501	0.00029292
-159.98084170	0.00060547
-159.94750838	0.00029265
-159.91417507	0.00029556
-159.88084176	0.00011109
-159.84750844	-0.00043143
-159.81417513	-0.00064548
-159.78084182	-0.00004604
-159.74750851	-0.00016440
-159.71417519	-0.00058788
-159.68084188	-0.00036506
-159.64750857	-0.00082004
-159.61417525	-0.00045969
-159.58084194	-0.00061766
-159.54750863	-0.00064434
-159.51417532	-0.00046961
-159.48084200	-0.00079444
