# Menlo Systems GmbH ScanControl
# Program Version 1.10.0
# Start: -166.20000000 ps, Average over 10 waveforms. Timestamp: 2024-12-22T20:17:23
# Window type: Blackman, parameters: total slope amount = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-18.80662395
0.00732601	-17.62544149
0.01465202	-19.48414350
0.02197804	-18.97573144
0.02930405	-19.77752320
0.03663006	-19.36330997
0.04395607	-19.33598128
0.05128208	-18.92529479
0.05860809	-19.04120300
0.06593411	-19.02758355
0.07326012	-17.89675546
0.08058613	-20.48179895
0.08791214	-17.35482421
0.09523815	-17.49720278
0.10256417	-21.57441586
0.10989018	-18.07029913
0.11721619	-17.77378619
0.12454220	-20.86859977
0.13186821	-19.99290021
0.13919422	-18.42046361
0.14652024	-22.06919831
0.15384625	-20.21654138
0.16117226	-18.03050269
0.16849827	-17.51866551
0.17582428	-20.99651164
0.18315030	-19.19104444
0.19047631	-18.51011373
0.19780232	-17.34108107
0.20512833	-17.40438441
0.21245434	-17.95074523
0.21978035	-16.01888350
0.22710637	-13.88745959
0.23443238	-13.76018957
0.24175839	-15.07797073
0.24908440	-11.88321789
0.25641041	-12.22018553
0.26373643	-12.30552100
0.27106244	-9.58040772
0.27838845	-9.95294240
0.28571446	-10.62066330
0.29304047	-9.14568348
0.30036648	-8.28869162
0.30769250	-9.08371853
0.31501851	-8.98374673
0.32234452	-7.46045014
0.32967053	-6.98964460
0.33699654	-8.42755276
0.34432256	-7.41358087
0.35164857	-6.05150440
0.35897458	-6.67457508
0.36630059	-6.30127303
0.37362660	-5.49950955
0.38095261	-5.40864838
0.38827863	-4.92565862
0.39560464	-4.96878629
0.40293065	-4.73813136
0.41025666	-4.53909252
0.41758267	-4.38219218
0.42490869	-4.34532152
0.43223470	-4.02918843
0.43956071	-3.97770662
0.44688672	-3.96588066
0.45421273	-3.17149213
0.46153874	-3.44167825
0.46886476	-3.35104797
0.47619077	-2.78515265
0.48351678	-3.02892794
0.49084279	-2.54784259
0.49816880	-2.49937895
0.50549482	-2.60912739
0.51282083	-1.80963229
0.52014684	-2.05106639
0.52747285	-2.24559320
0.53479886	-1.34445575
0.54212487	-2.36121392
0.54945089	-2.23195197
0.55677690	-6.42793155
0.56410291	-2.93337558
0.57142892	-1.31968641
0.57875493	-1.25166896
0.58608095	-1.32318504
0.59340696	-0.48720373
0.60073297	-0.96761242
0.60805898	-0.61068769
0.61538499	-0.17036284
0.62271100	-0.84697133
0.63003702	-0.08434987
0.63736303	-0.26352129
0.64468904	-0.45846673
0.65201505	0.00000000
0.65934106	-0.44268450
0.66666708	-0.14534874
0.67399309	-0.23540503
0.68131910	-0.56496708
0.68864511	-0.09146950
0.69597112	-0.41912728
0.70329713	-0.38683505
0.71062315	-0.26743821
0.71794916	-0.51828252
0.72527517	-0.30500342
0.73260118	-0.56085181
0.73992719	-0.65075216
0.74725321	-1.51821075
0.75457922	-3.73538799
0.76190523	-0.85960087
0.76923124	-1.01100622
0.77655725	-0.62764477
0.78388326	-0.91335455
0.79120928	-0.70297145
0.79853529	-0.82136254
0.80586130	-0.88504621
0.81318731	-0.70763496
0.82051332	-0.71691428
0.82783934	-0.61879073
0.83516535	-0.52846093
0.84249136	-0.60723577
0.84981737	-0.57134754
0.85714338	-0.49644838
0.86446939	-0.71546921
0.87179541	-0.43507235
0.87912142	-0.56934798
0.88644743	-0.63853489
0.89377344	-0.50405892
0.90109945	-0.75104118
0.90842547	-0.67692228
0.91575148	-0.76757459
0.92307749	-0.77847869
0.93040350	-0.63789375
0.93772951	-0.73435671
0.94505552	-0.87343269
0.95238154	-0.67253762
0.95970755	-0.96473404
0.96703356	-0.89198295
0.97435957	-1.02142254
0.98168558	-1.36464549
0.98901160	-3.07872057
0.99633761	-1.51000044
1.00366362	-1.05763512
1.01098963	-0.88996805
1.01831564	-1.20194953
1.02564165	-0.82421343
1.03296767	-1.19262056
1.04029368	-1.13703263
1.04761969	-1.22990930
1.05494570	-1.27329932
1.06227171	-1.45021676
1.06959773	-1.50829619
1.07692374	-1.95103874
1.08424975	-2.33700640
1.09157576	-4.95322345
1.09890177	-27.57483760
1.10622778	-5.26175208
1.11355380	-7.29311833
1.12087981	-3.63724588
1.12820582	-2.58648595
1.13553183	-2.42939215
1.14285784	-2.63391911
1.15018386	-4.37654320
1.15750987	-8.09307538
1.16483588	-27.92955030
1.17216189	-5.13436592
1.17948790	-3.05939735
1.18681391	-2.60358564
1.19413993	-2.89227719
1.20146594	-3.32656365
1.20879195	-8.56922993
1.21611796	-4.03272879
1.22344397	-4.07249111
1.23076999	-7.58852750
1.23809600	-3.57938934
1.24542201	-3.23245225
1.25274802	-2.95353023
1.26007403	-3.08552316
1.26740004	-3.01245782
1.27472606	-3.04474597
1.28205207	-3.29343012
1.28937808	-3.16250097
1.29670409	-3.39326943
1.30403010	-3.55774545
1.31135612	-3.57654077
1.31868213	-4.13316411
1.32600814	-4.42401283
1.33333415	-4.02002000
1.34066016	-4.38239040
1.34798617	-4.11720721
1.35531219	-4.63905875
1.36263820	-4.43267081
1.36996421	-4.65702515
1.37729022	-4.70447658
