# Menlo Systems GmbH ScanControl
# Program Version 1.10.0
# Start: -166.20000000 ps, Average over 10 waveforms. Timestamp: 2024-12-22T20:32:41
# Window type: Blackman, parameters: total slope amount = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-18.20904986
0.00732601	-17.72921625
0.01465202	-19.59062708
0.02197804	-19.16583840
0.02930405	-19.63968966
0.03663006	-19.37901480
0.04395607	-19.33729575
0.05128208	-18.93340853
0.05860809	-18.97194590
0.06593411	-18.95898313
0.07326012	-17.90726102
0.08058613	-20.31730333
0.08791214	-17.36006609
0.09523815	-17.48153473
0.10256417	-21.53788477
0.10989018	-18.05758463
0.11721619	-17.69034224
0.12454220	-20.68087556
0.13186821	-19.95802388
0.13919422	-18.36755941
0.14652024	-21.96141014
0.15384625	-20.17143163
0.16117226	-17.98475989
0.16849827	-17.35026318
0.17582428	-20.84148399
0.18315030	-18.96474213
0.19047631	-18.34949990
0.19780232	-17.10612003
0.20512833	-17.21572357
0.21245434	-17.84610696
0.21978035	-15.82833809
0.22710637	-13.78256295
0.23443238	-13.70976581
0.24175839	-14.98279794
0.24908440	-11.81107393
0.25641041	-12.14040951
0.26373643	-12.19134558
0.27106244	-9.53949515
0.27838845	-9.87687579
0.28571446	-10.56006069
0.29304047	-9.05874779
0.30036648	-8.21371123
0.30769250	-9.01839193
0.31501851	-8.93056821
0.32234452	-7.38032713
0.32967053	-6.93418281
0.33699654	-8.36166697
0.34432256	-7.35044030
0.35164857	-5.97199933
0.35897458	-6.62605265
0.36630059	-6.25207929
0.37362660	-5.44951330
0.38095261	-5.35518698
0.38827863	-4.88774808
0.39560464	-4.92525100
0.40293065	-4.68934100
0.41025666	-4.48987093
0.41758267	-4.35095022
0.42490869	-4.30553444
0.43223470	-3.99424301
0.43956071	-3.94170946
0.44688672	-3.92528732
0.45421273	-3.13455338
0.46153874	-3.40985440
0.46886476	-3.30370283
0.47619077	-2.73945680
0.48351678	-2.97779273
0.49084279	-2.50586738
0.49816880	-2.45365208
0.50549482	-2.56300679
0.51282083	-1.77181106
0.52014684	-2.01950934
0.52747285	-2.21602171
0.53479886	-1.32067421
0.54212487	-2.32730588
0.54945089	-2.21533773
0.55677690	-6.41163613
0.56410291	-2.91147224
0.57142892	-1.29890461
0.57875493	-1.22664192
0.58608095	-1.29624534
0.59340696	-0.45854616
0.60073297	-0.94843321
0.60805898	-0.60407259
0.61538499	-0.14554453
0.62271100	-0.84534636
0.63003702	-0.06869577
0.63736303	-0.26076298
0.64468904	-0.46313603
0.65201505	0.00000000
0.65934106	-0.46556234
0.66666708	-0.15277841
0.67399309	-0.25603743
0.68131910	-0.58686115
0.68864511	-0.11469260
0.69597112	-0.44852764
0.70329713	-0.41263178
0.71062315	-0.30884396
0.71794916	-0.55108225
0.72527517	-0.33376186
0.73260118	-0.57887988
0.73992719	-0.66774355
0.74725321	-1.52062325
0.75457922	-3.74066155
0.76190523	-0.84574145
0.76923124	-0.99790872
0.77655725	-0.62182420
0.78388326	-0.89697400
0.79120928	-0.68403908
0.79853529	-0.79836249
0.80586130	-0.85805852
0.81318731	-0.67768891
0.82051332	-0.68006044
0.82783934	-0.58637490
0.83516535	-0.48961647
0.84249136	-0.56999489
0.84981737	-0.52873209
0.85714338	-0.45178608
0.86446939	-0.66718724
0.87179541	-0.38222806
0.87912142	-0.50954555
0.88644743	-0.57604981
0.89377344	-0.44322866
0.90109945	-0.67998835
0.90842547	-0.60222366
0.91575148	-0.69201098
0.92307749	-0.70503457
0.93040350	-0.56232086
0.93772951	-0.65356515
0.94505552	-0.79371744
0.95238154	-0.59932802
0.95970755	-0.89396369
0.96703356	-0.81693547
0.97435957	-0.94219183
0.98168558	-1.29044279
0.98901160	-3.01028291
0.99633761	-1.42999281
1.00366362	-0.97491234
1.01098963	-0.81418616
1.01831564	-1.10882286
1.02564165	-0.74044921
1.03296767	-1.09944318
1.04029368	-1.05090771
1.04761969	-1.14053981
1.05494570	-1.19873897
1.06227171	-1.39160389
1.06959773	-1.44657834
1.07692374	-1.89371501
1.08424975	-2.27550933
1.09157576	-4.92199566
1.09890177	-27.34364044
1.10622778	-5.16703039
1.11355380	-7.21613746
1.12087981	-3.57547246
1.12820582	-2.51616335
1.13553183	-2.37054471
1.14285784	-2.58651172
1.15018386	-4.32151715
1.15750987	-8.09110368
1.16483588	-27.94919589
1.17216189	-5.06468586
1.17948790	-2.98888662
1.18681391	-2.51867663
1.19413993	-2.82751717
1.20146594	-3.25391543
1.20879195	-8.54132884
1.21611796	-3.99709345
1.22344397	-4.03336285
1.23076999	-7.55891273
1.23809600	-3.49669177
1.24542201	-3.14795914
1.25274802	-2.87541500
1.26007403	-3.00786966
1.26740004	-2.94334521
1.27472606	-2.97474944
1.28205207	-3.23296244
1.28937808	-3.08880922
1.29670409	-3.31897452
1.30403010	-3.46795938
1.31135612	-3.50015660
1.31868213	-4.06096654
1.32600814	-4.35216080
1.33333415	-3.91926794
1.34066016	-4.28756939
1.34798617	-4.01803985
1.35531219	-4.53732202
1.36263820	-4.31984523
1.36996421	-4.55757969
1.37729022	-4.63158313
1.38461623	-4.72981686
1.39194225	-5.11336178
1.39926826	-5.47631342
1.40659427	-8.82137496
1.41392028	-19.37392661
1.42124629	-6.93059720
1.42857230	-6.15029918
1.43589832	-5.79018995
1.44322433	-6.16491354
1.45055034	-6.01999242
1.45787635	-6.16188674
1.46520236	-6.32556355
1.47252838	-6.32174592
1.47985439	-6.50990189
1.48718040	-6.44533347
1.49450641	-6.58740878
1.50183242	-6.50432085
1.50915843	-6.80822833
1.51648445	-6.84380323
1.52381046	-7.26121744
1.53113647	-7.31632708
1.53846248	-7.55658325
1.54578849	-7.96740518
1.55311451	-7.82401955
1.56044052	-8.27763278
1.56776653	-8.12475839
1.57509254	-8.46014545
1.58241855	-8.46365154
1.58974456	-8.71776023
1.59707058	-9.93524046
1.60439659	-16.54445294
1.61172260	-10.23759272
1.61904861	-9.79900337
1.62637462	-9.58931898
1.63370064	-10.25329262
1.64102665	-10.59541235
1.64835266	-11.59626315
1.65567867	-15.52527528
1.66300468	-32.68792988
1.67033069	-34.07518713
1.67765671	-24.28838046
1.68498272	-15.00705069
1.69230873	-13.26610250
1.69963474	-13.43939007
1.70696075	-14.78192596
1.71428677	-26.76640472
1.72161278	-30.40728066
1.72893879	-16.38197528
1.73626480	-13.53380696
1.74359081	-13.37676196
1.75091682	-13.35866245
1.75824284	-14.45612434
1.76556885	-17.42088341
1.77289486	-14.35975725
1.78022087	-14.74581580
1.78754688	-14.88927254
1.79487290	-20.14997398
1.80219891	-20.01260429
1.80952492	-15.30628157
1.81685093	-15.29449606
1.82417694	-15.16216684
1.83150295	-15.37359407
1.83882897	-15.64164055
1.84615498	-15.91546885
1.85348099	-16.37121880
1.86080700	-17.63977359
1.86813301	-28.71313650
1.87545903	-21.34750284
1.88278504	-17.67973167
1.89011105	-17.34605425
1.89743706	-17.16172596
1.90476307	-17.47126367
1.91208908	-18.34814227
1.91941510	-27.77470190
1.92674111	-21.80806670
1.93406712	-18.58252537
1.94139313	-18.23832510
1.94871914	-18.46228604
1.95604516	-18.44823523
1.96337117	-18.80279375
1.97069718	-18.84797435
1.97802319	-18.99199231
1.98534920	-19.22240848
1.99267521	-19.34727009
2.00000123	-19.76688188
2.00732724	-19.72488088
2.01465325	-20.62390835
2.02197926	-20.81997803
2.02930527	-20.57249057
2.03663129	-22.21767895
2.04395730	-30.32297726
2.05128331	-21.38255507
2.05860932	-21.44703957
2.06593533	-21.07691813
2.07326134	-24.66646411
2.08058736	-24.74520113
2.08791337	-21.61588111
2.09523938	-21.83111960
2.10256539	-21.83241315
2.10989140	-22.13376539
2.11721742	-22.33414360
2.12454343	-22.48666003
2.13186944	-22.81771397
2.13919545	-22.88205283
2.14652146	-23.40980418
2.15384747	-23.92206404
2.16117349	-28.55822280
2.16849950	-38.02715420
2.17582551	-29.04182434
2.18315152	-25.80002853
2.19047753	-27.83690620
2.19780355	-36.06872958
2.20512956	-31.48143060
2.21245557	-28.18169931
2.21978158	-33.04714173
2.22710759	-34.41699396
2.23443360	-27.95714210
2.24175962	-27.55755038
2.24908563	-27.99187647
2.25641164	-29.05750637
2.26373765	-35.85351505
2.27106366	-33.76175124
2.27838968	-27.87839066
2.28571569	-27.64477716
2.29304170	-27.51893674
2.30036771	-28.04115147
2.30769372	-28.33578622
2.31501973	-29.37506051
2.32234575	-30.42160222
2.32967176	-30.56783794
2.33699777	-30.85933297
2.34432378	-38.48004615
2.35164979	-36.05235070
2.35897581	-32.27952565
2.36630182	-40.91356153
2.37362783	-37.05220871
2.38095384	-33.70995945
2.38827985	-38.39305190
2.39560586	-38.66227005
2.40293188	-32.75140301
2.41025789	-31.36424401
2.41758390	-32.01570355
2.42490991	-32.48820529
2.43223592	-34.47765888
2.43956194	-33.19935924
2.44688795	-35.03544514
2.45421396	-35.96627876
2.46153997	-41.35549426
2.46886598	-38.29946971
2.47619199	-32.90205440
2.48351801	-32.33400713
2.49084402	-32.53844282
2.49817003	-32.88786922
2.50549604	-33.36331214
2.51282205	-33.91314391
2.52014807	-33.89614941
2.52747408	-34.27397054
2.53480009	-34.21916481
2.54212610	-34.50164910
2.54945211	-34.63205001
2.55677812	-35.24600878
2.56410414	-35.52861802
2.57143015	-36.98797368
2.57875616	-35.87583121
2.58608217	-36.60118980
2.59340818	-36.71415766
2.60073420	-36.58785297
2.60806021	-36.39071274
2.61538622	-35.64971612
2.62271223	-35.01423447
2.63003824	-37.81513104
2.63736425	-45.55398902
2.64469027	-42.96457663
2.65201628	-50.62876629
2.65934229	-37.71604596
2.66666830	-37.74282448
2.67399431	-35.18287692
2.68132033	-35.09204328
2.68864634	-42.02638698
2.69597235	-34.83079297
2.70329836	-34.34179619
2.71062437	-34.65484328
2.71795038	-35.21082639
2.72527640	-35.67517303
2.73260241	-36.40312899
2.73992842	-37.78792856
2.74725443	-39.09241934
2.75458044	-40.01514588
2.76190646	-39.82409295
2.76923247	-41.57469504
2.77655848	-45.41231625
2.78388449	-48.50982380
2.79121050	-39.81638080
2.79853651	-34.76617189
2.80586253	-34.43914922
2.81318854	-33.91954803
2.82051455	-34.09942492
2.82784056	-34.21861435
2.83516657	-34.54365287
2.84249259	-34.74987425
2.84981860	-35.28857350
2.85714461	-35.63013422
2.86447062	-36.78173358
2.87179663	-38.18309774
2.87912264	-53.90109614
2.88644866	-43.97765282
2.89377467	-36.79068429
2.90110068	-34.60172542
2.90842669	-34.98811301
2.91575270	-35.27196689
2.92307872	-35.87806980
2.93040473	-36.44071027
2.93773074	-37.64122730
2.94505675	-39.08174192
2.95238276	-40.63621498
2.95970877	-42.66104623
2.96703479	-43.73806725
2.97436080	-48.47489378
2.98168681	-42.04221092
2.98901282	-38.31777126
2.99633883	-43.47693612
3.00366485	-48.03075173
3.01099086	-47.07488663
3.01831687	-49.09058785
3.02564288	-48.88060962
3.03296889	-44.46734143
3.04029490	-38.65025576
3.04762092	-49.61090960
3.05494693	-39.48415809
3.06227294	-36.08791032
3.06959895	-35.47353780
3.07692496	-34.85033485
