# Menlo Systems GmbH ScanControl
# Program Version 1.10.0
# Start: -166.20000000 ps, Average over 10 waveforms. Timestamp: 2024-12-22T20:33:46
# Window type: Blackman, parameters: total slope amount = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-18.16125150
0.00732601	-17.51593860
0.01465202	-19.58129760
0.02197804	-19.27723230
0.02930405	-19.86728763
0.03663006	-19.62773587
0.04395607	-19.53175223
0.05128208	-19.32052798
0.05860809	-19.14329973
0.06593411	-19.15071531
0.07326012	-18.00169850
0.08058613	-20.49766771
0.08791214	-17.44945057
0.09523815	-17.55094312
0.10256417	-21.77600975
0.10989018	-18.24576751
0.11721619	-17.91750483
0.12454220	-20.92434638
0.13186821	-20.08209634
0.13919422	-18.43100234
0.14652024	-21.99240967
0.15384625	-20.35968093
0.16117226	-18.00915564
0.16849827	-17.33077959
0.17582428	-20.74812155
0.18315030	-18.96120508
0.19047631	-18.31126920
0.19780232	-17.04182899
0.20512833	-17.16241824
0.21245434	-17.76368738
0.21978035	-15.83299988
0.22710637	-13.73246833
0.23443238	-13.64865804
0.24175839	-14.90118918
0.24908440	-11.79155652
0.25641041	-12.06387966
0.26373643	-12.17868612
0.27106244	-9.48059985
0.27838845	-9.79684680
0.28571446	-10.49988855
0.29304047	-9.01683116
0.30036648	-8.16562338
0.30769250	-8.96953089
0.31501851	-8.88292317
0.32234452	-7.33598060
0.32967053	-6.89051950
0.33699654	-8.33732829
0.34432256	-7.31736023
0.35164857	-5.95395424
0.35897458	-6.60640780
0.36630059	-6.21126428
0.37362660	-5.42021594
0.38095261	-5.33278015
0.38827863	-4.85494882
0.39560464	-4.89916552
0.40293065	-4.66492946
0.41025666	-4.45722849
0.41758267	-4.32930373
0.42490869	-4.27254423
0.43223470	-3.97415367
0.43956071	-3.92194510
0.44688672	-3.90646930
0.45421273	-3.11471813
0.46153874	-3.39146455
0.46886476	-3.28415540
0.47619077	-2.72751059
0.48351678	-2.96067543
0.49084279	-2.49824735
0.49816880	-2.43921921
0.50549482	-2.56169365
0.51282083	-1.76600416
0.52014684	-2.00694504
0.52747285	-2.20808330
0.53479886	-1.31525506
0.54212487	-2.31824148
0.54945089	-2.20839415
0.55677690	-6.48407016
0.56410291	-2.91579881
0.57142892	-1.30201901
0.57875493	-1.22020816
0.58608095	-1.29128885
0.59340696	-0.45402095
0.60073297	-0.93746801
0.60805898	-0.58985045
0.61538499	-0.13746326
0.62271100	-0.83191818
0.63003702	-0.06083680
0.63736303	-0.25492065
0.64468904	-0.45804193
0.65201505	0.00000000
0.65934106	-0.45882497
0.66666708	-0.15629056
0.67399309	-0.25609995
0.68131910	-0.59021902
0.68864511	-0.11298547
0.69597112	-0.45196506
0.70329713	-0.42203541
0.71062315	-0.30370555
0.71794916	-0.55674769
0.72527517	-0.34592525
0.73260118	-0.59065171
0.73992719	-0.67537579
0.74725321	-1.54540678
0.75457922	-3.80738294
0.76190523	-0.87260133
0.76923124	-1.02034627
0.77655725	-0.63543372
0.78388326	-0.91554984
0.79120928	-0.71170233
0.79853529	-0.80888145
0.80586130	-0.86845952
0.81318731	-0.69927893
0.82051332	-0.69817238
0.82783934	-0.60785508
0.83516535	-0.51113330
0.84249136	-0.59704287
0.84981737	-0.55195563
0.85714338	-0.48806014
0.86446939	-0.69267260
0.87179541	-0.40806937
0.87912142	-0.53791726
0.88644743	-0.61012869
0.89377344	-0.46826115
0.90109945	-0.71397989
0.90842547	-0.63344746
0.91575148	-0.72590474
0.92307749	-0.73619592
0.93040350	-0.58901853
