# Menlo Systems GmbH ScanControl
# Program Version 1.10.0
# Start: -166.20000000 ps, Average over 10 waveforms. Timestamp: 2024-12-22T20:50:22
# Window type: Blackman, parameters: total slope amount = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-18.72886278
0.00732601	-17.38098235
0.01465202	-19.70057720
0.02197804	-19.08834578
0.02930405	-19.85605104
0.03663006	-19.35351035
0.04395607	-19.52018271
0.05128208	-19.12307306
0.05860809	-19.05324189
0.06593411	-19.07547849
0.07326012	-17.89856919
0.08058613	-20.61655103
0.08791214	-17.38550300
0.09523815	-17.67884087
0.10256417	-21.70526413
0.10989018	-18.26394402
0.11721619	-17.86266187
0.12454220	-20.95575471
0.13186821	-20.07757318
0.13919422	-18.33710022
0.14652024	-21.95223591
0.15384625	-20.29931343
0.16117226	-17.91648016
0.16849827	-17.17834828
0.17582428	-20.57046387
0.18315030	-18.87792059
0.19047631	-18.15662608
0.19780232	-16.88966317
0.20512833	-17.04010262
0.21245434	-17.68200436
0.21978035	-15.72001094
0.22710637	-13.62588786
0.23443238	-13.56825486
0.24175839	-14.77547913
0.24908440	-11.72196659
0.25641041	-11.98364251
0.26373643	-12.09747811
0.27106244	-9.43973489
0.27838845	-9.76464316
0.28571446	-10.45222325
0.29304047	-8.97795347
0.30036648	-8.14335057
0.30769250	-8.93287823
0.31501851	-8.84946390
0.32234452	-7.28283632
0.32967053	-6.86034551
0.33699654	-8.32428850
0.34432256	-7.29634331
0.35164857	-5.91919299
0.35897458	-6.57108141
0.36630059	-6.18656151
0.37362660	-5.40086055
0.38095261	-5.29623446
0.38827863	-4.82879871
0.39560464	-4.86796149
0.40293065	-4.64011301
0.41025666	-4.43592946
0.41758267	-4.29929996
0.42490869	-4.26706830
0.43223470	-3.96156141
0.43956071	-3.91717407
0.44688672	-3.88664370
0.45421273	-3.10467126
0.46153874	-3.37897391
0.46886476	-3.25991383
0.47619077	-2.71517375
0.48351678	-2.93831842
0.49084279	-2.47778274
0.49816880	-2.42611260
0.50549482	-2.54417507
0.51282083	-1.73877302
0.52014684	-1.98433158
0.52747285	-2.18675258
0.53479886	-1.30193902
0.54212487	-2.29463757
0.54945089	-2.18077354
0.55677690	-6.39837275
0.56410291	-2.89657979
0.57142892	-1.28561045
0.57875493	-1.20398498
0.58608095	-1.27980827
0.59340696	-0.44445883
0.60073297	-0.92721793
0.60805898	-0.58909456
0.61538499	-0.12855566
0.62271100	-0.83220649
0.63003702	-0.05567740
0.63736303	-0.25079629
0.64468904	-0.45421463
0.65201505	0.00000000
0.65934106	-0.47341795
0.66666708	-0.15792307
0.67399309	-0.25861164
0.68131910	-0.60166754
0.68864511	-0.12670050
0.69597112	-0.46947578
0.70329713	-0.43636490
0.71062315	-0.32564704
0.71794916	-0.56730269
0.72527517	-0.35471079
0.73260118	-0.59615390
0.73992719	-0.68251415
0.74725321	-1.53686134
0.75457922	-3.78510149
0.76190523	-0.88561967
0.76923124	-1.02722675
0.77655725	-0.64435772
0.78388326	-0.91955254
0.79120928	-0.71614664
0.79853529	-0.81509496
0.80586130	-0.86920792
0.81318731	-0.70249430
0.82051332	-0.70045831
0.82783934	-0.60374361
0.83516535	-0.50732227
0.84249136	-0.59036639
0.84981737	-0.55234675
0.85714338	-0.47222780
0.86446939	-0.68260508
0.87179541	-0.40049875
