# Menlo Systems GmbH ScanControl
# Program Version 1.10.0
# Start: -166.20000000 ps, Average over 10 waveforms. Timestamp: 2024-12-22T20:49:45
# Window type: Blackman, parameters: total slope amount = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-17.97355889
0.00732601	-17.41894703
0.01465202	-19.49045964
0.02197804	-19.18367688
0.02930405	-19.89988513
0.03663006	-19.58822206
0.04395607	-19.50483610
0.05128208	-19.10347827
0.05860809	-19.09570768
0.06593411	-19.04845944
0.07326012	-17.91523432
0.08058613	-20.45999690
0.08791214	-17.43191358
0.09523815	-17.44147421
0.10256417	-21.60521388
0.10989018	-18.15199943
0.11721619	-17.76064592
0.12454220	-20.70006088
0.13186821	-20.01692883
0.13919422	-18.31716862
0.14652024	-21.86034197
0.15384625	-20.25644896
0.16117226	-17.92546172
0.16849827	-17.25099888
0.17582428	-20.52154247
0.18315030	-18.93878351
0.19047631	-18.21884048
0.19780232	-16.92735771
0.20512833	-17.13908126
0.21245434	-17.77603541
0.21978035	-15.77249255
0.22710637	-13.66331264
0.23443238	-13.57860540
0.24175839	-14.80470594
0.24908440	-11.73739674
0.25641041	-11.99534452
0.26373643	-12.11811212
0.27106244	-9.45556303
0.27838845	-9.78053283
0.28571446	-10.48113523
0.29304047	-9.00343914
0.30036648	-8.14437258
0.30769250	-8.94066901
0.31501851	-8.88766258
0.32234452	-7.31093013
0.32967053	-6.87536557
0.33699654	-8.33322087
0.34432256	-7.31079574
0.35164857	-5.92263721
0.35897458	-6.59502501
0.36630059	-6.18448278
0.37362660	-5.40752222
0.38095261	-5.30613829
0.38827863	-4.83707898
0.39560464	-4.88730604
0.40293065	-4.64645342
0.41025666	-4.44180347
0.41758267	-4.31220941
0.42490869	-4.26554089
0.43223470	-3.96928242
0.43956071	-3.91681405
0.44688672	-3.90347576
0.45421273	-3.10728957
0.46153874	-3.37789840
0.46886476	-3.26180878
0.47619077	-2.71018345
0.48351678	-2.94931743
0.49084279	-2.48626678
0.49816880	-2.42961941
0.50549482	-2.53791260
0.51282083	-1.74481225
0.52014684	-1.98387202
0.52747285	-2.18435602
0.53479886	-1.29575622
0.54212487	-2.29029130
0.54945089	-2.16012786
0.55677690	-6.27441764
0.56410291	-2.86514714
0.57142892	-1.27301335
0.57875493	-1.20018140
0.58608095	-1.27407780
0.59340696	-0.43807138
0.60073297	-0.92568690
0.60805898	-0.58590804
0.61538499	-0.12519187
0.62271100	-0.82647556
0.63003702	-0.06593717
0.63736303	-0.25145925
0.64468904	-0.45995305
0.65201505	0.00000000
0.65934106	-0.47008684
0.66666708	-0.15587655
0.67399309	-0.26091058
0.68131910	-0.59585202
0.68864511	-0.12704608
0.69597112	-0.47008746
0.70329713	-0.43860214
0.71062315	-0.32295618
0.71794916	-0.57065873
0.72527517	-0.35518067
0.73260118	-0.59918748
0.73992719	-0.67611882
0.74725321	-1.51104416
0.75457922	-3.70003937
0.76190523	-0.85517860
0.76923124	-1.01876718
0.77655725	-0.64033608
0.78388326	-0.92026558
0.79120928	-0.71378548
0.79853529	-0.81540870
0.80586130	-0.86803986
0.81318731	-0.69901868
0.82051332	-0.69517905
0.82783934	-0.60155198
0.83516535	-0.50198889
0.84249136	-0.58832752
0.84981737	-0.54096900
0.85714338	-0.46550671
0.86446939	-0.67487595
0.87179541	-0.39652746
0.87912142	-0.52636972
0.88644743	-0.59209083
0.89377344	-0.45378499
0.90109945	-0.69444879
0.90842547	-0.61353292
0.91575148	-0.70286032
0.92307749	-0.71074146
0.93040350	-0.57829888
0.93772951	-0.66977706
0.94505552	-0.81245356
0.95238154	-0.61394995
0.95970755	-0.91025771
0.96703356	-0.83201230
0.97435957	-0.96318920
0.98168558	-1.29475808
0.98901160	-2.98392051
0.99633761	-1.44739843
1.00366362	-0.99734075
1.01098963	-0.83198619
1.01831564	-1.13597043
1.02564165	-0.76729024
1.03296767	-1.13014926
1.04029368	-1.07529966
1.04761969	-1.18092100
1.05494570	-1.22816676
1.06227171	-1.40157232
1.06959773	-1.47597986
1.07692374	-1.89518192
1.08424975	-2.27682633
1.09157576	-4.80716128
1.09890177	-27.04087243
1.10622778	-5.16518937
1.11355380	-7.18678708
1.12087981	-3.58503149
1.12820582	-2.55271903
1.13553183	-2.40624731
1.14285784	-2.59562703
1.15018386	-4.29568548
1.15750987	-7.94060026
1.16483588	-27.89484442
1.17216189	-5.09492515
1.17948790	-3.07483263
1.18681391	-2.58992579
1.19413993	-2.88924513
1.20146594	-3.30239525
1.20879195	-8.51116986
1.21611796	-4.02680728
1.22344397	-4.05667931
1.23076999	-7.54037916
1.23809600	-3.57655951
1.24542201	-3.24661579
1.25274802	-2.96734870
1.26007403	-3.09130896
1.26740004	-3.03447809
1.27472606	-3.05852647
1.28205207	-3.29577783
1.28937808	-3.16099465
1.29670409	-3.38856273
1.30403010	-3.53694711
1.31135612	-3.56934013
1.31868213	-4.12327189
1.32600814	-4.42872790
1.33333415	-4.00005093
1.34066016	-4.36981783
1.34798617	-4.09809544
1.35531219	-4.61975496
1.36263820	-4.41565778
1.36996421	-4.62358945
1.37729022	-4.67641657
1.38461623	-4.78825896
1.39194225	-5.16713932
1.39926826	-5.51418710
1.40659427	-8.75696759
1.41392028	-19.53830882
1.42124629	-7.00214796
1.42857230	-6.24736829
1.43589832	-5.87710494
1.44322433	-6.27272648
1.45055034	-6.12880392
1.45787635	-6.24322825
1.46520236	-6.40918913
1.47252838	-6.39829336
1.47985439	-6.59641809
1.48718040	-6.53709028
1.49450641	-6.67596261
1.50183242	-6.61325730
1.50915843	-6.89742086
1.51648445	-6.93062547
1.52381046	-7.34845188
1.53113647	-7.40760606
1.53846248	-7.65353236
1.54578849	-8.07557476
1.55311451	-7.93873738
1.56044052	-8.36580909
1.56776653	-8.20979269
1.57509254	-8.55393234
1.58241855	-8.54818724
1.58974456	-8.80676803
1.59707058	-9.98897260
1.60439659	-16.53683575
1.61172260	-10.35153819
1.61904861	-9.89112140
1.62637462	-9.67404552
1.63370064	-10.35490985
1.64102665	-10.65548490
1.64835266	-11.60578821
1.65567867	-15.38439569
1.66300468	-32.05737835
1.67033069	-33.29666886
1.67765671	-24.22238046
1.68498272	-15.08238572
1.69230873	-13.32223457
1.69963474	-13.46809804
1.70696075	-14.76698110
1.71428677	-26.40053106
1.72161278	-30.35009136
1.72893879	-16.52546483
1.73626480	-13.72000688
1.74359081	-13.56016110
1.75091682	-13.54690174
1.75824284	-14.55051131
1.76556885	-17.54671831
1.77289486	-14.46274118
1.78022087	-14.83393968
1.78754688	-14.97714949
1.79487290	-20.10469292
1.80219891	-20.33443543
1.80952492	-15.46811137
1.81685093	-15.44658297
1.82417694	-15.31134170
1.83150295	-15.48539827
1.83882897	-15.75569278
1.84615498	-16.02870465
1.85348099	-16.47693558
1.86080700	-17.65283570
1.86813301	-28.32563472
1.87545903	-21.55874383
1.88278504	-17.86124157
1.89011105	-17.52986346
1.89743706	-17.35230887
1.90476307	-17.67468790
1.91208908	-18.47199164
1.91941510	-27.59783209
1.92674111	-21.99254366
1.93406712	-18.75343044
1.94139313	-18.41398103
1.94871914	-18.61215227
1.95604516	-18.61303819
1.96337117	-19.02932416
1.97069718	-18.98984947
1.97802319	-19.14262763
1.98534920	-19.40380755
1.99267521	-19.53101922
2.00000123	-19.89735578
2.00732724	-19.83501316
2.01465325	-20.77322082
2.02197926	-20.99381108
2.02930527	-20.73011823
2.03663129	-22.31869786
2.04395730	-30.37452000
2.05128331	-21.54688246
2.05860932	-21.59568039
2.06593533	-21.16566406
2.07326134	-24.61082863
2.08058736	-24.92063635
2.08791337	-21.79437914
2.09523938	-21.98096418
2.10256539	-22.00675646
2.10989140	-22.35753505
2.11721742	-22.63957560
2.12454343	-22.65500381
2.13186944	-22.95589368
2.13919545	-23.04280092
2.14652146	-23.60044929
2.15384747	-24.06635583
2.16117349	-28.57089129
2.16849950	-38.70679228
2.17582551	-29.22685177
2.18315152	-25.97096909
2.19047753	-27.76178029
2.19780355	-35.96019746
2.20512956	-31.59070576
2.21245557	-28.29283931
2.21978158	-33.18045944
2.22710759	-34.88638273
2.23443360	-28.17659997
2.24175962	-27.70678322
2.24908563	-28.18625888
2.25641164	-29.12073210
2.26373765	-36.05337324
2.27106366	-34.03856113
2.27838968	-28.05036360
2.28571569	-27.80939203
2.29304170	-27.69533857
2.30036771	-28.28560091
2.30769372	-28.45988665
2.31501973	-29.61876063
2.32234575	-30.56838191
2.32967176	-30.68306242
2.33699777	-30.90319270
2.34432378	-38.44464841
2.35164979	-36.44384371
2.35897581	-32.50651655
2.36630182	-41.21435411
2.37362783	-36.94611523
2.38095384	-33.85173346
2.38827985	-38.57678089
2.39560586	-38.78801067
2.40293188	-32.90884690
2.41025789	-31.44626240
2.41758390	-32.19150191
2.42490991	-32.49890223
2.43223592	-34.73584941
2.43956194	-33.26128652
2.44688795	-35.35457216
2.45421396	-36.17977299
2.46153997	-41.52538496
2.46886598	-38.24604802
2.47619199	-32.94523231
2.48351801	-32.42875261
2.49084402	-32.75150335
2.49817003	-32.94398799
2.50549604	-33.41381805
2.51282205	-33.95685262
2.52014807	-34.07132153
2.52747408	-34.32099278
2.53480009	-34.29675442
2.54212610	-34.78298719
2.54945211	-34.80716287
2.55677812	-35.30894180
2.56410414	-35.91185986
2.57143015	-37.30854128
2.57875616	-36.33006126
2.58608217	-36.57872093
2.59340818	-37.01008329
2.60073420	-36.94034258
2.60806021	-36.54540720
2.61538622	-35.93605082
2.62271223	-35.43340451
2.63003824	-38.06641495
2.63736425	-46.36600476
2.64469027	-43.42757869
2.65201628	-49.09306311
2.65934229	-37.58811513
2.66666830	-37.79729022
2.67399431	-35.44261789
2.68132033	-35.46314614
2.68864634	-42.50637713
2.69597235	-35.14467379
2.70329836	-34.35143847
2.71062437	-34.83059046
2.71795038	-35.19128238
2.72527640	-35.97320347
2.73260241	-36.66697384
2.73992842	-37.90130565
2.74725443	-39.57907653
2.75458044	-40.21770897
2.76190646	-40.60682021
2.76923247	-42.42818245
2.77655848	-45.32766986
2.78388449	-48.99574679
2.79121050	-39.64381755
2.79853651	-35.00207444
2.80586253	-34.62939220
2.81318854	-34.13219137
2.82051455	-34.42077787
2.82784056	-34.20023613
2.83516657	-34.77720571
2.84249259	-34.71651980
2.84981860	-35.31171409
2.85714461	-35.51171362
2.86447062	-36.81719237
2.87179663	-38.17088675
2.87912264	-51.83077356
2.88644866	-44.88356439
2.89377467	-37.18384433
2.90110068	-34.69635045
2.90842669	-35.18033847
2.91575270	-35.37690363
2.92307872	-36.08621508
2.93040473	-36.65530940
2.93773074	-37.79395867
2.94505675	-39.28622646
2.95238276	-40.95776474
2.95970877	-42.93371087
2.96703479	-43.88969882
2.97436080	-49.55571055
2.98168681	-42.13282935
2.98901282	-38.75403380
2.99633883	-43.21607708
3.00366485	-48.41533315
3.01099086	-46.74618888
3.01831687	-49.39404766
3.02564288	-49.06841990
3.03296889	-44.04005960
3.04029490	-38.89166907
3.04762092	-50.41101013
3.05494693	-39.95069848
3.06227294	-36.54245254
3.06959895	-35.87447583
3.07692496	-35.55750981
3.08425098	-35.21495626
3.09157699	-35.31183927
3.09890300	-35.34417787
3.10622901	-35.76583927
3.11355502	-36.64312098
3.12088103	-39.17673578
3.12820705	-50.49539033
3.13553306	-52.47872654
3.14285907	-52.10859746
3.15018508	-39.84103250
3.15751109	-38.19323392
3.16483711	-47.78533387
3.17216312	-52.20148206
3.17948913	-44.31931712
3.18681514	-42.87238364
3.19414115	-37.97610665
3.20146716	-36.31037815
3.20879318	-37.21347583
3.21611919	-39.92339599
3.22344520	-36.79714240
3.23077121	-43.14732603
3.23809722	-41.82393020
3.24542324	-37.39627511
3.25274925	-37.05054062
3.26007526	-36.89059141
3.26740127	-36.87893715
3.27472728	-37.26346510
3.28205329	-37.38247955
3.28937931	-37.24334320
3.29670532	-37.46801579
3.30403133	-37.65826365
3.31135734	-38.65589701
3.31868335	-39.52284038
3.32600937	-45.93022511
3.33333538	-53.97435722
3.34066139	-49.50719878
3.34798740	-39.97598505
3.35531341	-38.62790777
3.36263942	-38.54819932
3.36996544	-38.48245507
3.37729145	-38.34914351
3.38461746	-38.52684758
3.39194347	-38.68015283
3.39926948	-38.14564115
3.40659550	-38.43037978
3.41392151	-38.09495905
3.42124752	-38.32169072
3.42857353	-38.67295415
3.43589954	-39.23988449
3.44322555	-39.66366768
3.45055157	-39.96674183
3.45787758	-40.50721142
3.46520359	-40.05861519
3.47252960	-40.90576805
3.47985561	-40.88592792
3.48718163	-41.27003921
3.49450764	-43.53833918
3.50183365	-44.30827625
3.50915966	-41.40580096
3.51648567	-42.48646559
3.52381168	-42.87761634
3.53113770	-45.08513494
3.53846371	-63.80677888
3.54578972	-43.78338204
3.55311573	-43.53040960
3.56044174	-43.69282431
3.56776776	-45.64258658
3.57509377	-45.67699439
3.58241978	-47.17440613
3.58974579	-48.09064664
3.59707180	-49.50319150
3.60439781	-51.97525314
3.61172383	-48.97483030
3.61904984	-49.69898820
3.62637585	-48.11929125
3.63370186	-49.47973646
3.64102787	-48.53336429
3.64835389	-48.89391241
3.65567990	-55.55561153
3.66300591	-50.98883482
3.67033192	-61.55136755
3.67765793	-48.35933449
3.68498394	-44.78940796
3.69230996	-46.59082050
3.69963597	-45.50707395
3.70696198	-43.27399117
3.71428799	-44.04149799
3.72161400	-44.16967146
3.72894002	-45.29531589
3.73626603	-45.86394395
3.74359204	-46.59684700
3.75091805	-47.99427190
3.75824406	-47.92887934
3.76557007	-49.54724520
3.77289609	-51.44678909
3.78022210	-52.92227933
3.78754811	-52.67883968
3.79487412	-50.80257548
3.80220013	-53.87799869
3.80952615	-55.88427953
3.81685216	-55.67986666
3.82417817	-61.32939369
3.83150418	-49.55824718
3.83883019	-47.01171427
3.84615620	-46.85784247
3.85348222	-47.17914528
3.86080823	-51.17360116
3.86813424	-46.84642227
3.87546025	-48.30721397
3.88278626	-49.00563903
3.89011228	-52.36779912
3.89743829	-52.41962714
3.90476430	-54.77977122
3.91209031	-53.45561483
3.91941632	-57.71088072
3.92674233	-62.34502524
3.93406835	-59.33274269
3.94139436	-57.60217866
3.94872037	-53.80994018
3.95604638	-54.83553186
3.96337239	-64.27408219
3.97069841	-57.00021206
3.97802442	-58.85129690
3.98535043	-59.14937069
3.99267644	-55.14757480
4.00000245	-54.62760122
4.00732846	-54.23590756
4.01465448	-51.17403941
4.02198049	-53.37479936
4.02930650	-55.27887837
4.03663251	-55.39193139
4.04395852	-55.09599330
4.05128454	-57.75871569
4.05861055	-58.15910166
4.06593656	-59.45180372
4.07326257	-62.16837687
4.08058858	-61.29849233
4.08791459	-69.09242326
4.09524061	-63.03996239
4.10256662	-67.96167589
4.10989263	-73.29944066
4.11721864	-68.41779296
4.12454465	-62.94432687
4.13187067	-61.00222521
4.13919668	-56.16995145
4.14652269	-54.51364113
4.15384870	-53.18295473
4.16117471	-58.56079790
4.16850072	-56.96941996
4.17582674	-57.94541489
4.18315275	-58.93543046
4.19047876	-61.81013537
4.19780477	-58.95883243
4.20513078	-54.02605234
4.21245680	-58.92186387
4.21978281	-61.72908463
4.22710882	-58.90662856
4.23443483	-56.98668573
4.24176084	-62.25322444
4.24908685	-56.04171703
4.25641287	-60.26404111
4.26373888	-60.05699351
4.27106489	-58.87222068
4.27839090	-63.09450894
4.28571691	-62.76863093
4.29304293	-77.38596536
4.30036894	-71.23259152
4.30769495	-71.78914531
4.31502096	-66.02444753
4.32234697	-71.79236027
4.32967298	-64.54820007
4.33699900	-63.56053380
4.34432501	-62.48736740
4.35165102	-60.86992905
4.35897703	-63.96346582
4.36630304	-58.18981784
4.37362906	-63.52222471
4.38095507	-63.18456489
4.38828108	-61.78260892
4.39560709	-58.50670103
4.40293310	-57.40770053
4.41025911	-59.38758604
4.41758513	-59.50890956
4.42491114	-58.90539705
4.43223715	-59.46467812
4.43956316	-61.12310440
4.44688917	-61.21037538
4.45421519	-61.58285270
4.46154120	-64.89177531
4.46886721	-63.92476345
4.47619322	-62.02924196
4.48351923	-69.10095871
4.49084524	-59.02251847
4.49817126	-64.54658722
4.50549727	-64.58207570
4.51282328	-63.88983804
4.52014929	-64.70337951
4.52747530	-68.99753665
4.53480132	-63.95578887
4.54212733	-67.88823428
4.54945334	-61.44718536
4.55677935	-62.57793370
4.56410536	-62.21215438
4.57143137	-66.56229139
4.57875739	-62.53765392
4.58608340	-61.38316480
4.59340941	-59.99961349
4.60073542	-66.54070635
4.60806143	-63.36387467
4.61538745	-62.62471293
4.62271346	-61.63116943
4.63003947	-62.44411065
4.63736548	-62.78067314
4.64469149	-63.32439228
4.65201750	-69.43031687
4.65934352	-66.25698096
4.66666953	-68.96392640
4.67399554	-63.02869543
4.68132155	-64.31614728
4.68864756	-63.28637334
4.69597358	-71.01556786
4.70329959	-64.62323142
4.71062560	-64.19302783
4.71795161	-63.32185683
4.72527762	-73.40015187
4.73260363	-64.41765388
4.73992965	-67.56686695
4.74725566	-74.46934022
4.75458167	-67.49987180
4.76190768	-69.15742642
4.76923369	-63.94868195
4.77655971	-66.91150415
4.78388572	-65.27089831
4.79121173	-67.38993752
4.79853774	-70.08648631
4.80586375	-70.17084762
4.81318976	-63.76915386
4.82051578	-68.16875108
4.82784179	-68.15084661
4.83516780	-65.10094108
4.84249381	-63.49149733
4.84981982	-62.98546008
4.85714584	-67.37767326
4.86447185	-63.85715087
4.87179786	-67.73990815
4.87912387	-69.65584964
4.88644988	-75.09859294
4.89377589	-66.67856009
4.90110191	-69.43724970
