# Menlo Systems GmbH ScanControl
# Program Version 1.10.0
# Start: -166.20000000 ps, Average over 10 waveforms. Timestamp: 2024-12-22T20:27:45
# Window type: Blackman, parameters: total slope amount = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-18.65891192
0.00732601	-17.84255351
0.01465202	-19.53894422
0.02197804	-19.12041236
0.02930405	-19.75311979
0.03663006	-19.64472205
0.04395607	-19.57664751
0.05128208	-19.10179406
0.05860809	-19.08978380
0.06593411	-19.15026332
0.07326012	-17.97599087
0.08058613	-20.57659166
0.08791214	-17.43952655
0.09523815	-17.55051038
0.10256417	-21.68656792
0.10989018	-18.19755660
0.11721619	-17.89054632
0.12454220	-20.94129369
0.13186821	-19.98334359
0.13919422	-18.48987543
0.14652024	-22.04385505
0.15384625	-20.26113162
0.16117226	-18.02380902
0.16849827	-17.37797368
0.17582428	-20.86395332
0.18315030	-19.03293974
0.19047631	-18.32042218
0.19780232	-17.13160451
0.20512833	-17.15331395
0.21245434	-17.82315610
0.21978035	-15.86545922
0.22710637	-13.75733268
0.23443238	-13.69017210
0.24175839	-14.90174164
0.24908440	-11.80275695
0.25641041	-12.09250294
0.26373643	-12.21995699
0.27106244	-9.50764274
0.27838845	-9.86161438
0.28571446	-10.51199195
0.29304047	-9.05871707
0.30036648	-8.18902877
0.30769250	-8.99548123
0.31501851	-8.89394569
0.32234452	-7.36402680
0.32967053	-6.91262920
0.33699654	-8.34734719
0.34432256	-7.33133079
0.35164857	-5.96884735
0.35897458	-6.61999011
0.36630059	-6.23955236
0.37362660	-5.46247527
0.38095261	-5.34477514
0.38827863	-4.87499840
0.39560464	-4.91239069
0.40293065	-4.69421074
0.41025666	-4.49130130
0.41758267	-4.34556355
0.42490869	-4.29770064
0.43223470	-3.99548550
0.43956071	-3.93960213
0.44688672	-3.93304817
0.45421273	-3.14280358
0.46153874	-3.40928426
0.46886476	-3.29608435
0.47619077	-2.74687791
0.48351678	-2.98739288
0.49084279	-2.52429061
0.49816880	-2.46994085
0.50549482	-2.58779153
0.51282083	-1.78695120
0.52014684	-2.02431869
0.52747285	-2.21947843
0.53479886	-1.32569348
0.54212487	-2.33129175
0.54945089	-2.21976701
0.55677690	-6.48890755
0.56410291	-2.94989502
0.57142892	-1.31854211
0.57875493	-1.24398030
0.58608095	-1.30848595
0.59340696	-0.47395746
0.60073297	-0.94947714
0.60805898	-0.60563846
0.61538499	-0.14712696
0.62271100	-0.84211480
0.63003702	-0.07141663
0.63736303	-0.26284571
0.64468904	-0.46353820
0.65201505	0.00000000
0.65934106	-0.45583673
