# Menlo Systems GmbH ScanControl
# Program Version 1.10.0
# Start: -166.20000000 ps, Average over 10 waveforms. Timestamp: 2024-12-22T20:41:33
# Window type: Blackman, parameters: total slope amount = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-166.14750458	0.00000000
-166.11417127	-0.00000002
-166.08083796	-0.00000015
-166.04750464	-0.00000011
-166.01417133	0.00000015
-165.98083802	0.00000013
-165.94750470	-0.00000104
-165.91417139	-0.00000093
-165.88083808	-0.00000100
-165.84750477	0.00000057
-165.81417145	0.00000074
-165.78083814	-0.00000106
-165.74750483	-0.00000149
-165.71417151	0.00000079
-165.68083820	-0.00000209
-165.64750489	0.00000044
-165.61417157	0.00000156
-165.58083826	-0.00000255
-165.54750495	-0.00000064
-165.51417164	0.00000058
-165.48083832	0.00000605
-165.44750501	0.00000180
-165.41417170	-0.00000474
-165.38083838	0.00001164
-165.34750507	0.00002390
-165.31417176	0.00000668
-165.28083845	-0.00000482
-165.24750513	0.00001174
-165.21417182	0.00002404
-165.18083851	0.00002842
-165.14750519	0.00002814
-165.11417188	0.00003891
-165.08083857	0.00002461
-165.04750526	0.00003193
-165.01417194	0.00005578
-164.98083863	-0.00000328
-164.94750532	-0.00000565
-164.91417200	0.00000459
-164.88083869	0.00001658
-164.84750538	0.00003518
-164.81417207	0.00002743
-164.78083875	0.00002589
-164.74750544	0.00007030
-164.71417213	0.00007458
-164.68083881	0.00002706
-164.64750550	0.00001845
-164.61417219	-0.00001302
-164.58083888	0.00005336
-164.54750556	0.00006942
-164.51417225	0.00015529
-164.48083894	0.00010643
-164.44750562	0.00006414
-164.41417231	0.00009192
-164.38083900	0.00001302
-164.34750568	0.00015261
-164.31417237	0.00005948
-164.28083906	0.00012879
-164.24750575	0.00020595
-164.21417243	0.00019950
-164.18083912	0.00005488
-164.14750581	0.00016915
-164.11417249	0.00009816
-164.08083918	0.00006583
-164.04750587	-0.00007119
-164.01417256	0.00002861
-163.98083924	0.00004413
-163.94750593	0.00008022
-163.91417262	0.00016834
-163.88083930	0.00014527
-163.84750599	0.00012593
-163.81417268	0.00010086
-163.78083937	0.00038573
-163.74750605	0.00020398
-163.71417274	0.00023051
-163.68083943	0.00019062
-163.64750611	0.00036967
-163.61417280	0.00032379
-163.58083949	0.00016201
-163.54750618	0.00020941
-163.51417286	0.00022822
-163.48083955	0.00011439
-163.44750624	0.00018051
-163.41417292	0.00020545
-163.38083961	0.00016729
-163.34750630	0.00007004
-163.31417299	0.00022088
-163.28083967	0.00062100
-163.24750636	0.00032674
-163.21417305	0.00056189
-163.18083973	0.00081013
-163.14750642	0.00026580
-163.11417311	0.00046473
-163.08083980	0.00053320
-163.04750648	0.00056658
-163.01417317	0.00036484
-162.98083986	0.00083510
-162.94750654	0.00036832
-162.91417323	0.00029162
-162.88083992	0.00035200
-162.84750660	0.00022641
-162.81417329	0.00096377
-162.78083998	0.00068934
-162.74750667	0.00117997
-162.71417335	0.00086549
-162.68084004	0.00100583
-162.64750673	0.00087396
-162.61417341	0.00032498
-162.58084010	0.00077549
-162.54750679	0.00103743
-162.51417348	0.00046797
-162.48084016	0.00121262
-162.44750685	0.00085923
-162.41417354	0.00089708
-162.38084022	0.00070854
-162.34750691	0.00068047
-162.31417360	0.00051598
-162.28084029	0.00079644
-162.24750697	0.00117440
-162.21417366	0.00124257
-162.18084035	-0.00000958
-162.14750703	0.00099317
-162.11417372	0.00103611
-162.08084041	0.00093494
-162.04750710	0.00069793
-162.01417378	0.00004233
-161.98084047	0.00119566
-161.94750716	0.00060846
-161.91417384	0.00101855
-161.88084053	0.00084941
-161.84750722	0.00059193
-161.81417391	0.00086313
-161.78084059	0.00050390
-161.74750728	0.00011873
-161.71417397	-0.00017475
-161.68084065	0.00048791
-161.64750734	0.00059813
-161.61417403	0.00113972
-161.58084071	0.00111957
-161.54750740	0.00171277
-161.51417409	0.00085738
-161.48084078	0.00113725
-161.44750746	0.00062511
-161.41417415	0.00110674
-161.38084084	0.00062758
-161.34750752	0.00039423
-161.31417421	0.00111984
-161.28084090	0.00107974
-161.24750759	0.00110749
-161.21417427	0.00015510
-161.18084096	0.00043851
-161.14750765	0.00050162
-161.11417433	0.00081909
-161.08084102	0.00114974
-161.04750771	0.00108069
-161.01417440	0.00130553
-160.98084108	0.00127876
-160.94750777	0.00038168
-160.91417446	0.00062535
-160.88084114	0.00126191
-160.84750783	0.00155268
-160.81417452	0.00053376
-160.78084121	0.00039468
-160.74750789	0.00060559
-160.71417458	0.00102848
-160.68084127	0.00016989
-160.64750795	-0.00042234
-160.61417464	0.00036848
-160.58084133	0.00015377
-160.54750802	0.00003857
-160.51417470	-0.00012663
-160.48084139	-0.00004987
-160.44750808	0.00029155
-160.41417476	0.00023248
-160.38084145	-0.00026548
-160.34750814	0.00076799
-160.31417483	0.00086030
-160.28084151	0.00031212
-160.24750820	-0.00065928
-160.21417489	0.00091804
-160.18084157	0.00018141
-160.14750826	-0.00040961
-160.11417495	0.00077947
-160.08084163	0.00051122
-160.04750832	0.00038889
-160.01417501	-0.00015963
-159.98084170	-0.00093808
-159.94750838	0.00023184
-159.91417507	0.00067903
-159.88084176	0.00074799
-159.84750844	-0.00028861
-159.81417513	-0.00016143
-159.78084182	-0.00034524
-159.74750851	-0.00003619
-159.71417519	0.00055134
-159.68084188	0.00057646
-159.64750857	0.00065456
-159.61417525	-0.00013314
-159.58084194	0.00063206
-159.54750863	-0.00060526
-159.51417532	0.00012700
-159.48084200	-0.00078313
