# Menlo Systems GmbH ScanControl
# Program Version 1.10.0
# Start: -166.20000000 ps, Average over 10 waveforms. Timestamp: 2024-12-22T20:21:46
# Window type: Blackman, parameters: total slope amount = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-166.14750458	0.00000000
-166.11417127	-0.00000005
-166.08083796	-0.00000011
-166.04750464	-0.00000005
-166.01417133	-0.00000011
-165.98083802	-0.00000026
-165.94750470	0.00000014
-165.91417139	-0.00000002
-165.88083808	-0.00000135
-165.84750477	-0.00000184
-165.81417145	-0.00000330
-165.78083814	-0.00000241
-165.74750483	-0.00000005
-165.71417151	0.00000146
-165.68083820	0.00000559
-165.64750489	-0.00000024
-165.61417157	0.00000637
-165.58083826	-0.00000460
-165.54750495	0.00000719
-165.51417164	0.00000752
-165.48083832	0.00000598
-165.44750501	0.00001809
-165.41417170	0.00001319
-165.38083838	0.00001028
-165.34750507	0.00001088
-165.31417176	0.00001139
-165.28083845	0.00000921
-165.24750513	0.00001704
-165.21417182	-0.00001876
-165.18083851	-0.00000440
-165.14750519	0.00000910
-165.11417188	0.00003777
-165.08083857	0.00002044
-165.04750526	0.00000674
-165.01417194	0.00003385
-164.98083863	0.00002707
-164.94750532	0.00006046
-164.91417200	0.00002640
-164.88083869	0.00002052
-164.84750538	-0.00001380
-164.81417207	0.00006765
-164.78083875	0.00000517
-164.74750544	0.00004177
-164.71417213	0.00006528
-164.68083881	0.00010491
-164.64750550	0.00013596
-164.61417219	0.00009000
-164.58083888	0.00006289
-164.54750556	0.00001094
-164.51417225	0.00001377
-164.48083894	0.00005431
-164.44750562	0.00012671
-164.41417231	0.00019943
-164.38083900	0.00019602
-164.34750568	0.00019411
-164.31417237	0.00009667
-164.28083906	0.00011366
-164.24750575	-0.00003107
-164.21417243	0.00005543
-164.18083912	-0.00006812
-164.14750581	-0.00008132
-164.11417249	-0.00010644
-164.08083918	0.00003190
-164.04750587	0.00013742
-164.01417256	0.00004021
-163.98083924	0.00013539
-163.94750593	0.00001580
-163.91417262	0.00017526
-163.88083930	0.00013469
-163.84750599	-0.00004271
-163.81417268	0.00019779
-163.78083937	0.00020782
-163.74750605	0.00017316
-163.71417274	0.00034446
-163.68083943	0.00034564
-163.64750611	0.00004391
-163.61417280	0.00007193
-163.58083949	0.00027830
-163.54750618	0.00027917
-163.51417286	0.00038239
-163.48083955	0.00041051
-163.44750624	0.00013544
-163.41417292	0.00045726
-163.38083961	-0.00003347
-163.34750630	0.00061598
-163.31417299	0.00038117
-163.28083967	0.00042372
-163.24750636	0.00066259
-163.21417305	0.00066876
-163.18083973	0.00107076
-163.14750642	0.00050154
-163.11417311	0.00063368
-163.08083980	0.00046012
-163.04750648	0.00072187
-163.01417317	0.00078391
-162.98083986	0.00058425
-162.94750654	0.00093101
-162.91417323	0.00094039
-162.88083992	0.00086667
-162.84750660	0.00101532
-162.81417329	0.00069926
-162.78083998	0.00063910
-162.74750667	0.00050850
-162.71417335	0.00052345
-162.68084004	0.00055315
-162.64750673	0.00059326
-162.61417341	0.00101883
-162.58084010	0.00020494
-162.54750679	0.00141418
-162.51417348	0.00053458
-162.48084016	0.00096876
-162.44750685	0.00092160
-162.41417354	0.00121554
-162.38084022	0.00080079
-162.34750691	0.00114553
-162.31417360	0.00053881
-162.28084029	0.00023665
-162.24750697	0.00018353
-162.21417366	0.00037132
-162.18084035	0.00097117
-162.14750703	0.00096771
-162.11417372	0.00097443
-162.08084041	0.00044257
-162.04750710	0.00041792
-162.01417378	0.00111587
-161.98084047	0.00117130
-161.94750716	0.00086539
-161.91417384	0.00133075
-161.88084053	0.00072609
-161.84750722	0.00122277
-161.81417391	0.00083001
-161.78084059	0.00118610
-161.74750728	0.00147958
-161.71417397	0.00099816
-161.68084065	0.00184816
-161.64750734	0.00155487
-161.61417403	0.00216386
-161.58084071	0.00113163
-161.54750740	0.00151629
-161.51417409	0.00160840
-161.48084078	0.00124165
-161.44750746	0.00078925
-161.41417415	0.00112344
-161.38084084	0.00106197
-161.34750752	0.00046292
-161.31417421	0.00072056
-161.28084090	0.00112716
-161.24750759	0.00030605
-161.21417427	0.00102498
-161.18084096	0.00067655
-161.14750765	0.00125049
-161.11417433	0.00133613
-161.08084102	0.00082816
-161.04750771	0.00139408
-161.01417440	0.00097200
-160.98084108	0.00071778
-160.94750777	0.00105874
-160.91417446	0.00055121
-160.88084114	0.00053796
-160.84750783	0.00052391
-160.81417452	-0.00014718
-160.78084121	0.00001428
-160.74750789	0.00028645
-160.71417458	0.00086735
-160.68084127	0.00151893
-160.64750795	0.00086577
-160.61417464	0.00073338
-160.58084133	0.00086604
-160.54750802	0.00079422
-160.51417470	0.00090855
-160.48084139	0.00105211
-160.44750808	0.00082691
-160.41417476	0.00123347
-160.38084145	0.00063274
-160.34750814	0.00021885
-160.31417483	0.00098816
-160.28084151	0.00054576
-160.24750820	0.00023901
-160.21417489	0.00047171
-160.18084157	0.00050944
-160.14750826	-0.00010166
-160.11417495	-0.00041464
-160.08084163	-0.00005523
-160.04750832	-0.00032364
-160.01417501	0.00001839
-159.98084170	0.00036633
-159.94750838	0.00003692
-159.91417507	0.00030806
-159.88084176	0.00082558
-159.84750844	-0.00033184
-159.81417513	0.00031433
-159.78084182	0.00067787
-159.74750851	0.00026805
-159.71417519	-0.00008653
-159.68084188	0.00089794
-159.64750857	-0.00055630
-159.61417525	0.00026431
-159.58084194	0.00025605
-159.54750863	-0.00033993
-159.51417532	0.00004513
-159.48084200	-0.00016547
-159.44750869	-0.00039656
-159.41417538	-0.00050546
-159.38084206	-0.00020645
-159.34750875	-0.00007146
-159.31417544	-0.00031993
-159.28084213	-0.00064137
-159.24750881	-0.00051574
-159.21417550	-0.00009888
-159.18084219	-0.00004943
-159.14750887	-0.00037640
-159.11417556	0.00014263
-159.08084225	-0.00013765
-159.04750894	-0.00016643
-159.01417562	-0.00026791
-158.98084231	-0.00107856
-158.94750900	-0.00038077
-158.91417568	-0.00062812
-158.88084237	0.00006783
-158.84750906	-0.00029761
-158.81417575	-0.00095017
-158.78084243	-0.00067812
-158.74750912	-0.00080175
-158.71417581	-0.00161728
-158.68084249	-0.00113861
-158.64750918	-0.00134100
-158.61417587	-0.00197475
-158.58084255	-0.00091479
-158.54750924	-0.00087394
-158.51417593	-0.00090075
-158.48084262	-0.00118525
-158.44750930	-0.00044850
-158.41417599	-0.00114481
-158.38084268	-0.00128079
-158.34750936	-0.00066306
-158.31417605	-0.00070494
-158.28084274	-0.00164561
-158.24750943	-0.00118254
-158.21417611	-0.00082072
-158.18084280	-0.00112332
-158.14750949	-0.00055651
-158.11417617	-0.00025056
-158.08084286	-0.00143397
-158.04750955	-0.00101196
-158.01417624	-0.00091653
-157.98084292	-0.00028342
-157.94750961	-0.00100575
-157.91417630	-0.00093355
-157.88084298	-0.00063556
-157.84750967	-0.00144151
-157.81417636	-0.00193365
-157.78084305	-0.00083793
-157.74750973	-0.00046319
-157.71417642	-0.00022890
-157.68084311	-0.00085779
-157.64750979	-0.00061535
-157.61417648	-0.00064729
-157.58084317	-0.00058813
-157.54750986	-0.00114479
-157.51417654	-0.00065829
-157.48084323	-0.00084797
-157.44750992	-0.00115299
-157.41417660	-0.00115595
-157.38084329	-0.00126990
-157.34750998	-0.00083710
-157.31417666	-0.00122366
-157.28084335	-0.00116259
-157.24751004	-0.00139754
-157.21417673	-0.00132054
-157.18084341	-0.00125125
-157.14751010	-0.00084475
-157.11417679	-0.00137094
-157.08084347	-0.00144137
-157.04751016	-0.00140197
-157.01417685	-0.00150692
-156.98084354	-0.00102767
-156.94751022	-0.00131345
-156.91417691	-0.00144710
-156.88084360	-0.00094340
-156.84751028	-0.00102597
-156.81417697	-0.00053557
-156.78084366	-0.00104617
-156.74751035	-0.00119286
-156.71417703	-0.00116978
-156.68084372	-0.00115786
-156.64751041	-0.00093787
-156.61417709	-0.00142293
-156.58084378	-0.00066776
-156.54751047	-0.00037922
-156.51417716	-0.00092974
-156.48084384	-0.00129562
-156.44751053	-0.00069506
-156.41417722	-0.00058162
-156.38084390	-0.00181047
-156.34751059	-0.00125494
-156.31417728	-0.00042529
-156.28084397	-0.00086808
-156.24751065	-0.00154540
-156.21417734	-0.00172927
-156.18084403	-0.00115959
-156.14751071	-0.00103233
-156.11417740	-0.00120471
-156.08084409	-0.00109457
-156.04751078	-0.00161539
-156.01417746	-0.00118828
-155.98084415	-0.00178440
-155.94751084	-0.00060579
-155.91417752	-0.00140219
-155.88084421	-0.00116702
-155.84751090	-0.00126858
-155.81417758	-0.00096415
-155.78084427	-0.00076638
-155.74751096	-0.00094178
-155.71417765	-0.00135397
-155.68084433	-0.00026587
-155.64751102	-0.00010933
-155.61417771	-0.00061868
-155.58084439	-0.00074130
-155.54751108	-0.00046749
-155.51417777	-0.00058908
-155.48084446	-0.00014619
-155.44751114	-0.00076658
-155.41417783	-0.00026272
-155.38084452	-0.00069221
-155.34751120	0.00031347
-155.31417789	-0.00008239
-155.28084458	0.00073394
-155.24751127	0.00057745
-155.21417795	0.00031849
-155.18084464	0.00100341
-155.14751133	0.00177481
-155.11417801	0.00197367
-155.08084470	0.00232924
-155.04751139	0.00216920
-155.01417808	0.00239637
-154.98084476	0.00350963
-154.94751145	0.00335166
-154.91417814	0.00359036
-154.88084482	0.00300318
-154.84751151	0.00418062
-154.81417820	0.00360035
-154.78084489	0.00294882
-154.74751157	0.00225078
-154.71417826	0.00164085
-154.68084495	0.00097000
-154.64751163	-0.00059347
-154.61417832	-0.00273686
-154.58084501	-0.00565197
-154.54751169	-0.00728837
-154.51417838	-0.00904207
-154.48084507	-0.01029347
-154.44751176	-0.01208511
-154.41417844	-0.01308923
-154.38084513	-0.01338988
-154.34751182	-0.01319256
-154.31417850	-0.01313989
-154.28084519	-0.01177026
-154.24751188	-0.01048348
-154.21417857	-0.00853612
-154.18084525	-0.00679956
-154.14751194	-0.00415549
-154.11417863	-0.00296826
-154.08084531	-0.00049121
-154.04751200	0.00111124
-154.01417869	0.00218481
-153.98084538	0.00517895
-153.94751206	0.00471069
-153.91417875	0.00557508
-153.88084544	0.00506563
-153.84751212	0.00422417
-153.81417881	0.00460187
-153.78084550	0.00377967
-153.74751219	0.00256793
-153.71417887	0.00221212
-153.68084556	0.00142645
-153.64751225	0.00063225
-153.61417893	-0.00051216
-153.58084562	-0.00145597
-153.54751231	-0.00224026
-153.51417900	-0.00258459
-153.48084568	-0.00303312
-153.44751237	-0.00276473
-153.41417906	-0.00364393
-153.38084574	-0.00362084
-153.34751243	-0.00277325
-153.31417912	-0.00215780
-153.28084581	-0.00150143
-153.24751249	-0.00045518
-153.21417918	0.00029479
-153.18084587	0.00107845
-153.14751255	0.00174917
-153.11417924	0.00264397
-153.08084593	0.00208610
-153.04751261	0.00276348
-153.01417930	0.00356668
-152.98084599	0.00351912
-152.94751268	0.00343866
-152.91417936	0.00304217
-152.88084605	0.00318867
-152.84751274	0.00238552
-152.81417942	0.00139345
-152.78084611	0.00104375
-152.74751280	0.00107913
-152.71417949	0.00210983
-152.68084617	0.00134616
-152.64751286	0.00088899
-152.61417955	0.00134993
-152.58084623	0.00139842
-152.54751292	0.00144624
-152.51417961	0.00120666
-152.48084630	0.00014264
-152.44751298	0.00002295
-152.41417967	0.00014730
-152.38084636	-0.00027254
-152.34751304	-0.00061629
-152.31417973	-0.00063446
-152.28084642	-0.00054171
-152.24751311	-0.00158017
-152.21417979	-0.00111278
-152.18084648	-0.00079836
-152.14751317	-0.00134315
-152.11417985	-0.00121901
-152.08084654	-0.00035712
-152.04751323	-0.00109002
-152.01417992	-0.00059750
-151.98084660	-0.00069868
-151.94751329	-0.00102250
-151.91417998	-0.00082226
-151.88084666	-0.00133951
-151.84751335	-0.00046017
-151.81418004	-0.00073145
-151.78084673	-0.00051997
-151.74751341	-0.00011050
-151.71418010	-0.00006383
-151.68084679	-0.00002113
-151.64751347	0.00017844
-151.61418016	-0.00015340
-151.58084685	-0.00050347
-151.54751353	-0.00114794
-151.51418022	-0.00032487
-151.48084691	-0.00168290
-151.44751360	-0.00137519
-151.41418028	-0.00159684
-151.38084697	-0.00232619
-151.34751366	-0.00213699
-151.31418034	-0.00220061
-151.28084703	-0.00269707
-151.24751372	-0.00298145
-151.21418041	-0.00242498
-151.18084709	-0.00384516
-151.14751378	-0.00301616
-151.11418047	-0.00288799
-151.08084715	-0.00252407
-151.04751384	-0.00238984
-151.01418053	-0.00231623
-150.98084722	-0.00153064
-150.94751390	-0.00120683
-150.91418059	-0.00087611
-150.88084728	-0.00128948
-150.84751396	-0.00035221
-150.81418065	-0.00067574
-150.78084734	-0.00131875
-150.74751403	-0.00090922
-150.71418071	-0.00148834
-150.68084740	-0.00153928
-150.64751409	-0.00224671
-150.61418077	-0.00204358
-150.58084746	-0.00354964
-150.54751415	-0.00351218
