# Menlo Systems GmbH ScanControl
# Program Version 1.10.0
# Start: -166.20000000 ps, Average over 10 waveforms. Timestamp: 2024-12-22T20:50:12
# Window type: Blackman, parameters: total slope amount = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-18.49286691
0.00732601	-17.92268432
0.01465202	-19.32887667
0.02197804	-19.08473155
0.02930405	-19.70319193
0.03663006	-19.54087086
0.04395607	-19.48443564
0.05128208	-19.14555415
0.05860809	-19.04435830
0.06593411	-19.10975002
0.07326012	-17.85761920
0.08058613	-20.55263869
0.08791214	-17.44444487
0.09523815	-17.56361127
0.10256417	-21.71769850
0.10989018	-18.17715797
0.11721619	-17.83051181
0.12454220	-20.77431798
0.13186821	-19.99512691
0.13919422	-18.30886935
0.14652024	-21.86543548
0.15384625	-20.18567907
0.16117226	-17.95079139
0.16849827	-17.19289503
0.17582428	-20.48595226
0.18315030	-18.87533158
0.19047631	-18.22129523
0.19780232	-16.98310064
0.20512833	-17.10697599
0.21245434	-17.71082482
0.21978035	-15.76197889
0.22710637	-13.66270973
0.23443238	-13.60329406
0.24175839	-14.79940067
0.24908440	-11.74730566
0.25641041	-12.01600035
0.26373643	-12.12422230
0.27106244	-9.46979840
0.27838845	-9.78629675
0.28571446	-10.48149645
0.29304047	-9.02037215
0.30036648	-8.14740966
0.30769250	-8.93612532
0.31501851	-8.87462175
0.32234452	-7.30866178
0.32967053	-6.86286017
0.33699654	-8.33546438
0.34432256	-7.28977473
0.35164857	-5.92787262
0.35897458	-6.58380398
0.36630059	-6.18672103
0.37362660	-5.42425579
0.38095261	-5.31592786
0.38827863	-4.83725696
0.39560464	-4.88444611
0.40293065	-4.64563241
0.41025666	-4.44183997
0.41758267	-4.32638525
0.42490869	-4.26726891
0.43223470	-3.96975654
0.43956071	-3.91926496
0.44688672	-3.89815705
0.45421273	-3.09926173
0.46153874	-3.38550520
0.46886476	-3.26797812
0.47619077	-2.71610875
