# Menlo Systems GmbH ScanControl
# Program Version 1.10.0
# Start: -166.20000000 ps, Average over 10 waveforms. Timestamp: 2024-12-22T20:20:41
# Window type: Blackman, parameters: total slope amount = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-17.80908034
0.00732601	-17.26852700
0.01465202	-19.41187651
0.02197804	-18.90155941
0.02930405	-19.67156380
0.03663006	-19.39737334
0.04395607	-19.19042258
0.05128208	-18.81456816
0.05860809	-18.93567207
0.06593411	-18.92539885
0.07326012	-17.73710986
0.08058613	-20.34456775
0.08791214	-17.29546381
0.09523815	-17.44528137
0.10256417	-21.44342732
0.10989018	-18.03861870
0.11721619	-17.74639151
0.12454220	-20.87312029
0.13186821	-19.85698781
0.13919422	-18.43447729
0.14652024	-22.00893738
0.15384625	-20.17538433
0.16117226	-18.01978785
0.16849827	-17.46646305
0.17582428	-20.97588859
0.18315030	-19.14274497
0.19047631	-18.43891898
0.19780232	-17.28034833
0.20512833	-17.34737263
0.21245434	-17.99229577
0.21978035	-15.97041616
0.22710637	-13.87676656
0.23443238	-13.79570543
0.24175839	-15.07692340
0.24908440	-11.87608641
0.25641041	-12.20542352
0.26373643	-12.29658638
0.27106244	-9.58029274
0.27838845	-9.93110012
0.28571446	-10.61096929
0.29304047	-9.12651812
0.30036648	-8.27204475
0.30769250	-9.09027607
0.31501851	-8.97768059
0.32234452	-7.43133167
0.32967053	-6.99176585
0.33699654	-8.43266386
0.34432256	-7.41085865
0.35164857	-6.03419155
0.35897458	-6.67940690
0.36630059	-6.29763566
0.37362660	-5.48795239
0.38095261	-5.39103517
0.38827863	-4.92438270
0.39560464	-4.95230850
0.40293065	-4.73075580
0.41025666	-4.52481797
0.41758267	-4.38167237
0.42490869	-4.32594746
0.43223470	-4.02107191
0.43956071	-3.96922137
0.44688672	-3.94919012
0.45421273	-3.16317639
0.46153874	-3.43906273
0.46886476	-3.33573606
0.47619077	-2.77139200
0.48351678	-3.01141431
0.49084279	-2.53716197
0.49816880	-2.48554190
0.50549482	-2.60552484
0.51282083	-1.80169842
0.52014684	-2.04030395
0.52747285	-2.23243969
