Temperature (C),n_corrected,Porosity_3phase (%),Porosity_2phase (%),delta_f (%)
20,1.2818,44.0,44.0,0.0
30,1.2766,45.0,45.0,0.0
40,1.2515,49.7,49.7,0.0
50,1.2312,53.5,53.5,0.0
60,1.2326,53.3,53.3,0.0
70,1.2287,54.0,54.0,0.0
80,1.2224,55.2,55.2,0.0
90,1.2265,54.4,54.4,0.0
100,1.2051,58.5,58.5,0.0
110,1.2200,55.7,55.7,0.0
