Model,k,RSS,AIC,BIC
Linear,2,0.0010819707627826895,-87.31556213374752,-86.71039194775943
Quadratic,3,0.0004445214926106067,-94.21097244843473,-93.3032171694526
Piecewise,5,0.0003004136817496593,-94.12935187000096,-92.61642640503072
Sigmoid,4,0.00039324427860292025,-93.43664658132965,-92.22630620935347
