Temperature (C),n_mean,n_std,CI_2.5%,CI_97.5%,CI_width
20,1.4282,0.0183,1.4112,1.4432,0.0321
30,1.4230,0.0117,1.4123,1.4320,0.0197
40,1.3978,0.0122,1.3885,1.4089,0.0204
50,1.3775,0.0140,1.3652,1.3901,0.0249
60,1.3790,0.0141,1.3679,1.3928,0.0250
70,1.3751,0.0147,1.3620,1.3877,0.0258
80,1.3688,0.0129,1.3577,1.3811,0.0234
90,1.3728,0.0143,1.3601,1.3852,0.0251
100,1.3515,0.0113,1.3401,1.3597,0.0196
110,1.3663,0.0140,1.3535,1.3782,0.0247
